   scenario modelID  pass
1        mk  model1 100.0
2        nt  model1  99.5
3        mk model10 100.0
4        nt model10  99.7
5        mk model11  99.8
6        nt model11 100.0
7        mk model12  86.7
8        nt model12  65.7
9        mk  model2 100.0
10       nt  model2  99.8
11       mk  model3 100.0
12       nt  model3  99.9
13       mk  model4 100.0
14       nt  model4  99.4
15       mk  model5  99.4
16       nt  model5 100.0
17       mk  model6 100.0
18       nt  model6  99.8
19       mk  model7  94.2
20       nt  model7  93.4
21       mk  model8 100.0
22       nt  model8  99.7
23       mk  model9  91.2
24       nt  model9  77.6
No changes to commit.
