cell_label,M1 (Mk baseline),M2,M11,M10,M6,M7,M4,M3,M5,M9,M12,M8 (NT baseline)
"tree_length=1.5, gain_loss=0.1, n_char=25",0.541,0.584,0.549,0.586,0.584,0.59,0.584,0.582,0.583,0.587,0.572,0.587
"tree_length=1.5, gain_loss=0.25, n_char=25",0.525,0.584,0.549,0.586,0.584,0.59,0.584,0.582,0.583,0.587,0.572,0.587
"tree_length=1.5, gain_loss=1, n_char=25",0.525,0.584,0.549,0.586,0.584,0.59,0.584,0.582,0.585,0.587,0.564,0.587
"tree_length=1.5, gain_loss=0.5, n_char=25",0.525,0.584,0.549,0.586,0.584,0.59,0.584,0.582,0.583,0.587,0.564,0.587
"tree_length=1, gain_loss=0.5, n_char=25",0.532,0.542,0.531,0.542,0.545,0.542,0.543,0.543,0.545,0.543,0.535,0.542
"tree_length=1, gain_loss=0.1, n_char=25",0.535,0.542,0.528,0.542,0.545,0.542,0.543,0.543,0.545,0.543,0.535,0.542
"tree_length=1, gain_loss=0.25, n_char=25",0.532,0.542,0.531,0.542,0.545,0.542,0.543,0.543,0.545,0.543,0.535,0.542
"tree_length=1, gain_loss=1, n_char=25",0.532,0.542,0.531,0.542,0.545,0.542,0.543,0.543,0.543,0.543,0.535,0.542
"tree_length=5, gain_loss=0.1, n_char=25",0.505,0.53,0.503,0.528,0.528,0.529,0.53,0.531,0.53,0.533,0.511,0.531
"tree_length=2.5, gain_loss=0.1, n_char=25",0.523,0.532,0.484,0.528,0.531,0.532,0.527,0.527,0.528,0.531,0.513,0.53
"tree_length=5, gain_loss=0.5, n_char=25",0.505,0.53,0.503,0.528,0.528,0.529,0.53,0.531,0.528,0.533,0.511,0.531
"tree_length=2.5, gain_loss=0.25, n_char=25",0.523,0.532,0.484,0.528,0.531,0.532,0.527,0.527,0.528,0.531,0.506,0.53
"tree_length=5, gain_loss=0.25, n_char=25",0.505,0.53,0.503,0.528,0.528,0.529,0.53,0.531,0.53,0.533,0.5,0.531
"tree_length=2.5, gain_loss=1, n_char=25",0.523,0.532,0.484,0.528,0.531,0.532,0.527,0.527,0.525,0.531,0.506,0.53
"tree_length=2.5, gain_loss=0.5, n_char=25",0.523,0.532,0.484,0.528,0.531,0.532,0.527,0.527,0.525,0.531,0.506,0.53
"tree_length=5, gain_loss=1, n_char=25",0.505,0.53,0.503,0.528,0.528,0.529,0.53,0.531,0.528,0.533,0.5,0.531
"tree_length=1.5, gain_loss=0.5, n_char=50",0.382,0.417,0.395,0.416,0.415,0.42,0.416,0.416,0.417,0.417,0.404,0.418
"tree_length=1.5, gain_loss=0.25, n_char=50",0.382,0.417,0.395,0.416,0.415,0.42,0.416,0.416,0.417,0.417,0.403,0.418
"tree_length=1.5, gain_loss=0.1, n_char=50",0.382,0.417,0.395,0.416,0.415,0.42,0.416,0.416,0.417,0.417,0.403,0.418
"tree_length=1.5, gain_loss=1, n_char=50",0.382,0.417,0.395,0.416,0.415,0.42,0.416,0.416,0.417,0.417,0.403,0.418
"tree_length=1, gain_loss=1, n_char=50",0.388,0.388,0.354,0.387,0.39,0.39,0.385,0.387,0.385,0.388,0.38,0.387
"tree_length=1, gain_loss=0.25, n_char=50",0.388,0.388,0.354,0.387,0.39,0.39,0.385,0.387,0.385,0.388,0.38,0.387
"tree_length=1, gain_loss=0.5, n_char=50",0.388,0.388,0.354,0.387,0.39,0.39,0.385,0.387,0.385,0.388,0.38,0.387
"tree_length=1, gain_loss=0.1, n_char=50",0.388,0.388,0.354,0.387,0.39,0.39,0.385,0.387,0.384,0.388,0.38,0.387
"tree_length=2.5, gain_loss=0.5, n_char=50",0.357,0.383,0.373,0.386,0.387,0.386,0.383,0.386,0.385,0.387,0.382,0.386
"tree_length=2.5, gain_loss=0.25, n_char=50",0.357,0.383,0.373,0.386,0.387,0.386,0.383,0.386,0.385,0.387,0.38,0.386
"tree_length=2.5, gain_loss=1, n_char=50",0.357,0.383,0.373,0.386,0.387,0.386,0.383,0.386,0.385,0.387,0.38,0.386
"tree_length=2.5, gain_loss=0.1, n_char=50",0.357,0.383,0.373,0.386,0.387,0.386,0.383,0.386,0.385,0.387,0.374,0.386
"tree_length=5, gain_loss=0.5, n_char=50",0.358,0.365,0.322,0.367,0.365,0.351,0.364,0.362,0.365,0.367,0.327,0.364
"tree_length=5, gain_loss=1, n_char=50",0.358,0.365,0.322,0.367,0.365,0.351,0.364,0.362,0.365,0.367,0.326,0.364
"tree_length=5, gain_loss=0.1, n_char=50",0.358,0.365,0.322,0.367,0.365,0.351,0.364,0.362,0.365,0.367,0.326,0.364
"tree_length=5, gain_loss=0.25, n_char=50",0.358,0.365,0.322,0.367,0.365,0.351,0.364,0.362,0.365,0.367,0.326,0.364
"tree_length=1, gain_loss=0.25, n_char=100",0.267,0.269,0.26,0.27,0.269,0.269,0.268,0.266,0.269,0.27,0.26,0.268
"tree_length=1, gain_loss=0.1, n_char=100",0.267,0.269,0.26,0.27,0.269,0.269,0.268,0.266,0.269,0.27,0.261,0.268
"tree_length=1, gain_loss=1, n_char=100",0.267,0.269,0.26,0.27,0.269,0.269,0.268,0.266,0.269,0.27,0.26,0.268
"tree_length=1, gain_loss=0.5, n_char=100",0.267,0.269,0.26,0.27,0.269,0.269,0.268,0.266,0.269,0.27,0.26,0.268
"tree_length=1.5, gain_loss=0.1, n_char=100",0.254,0.266,0.255,0.271,0.269,0.27,0.267,0.265,0.268,0.267,0.255,0.267
"tree_length=1.5, gain_loss=0.25, n_char=100",0.254,0.266,0.255,0.271,0.269,0.27,0.267,0.265,0.268,0.267,0.255,0.267
"tree_length=1.5, gain_loss=0.5, n_char=100",0.254,0.266,0.255,0.271,0.269,0.27,0.267,0.265,0.268,0.267,0.255,0.267
"tree_length=1.5, gain_loss=1, n_char=100",0.254,0.266,0.255,0.271,0.269,0.27,0.267,0.265,0.268,0.267,0.255,0.267
"tree_length=2.5, gain_loss=0.1, n_char=100",0.23,0.254,0.221,0.254,0.256,0.266,0.255,0.256,0.255,0.256,0.222,0.257
"tree_length=5, gain_loss=0.25, n_char=100",0.25,0.256,0.213,0.258,0.255,0.263,0.254,0.255,0.254,0.253,0.215,0.255
"tree_length=5, gain_loss=0.5, n_char=100",0.25,0.256,0.213,0.258,0.255,0.262,0.254,0.255,0.254,0.253,0.215,0.255
"tree_length=5, gain_loss=0.1, n_char=100",0.25,0.256,0.213,0.258,0.255,0.262,0.254,0.255,0.254,0.253,0.215,0.255
"tree_length=5, gain_loss=1, n_char=100",0.25,0.256,0.213,0.258,0.255,0.262,0.254,0.255,0.254,0.253,0.215,0.255
"tree_length=2.5, gain_loss=0.25, n_char=100",0.23,0.254,0.221,0.254,0.256,0.26,0.255,0.256,0.255,0.256,0.222,0.257
"tree_length=2.5, gain_loss=0.5, n_char=100",0.23,0.254,0.221,0.254,0.256,0.26,0.255,0.256,0.255,0.256,0.222,0.257
"tree_length=2.5, gain_loss=1, n_char=100",0.23,0.254,0.221,0.254,0.256,0.26,0.255,0.256,0.255,0.256,0.222,0.257
"tree_length=1, gain_loss=0.1, n_char=200",0.174,0.198,0.18,0.197,0.198,0.196,0.198,0.198,0.198,0.198,0.2,0.198
"tree_length=1, gain_loss=0.25, n_char=200",0.174,0.198,0.18,0.197,0.198,0.196,0.198,0.198,0.198,0.198,0.197,0.198
"tree_length=1, gain_loss=1, n_char=200",0.174,0.198,0.18,0.197,0.198,0.196,0.198,0.198,0.198,0.198,0.188,0.198
"tree_length=1, gain_loss=0.5, n_char=200",0.174,0.198,0.18,0.197,0.198,0.196,0.198,0.198,0.198,0.198,0.187,0.198
"tree_length=5, gain_loss=0.1, n_char=200",0.159,0.182,0.144,0.185,0.183,0.181,0.181,0.18,0.182,0.18,0.18,0.181
"tree_length=5, gain_loss=0.25, n_char=200",0.159,0.182,0.144,0.185,0.183,0.181,0.181,0.18,0.182,0.18,0.171,0.181
"tree_length=5, gain_loss=0.5, n_char=200",0.159,0.182,0.144,0.185,0.183,0.181,0.181,0.18,0.182,0.18,0.149,0.181
"tree_length=5, gain_loss=1, n_char=200",0.159,0.182,0.144,0.185,0.183,0.181,0.181,0.18,0.182,0.18,0.143,0.181
"tree_length=1.5, gain_loss=0.25, n_char=200",0.166,0.161,0.133,0.162,0.162,0.161,0.158,0.16,0.16,0.162,0.158,0.162
"tree_length=1.5, gain_loss=0.1, n_char=200",0.166,0.161,0.133,0.162,0.162,0.161,0.158,0.16,0.16,0.162,0.158,0.162
"tree_length=1.5, gain_loss=0.5, n_char=200",0.166,0.161,0.133,0.162,0.162,0.161,0.158,0.16,0.16,0.162,0.158,0.162
"tree_length=1.5, gain_loss=1, n_char=200",0.166,0.161,0.133,0.162,0.162,0.161,0.158,0.16,0.16,0.162,0.146,0.162
"tree_length=2.5, gain_loss=0.1, n_char=200",0.155,0.161,0.128,0.16,0.16,0.128,0.159,0.16,0.161,0.162,0.159,0.16
"tree_length=2.5, gain_loss=0.25, n_char=200",0.155,0.161,0.128,0.16,0.16,0.128,0.159,0.16,0.161,0.162,0.159,0.16
"tree_length=2.5, gain_loss=0.5, n_char=200",0.155,0.161,0.128,0.16,0.16,0.128,0.159,0.16,0.161,0.162,0.15,0.16
"tree_length=2.5, gain_loss=1, n_char=200",0.155,0.161,0.128,0.16,0.16,0.147,0.159,0.16,0.161,0.161,0.13,0.16
