cell_label,M7,M10,M2,M11,M3,M8 (NT baseline),M6,M12,M5,M9,M4,M1 (Mk baseline)
"tree_length=5, gain_loss=0.25, n_char=25",0.666,0.661,0.658,0.641,0.666,0.663,0.657,0.657,0.661,0.663,0.662,0.662
"tree_length=5, gain_loss=0.1, n_char=25",0.651,0.651,0.644,0.621,0.649,0.655,0.639,0.626,0.655,0.653,0.64,0.661
"tree_length=1, gain_loss=0.25, n_char=25",0.612,0.608,0.613,0.594,0.626,0.61,0.609,0.617,0.627,0.604,0.627,0.626
"tree_length=5, gain_loss=1, n_char=25",0.597,0.596,0.608,0.618,0.636,0.595,0.595,0.606,0.607,0.598,0.605,0.638
"tree_length=5, gain_loss=0.5, n_char=25",0.607,0.605,0.613,0.589,0.624,0.605,0.599,0.591,0.606,0.609,0.597,0.625
"tree_length=1, gain_loss=0.1, n_char=25",0.599,0.597,0.596,0.571,0.601,0.597,0.597,0.582,0.594,0.599,0.593,0.594
"tree_length=1.5, gain_loss=0.1, n_char=25",0.586,0.58,0.589,0.568,0.595,0.583,0.58,0.558,0.593,0.584,0.593,0.593
"tree_length=2.5, gain_loss=0.25, n_char=25",0.584,0.582,0.574,0.527,0.576,0.581,0.579,0.535,0.579,0.58,0.577,0.571
"tree_length=2.5, gain_loss=0.1, n_char=25",0.557,0.554,0.57,0.545,0.585,0.554,0.556,0.56,0.556,0.557,0.562,0.578
"tree_length=2.5, gain_loss=0.5, n_char=25",0.571,0.566,0.564,0.526,0.562,0.572,0.56,0.55,0.565,0.571,0.56,0.566
"tree_length=1, gain_loss=1, n_char=25",0.56,0.56,0.558,0.529,0.556,0.559,0.558,0.537,0.563,0.557,0.565,0.561
"tree_length=1.5, gain_loss=0.5, n_char=25",0.555,0.556,0.558,0.534,0.564,0.554,0.553,0.538,0.55,0.555,0.549,0.565
"tree_length=2.5, gain_loss=1, n_char=25",0.544,0.54,0.557,0.516,0.56,0.542,0.54,0.542,0.543,0.544,0.54,0.56
"tree_length=1.5, gain_loss=0.25, n_char=25",0.538,0.533,0.538,0.503,0.542,0.535,0.53,0.517,0.537,0.537,0.532,0.542
"tree_length=1, gain_loss=0.5, n_char=25",0.535,0.537,0.533,0.511,0.538,0.536,0.531,0.511,0.535,0.536,0.534,0.537
"tree_length=1.5, gain_loss=1, n_char=25",0.488,0.487,0.49,0.465,0.491,0.487,0.486,0.481,0.485,0.488,0.486,0.494
"tree_length=5, gain_loss=0.1, n_char=50",0.471,0.484,0.475,0.459,0.483,0.481,0.479,0.464,0.487,0.484,0.483,0.474
"tree_length=5, gain_loss=0.5, n_char=50",0.481,0.47,0.471,0.48,0.482,0.47,0.471,0.463,0.476,0.471,0.477,0.494
"tree_length=1.5, gain_loss=1, n_char=50",0.465,0.463,0.465,0.44,0.474,0.462,0.461,0.436,0.472,0.463,0.47,0.467
"tree_length=1.5, gain_loss=0.25, n_char=50",0.46,0.466,0.46,0.424,0.459,0.467,0.463,0.425,0.46,0.467,0.46,0.451
"tree_length=1.5, gain_loss=0.5, n_char=50",0.447,0.444,0.451,0.437,0.462,0.445,0.445,0.43,0.45,0.444,0.45,0.463
"tree_length=2.5, gain_loss=0.1, n_char=50",0.44,0.443,0.445,0.432,0.446,0.442,0.444,0.431,0.452,0.444,0.453,0.453
"tree_length=1, gain_loss=1, n_char=50",0.436,0.436,0.435,0.437,0.463,0.437,0.435,0.418,0.446,0.437,0.444,0.463
"tree_length=5, gain_loss=0.25, n_char=50",0.437,0.437,0.439,0.408,0.45,0.44,0.43,0.416,0.444,0.437,0.455,0.447
"tree_length=1, gain_loss=0.5, n_char=50",0.428,0.428,0.426,0.412,0.436,0.426,0.427,0.401,0.433,0.423,0.434,0.435
"tree_length=5, gain_loss=1, n_char=50",0.416,0.423,0.419,0.38,0.439,0.425,0.426,0.37,0.431,0.426,0.428,0.442
"tree_length=2.5, gain_loss=0.25, n_char=50",0.439,0.419,0.42,0.395,0.42,0.419,0.417,0.394,0.425,0.417,0.426,0.421
"tree_length=2.5, gain_loss=1, n_char=50",0.433,0.418,0.421,0.4,0.427,0.416,0.414,0.397,0.422,0.419,0.419,0.426
"tree_length=1.5, gain_loss=0.1, n_char=50",0.414,0.41,0.419,0.398,0.42,0.415,0.407,0.394,0.418,0.414,0.41,0.425
"tree_length=1, gain_loss=0.1, n_char=50",0.406,0.4,0.406,0.399,0.416,0.408,0.4,0.395,0.408,0.407,0.407,0.423
"tree_length=1, gain_loss=0.25, n_char=50",0.4,0.399,0.403,0.386,0.406,0.398,0.4,0.378,0.4,0.401,0.4,0.403
"tree_length=2.5, gain_loss=0.5, n_char=50",0.396,0.392,0.395,0.359,0.415,0.394,0.397,0.344,0.404,0.389,0.405,0.409
"tree_length=1, gain_loss=0.1, n_char=100",0.32,0.317,0.317,0.301,0.322,0.317,0.314,0.295,0.318,0.316,0.315,0.321
"tree_length=5, gain_loss=0.1, n_char=100",0.313,0.31,0.298,0.29,0.336,0.314,0.306,0.305,0.318,0.313,0.313,0.324
"tree_length=5, gain_loss=0.5, n_char=100",0.288,0.292,0.291,0.292,0.334,0.291,0.296,0.267,0.339,0.274,0.321,0.333
"tree_length=1.5, gain_loss=0.1, n_char=100",0.304,0.302,0.308,0.297,0.302,0.3,0.309,0.281,0.308,0.274,0.32,0.306
"tree_length=2.5, gain_loss=0.1, n_char=100",0.322,0.3,0.287,0.251,0.277,0.299,0.303,0.279,0.294,0.272,0.303,0.289
"tree_length=2.5, gain_loss=1, n_char=100",0.324,0.291,0.295,0.252,0.286,0.292,0.292,0.268,0.293,0.262,0.293,0.293
"tree_length=2.5, gain_loss=0.25, n_char=100",0.286,0.28,0.286,0.287,0.296,0.281,0.279,0.283,0.295,0.248,0.294,0.301
"tree_length=1, gain_loss=0.25, n_char=100",0.282,0.282,0.288,0.282,0.288,0.28,0.286,0.281,0.286,0.28,0.289,0.29
"tree_length=5, gain_loss=1, n_char=100",0.281,0.278,0.28,0.281,0.3,0.278,0.282,0.263,0.29,0.283,0.291,0.301
"tree_length=1.5, gain_loss=0.25, n_char=100",0.292,0.288,0.276,0.269,0.291,0.287,0.273,0.26,0.29,0.283,0.288,0.294
"tree_length=1, gain_loss=1, n_char=100",0.255,0.285,0.293,0.273,0.296,0.286,0.285,0.268,0.287,0.243,0.286,0.295
"tree_length=2.5, gain_loss=0.5, n_char=100",0.282,0.278,0.282,0.249,0.279,0.276,0.272,0.255,0.283,0.267,0.287,0.272
"tree_length=1.5, gain_loss=0.5, n_char=100",0.266,0.265,0.268,0.258,0.293,0.263,0.266,0.237,0.276,0.27,0.28,0.29
"tree_length=5, gain_loss=0.25, n_char=100",0.26,0.256,0.261,0.273,0.303,0.257,0.258,0.249,0.264,0.26,0.277,0.307
"tree_length=1, gain_loss=0.5, n_char=100",0.277,0.276,0.274,0.241,0.271,0.276,0.275,0.243,0.271,0.242,0.273,0.27
"tree_length=1.5, gain_loss=1, n_char=100",0.241,0.253,0.254,0.239,0.253,0.253,0.254,0.236,0.25,0.237,0.25,0.254
"tree_length=1.5, gain_loss=0.1, n_char=200",0.188,0.201,0.195,0.196,0.21,0.201,0.193,0.204,0.202,0.201,0.204,0.21
"tree_length=5, gain_loss=0.1, n_char=200",0.202,0.201,0.203,0.211,0.203,0.2,0.195,0.195,0.195,0.178,0.195,0.208
"tree_length=2.5, gain_loss=0.25, n_char=200",0.202,0.194,0.189,0.198,0.205,0.195,0.193,0.198,0.2,0.2,0.198,0.203
"tree_length=5, gain_loss=0.25, n_char=200",0.216,0.186,0.197,0.203,0.216,0.187,0.188,0.2,0.184,0.158,0.2,0.206
"tree_length=2.5, gain_loss=0.5, n_char=200",0.187,0.183,0.187,0.183,0.205,0.184,0.185,0.19,0.189,0.184,0.19,0.207
"tree_length=1.5, gain_loss=0.25, n_char=200",0.194,0.19,0.183,0.172,0.205,0.188,0.181,0.187,0.191,0.154,0.187,0.198
"tree_length=1, gain_loss=0.25, n_char=200",0.162,0.183,0.186,0.173,0.195,0.185,0.186,0.192,0.192,0.184,0.192,0.194
"tree_length=1.5, gain_loss=1, n_char=200",0.179,0.175,0.178,0.175,0.194,0.177,0.177,0.186,0.186,0.193,0.186,0.193
"tree_length=1, gain_loss=1, n_char=200",0.168,0.181,0.172,0.179,0.192,0.179,0.18,0.182,0.181,0.193,0.182,0.192
"tree_length=1.5, gain_loss=0.5, n_char=200",0.204,0.18,0.184,0.152,0.181,0.18,0.18,0.179,0.179,0.173,0.179,0.181
"tree_length=1, gain_loss=0.5, n_char=200",0.17,0.172,0.172,0.18,0.181,0.171,0.171,0.175,0.173,0.215,0.175,0.181
"tree_length=2.5, gain_loss=1, n_char=200",0.172,0.171,0.177,0.157,0.184,0.173,0.172,0.176,0.174,0.188,0.176,0.18
"tree_length=2.5, gain_loss=0.1, n_char=200",0.18,0.178,0.173,0.148,0.181,0.179,0.172,0.172,0.175,0.176,0.172,0.176
"tree_length=5, gain_loss=1, n_char=200",0.16,0.159,0.166,0.175,0.188,0.159,0.161,0.174,0.175,0.16,0.174,0.19
"tree_length=5, gain_loss=0.5, n_char=200",0.158,0.158,0.15,0.155,0.167,0.156,0.154,0.182,0.18,0.145,0.182,0.165
"tree_length=1, gain_loss=0.1, n_char=200",0.168,0.156,0.156,0.149,0.168,0.158,0.156,0.162,0.163,0.157,0.162,0.166
