scenario,modelID,n_runs,pass_rate,mean_rhat_max,p95_rhat_max,mean_ess_min,median_ess_min,p05_ess_min,mean_tree_ess,median_tree_ess,p05_tree_ess,mean_asdsf,p95_asdsf
mk,model12,640,86.71875,0.9994916622504088,0.9997637932634891,857.2958683806368,756.9593816118195,463.5785129756072,382.53162356145145,403.4291847991475,21.969225648130767,0.019635211071388537,0.14067524115755628
mk,model11,640,99.84375,0.9993014403065578,0.9995236961534253,728.8836919630153,716.2247869401328,643.2273884195856,394.18965104698714,416.8066618775871,153.83440756181218,0.0076492682363815895,0.011315015397777153
mk,model3,640,100,0.9993154471256093,0.9995918859157836,742.33518390557,733.5643955530774,639.6953635010566,462.6363353113932,463.0319514774093,297.2261085981215,0.006947262576487083,0.009915191705413655
mk,model1,640,100,0.9993237660176513,0.9995746811181023,740.9095551401762,728.7917012377492,644.4535753929675,467.6878202742897,474.1726014074154,262.9520020634688,0.0068627335789904,0.009140245120168776
mk,model2,640,100,0.9993992625913104,0.9996715238341505,772.6822670172112,740.2731086442608,596.0766591260535,477.01979451923194,480.5937049742666,308.2909222889956,0.006332867178795643,0.009127705608721766
mk,model5,640,99.375,0.9993604847920633,0.9996156738133786,783.581608665996,778.7567531479137,672.6620534073593,463.6406743091942,483.0444876478489,255.0989180520358,0.007682102238025513,0.00934041328129998
mk,model4,640,100,0.999339965795498,0.9995836726431435,752.4720076072832,750.5001326047891,629.2990066368864,477.930360486675,487.0143653003964,280.8917713125312,0.00680300076972832,0.009293982523058207
mk,model6,640,100,0.999403419486728,0.9997184098209585,767.2820823672832,762.4029913691948,561.4280090500475,485.70366827504984,487.5452613175578,308.68646543340395,0.006306319125992008,0.00885420410856203
mk,model10,640,100,0.9994272789780629,0.9997271860599893,780.7275551498324,759.8754475371461,594.5740170979609,475.76852573895405,490.14477364529534,286.5783507769429,0.006207699518176076,0.009287220482231892
mk,model8,640,100,0.9994240810276218,0.999715661910493,788.728365308019,775.3213176642172,623.660680998404,480.1973578697813,503.68311458460767,289.16818981062625,0.0062389211663465395,0.009141989278905556
mk,model9,640,91.25,0.9996719658387602,0.9999198369460577,645.7582716173711,717.7978182414572,179.3979915731328,541.037750323878,546.9845446195201,403.3992595794474,0.004439683734799946,0.006308294077718158
mk,model7,640,94.21875,0.9996629141102505,0.9998177172139953,702.8548205571185,697.3074971326919,241.88464303846084,534.0195013575319,552.9907734555744,366.38318145928633,0.004531875702118053,0.0065302356232515525
nt,model11,1920,100,0.9993450797572699,0.9996923357435625,736.3969971997147,725.5931626747919,609.6853159273173,308.8522637301368,288.68921505239024,85.01998542671033,0.0073814557762775755,0.011199623539317456
nt,model1,1920,99.47916666666666,0.9993251563936272,0.9996153106227788,740.5468923686351,730.283085673919,634.1836907829539,413.19539556086585,416.4638717543784,213.9160160605975,0.006715531101540138,0.009225647034973517
nt,model3,1920,99.89583333333333,0.999351852603505,0.9996384017515805,761.9131338887095,747.09722575985,649.8592218558815,422.452349340396,430.48869688485576,216.88713245552344,0.006564932952501615,0.009017317639528994
nt,model12,1920,65.67708333333333,0.9996939119029618,0.9997887399069041,468.41845938086624,485.02469418111843,111.67716586693018,436.73829618642986,456.83425615704147,160.38253058154623,0.0045115592015767154,0.006268250108619542
nt,model4,1920,99.42708333333333,0.9994436060754791,0.999664912824675,757.8735335187198,745.9373534313168,647.6027326292993,456.145841894832,465.32841038718135,261.2844677958294,0.006017153746346352,0.008209612142654837
nt,model2,1920,99.84375,0.9993749606955677,0.9996666115452728,760.5374923902892,743.4927435995205,628.8408911737811,465.0299865630594,470.6440509177785,300.61073044560106,0.00642262669047452,0.008763060367688237
nt,model5,1920,100,0.9995303023480575,0.9997391418828873,768.1435235381945,752.344934594109,663.7954553423796,478.7907426429294,488.0569671040512,277.8497439869992,0.005460339850052019,0.007420274865099976
nt,model6,1920,99.79166666666667,0.9994427091144167,0.9997446156834271,772.0281799616996,757.3407231711815,610.909807106322,481.47803875727624,488.1514694463314,311.8664938354257,0.005979799836223328,0.00831324271767555
nt,model8,1920,99.73958333333334,0.9994854602114277,0.9997728407493984,774.9716197762004,766.3939609702975,621.0263774955383,491.08772526352647,496.4496755559591,321.760783991771,0.00572995953407806,0.007863145945542773
nt,model7,1920,93.38541666666667,0.9995462960984363,0.9998142854916067,705.6446878579671,748.2428084117377,182.61662385440954,501.16557333474367,503.02975277757076,333.25024042752955,0.0053056073023033746,0.007644629392443825
nt,model10,1920,99.6875,0.9995182333610807,0.9997833915349995,779.6205929748043,770.871692868349,600.8007242759099,501.6294419921789,509.477345596086,326.9349421530454,0.005520549190935208,0.007792827106690943
nt,model9,1890,77.56613756613756,0.9997239692345091,0.9999293261425604,552.109065406036,674.780517475861,89.1828177867842,545.8463666295842,555.1606444644484,388.7405333699364,0.004101141127366441,0.00617604531503761
