scenario,modelID,tree_length,median_ess_min,p05_ess_min,n
mk,model1,1,740.8757397112641,675.6918593491625,160
mk,model1,1.5,719.0749736986475,670.3373691012698,160
mk,model1,2.5,724.0256161551713,644.4535753929675,160
mk,model1,5,737.8737676464123,631.0030056079285,160
mk,model10,1,750.1945544700183,543.665810971053,160
mk,model10,1.5,768.7611479399686,532.361039609946,160
mk,model10,2.5,761.1616365544016,650.8587869394275,160
mk,model10,5,760.7804400925004,694.7583577719329,160
mk,model11,1,723.1844747093421,666.5893119122048,160
mk,model11,1.5,719.6583543377599,673.7559883842381,160
mk,model11,2.5,723.2471057938844,635.5647700490002,160
mk,model11,5,703.3353686403675,638.2598811002168,160
mk,model12,1,741.5620985788632,530.0045881820322,160
mk,model12,1.5,755.5268583683851,407.39158156960394,160
mk,model12,2.5,782.1679280101059,564.5935902076216,160
mk,model12,5,757.0200381267698,651.5355095420691,160
mk,model2,1,729.693875304597,451.8609273180969,160
mk,model2,1.5,824.3418679358506,658.9571048956992,160
mk,model2,2.5,736.0124115960296,655.1772746052632,160
mk,model2,5,732.5862453826836,613.0616494392913,160
mk,model3,1,741.3337658028954,666.334445123117,160
mk,model3,1.5,730.7921398735715,619.7444622836597,160
mk,model3,2.5,734.852418480934,635.801151363506,160
mk,model3,5,729.6237621522616,658.8371748460686,160
mk,model4,1,735.882810985612,629.2124609605208,160
mk,model4,1.5,748.8504623378511,627.3196863388114,160
mk,model4,2.5,748.0147568218435,659.3020840030016,160
mk,model4,5,762.310510799533,632.8713098354199,160
mk,model5,1,776.7723959988716,672.1200245668905,160
mk,model5,1.5,762.1104398208668,685.8883607048031,160
mk,model5,2.5,797.7662060498214,664.4662195050514,160
mk,model5,5,782.912994878368,679.1955794844807,160
mk,model6,1,781.2757061150035,446.842891500936,160
mk,model6,1.5,747.6425225682472,560.0439236793195,160
mk,model6,2.5,766.0382266073727,672.5509646696023,160
mk,model6,5,758.0543630142789,619.0020269415022,160
mk,model7,1,715.9652026384482,299.39016855212157,160
mk,model7,1.5,698.2168557772861,266.2821086681059,160
mk,model7,2.5,614.765756497665,206.42700036979736,160
mk,model7,5,630.6851732357368,115.5150154535582,160
mk,model8,1,798.302198512916,514.9044208093406,160
mk,model8,1.5,784.066194141297,589.5265800768673,160
mk,model8,2.5,767.0685869956772,675.688022790335,160
mk,model8,5,775.9400977414127,679.5099043590408,160
mk,model9,1,758.7207546805678,672.8147527879125,160
mk,model9,1.5,731.7090538729034,614.4840653376001,160
mk,model9,2.5,722.218149328364,296.6888370992375,160
mk,model9,5,361.59805541767616,77.0728865837793,160
nt,model1,1,730.148159895343,642.2837271705089,480
nt,model1,1.5,732.0003869608813,655.5540415092078,480
nt,model1,2.5,727.8449930363952,619.9393144821873,480
nt,model1,5,728.9491096385741,627.6508697091466,480
nt,model10,1,763.8260891135967,451.9398024069523,480
nt,model10,1.5,770.4202326184127,587.4178085300847,480
nt,model10,2.5,773.1993254157499,675.3285197994016,480
nt,model10,5,776.9006179832854,670.4246060713374,480
nt,model11,1,732.0627423825813,641.5132235749624,480
nt,model11,1.5,725.9218374040784,625.1530791008446,480
nt,model11,2.5,723.8711609827392,617.6633584688287,480
nt,model11,5,722.0525433898039,572.4483258130743,480
nt,model12,1,612.3164738563702,131.6777570083452,480
nt,model12,1.5,527.9220210816585,127.55164586840573,480
nt,model12,2.5,454.5755624722547,116.9462171245566,480
nt,model12,5,289.8150391929472,79.41061701470636,480
nt,model2,1,739.3676805146083,574.0460961738805,480
nt,model2,1.5,745.66459226382494,638.300320777919,480
nt,model2,2.5,747.2301640742295,641.0397055184499,480
nt,model2,5,741.1996188507953,652.4579362854441,480
nt,model3,1,743.7926480145331,661.7737304261801,480
nt,model3,1.5,748.8590236270605,653.3924583836092,480
nt,model3,2.5,749.8092195007214,644.9158318590162,480
nt,model3,5,748.5725106293575,644.288201528599,480
nt,model4,1,744.7913570026379,649.6896154174069,480
nt,model4,1.5,754.4440844196338,657.986546213057,480
nt,model4,2.5,738.3193678688094,638.6468260863899,480
nt,model4,5,746.9739202233061,637.5894890850359,480
nt,model5,1,756.6085720814976,659.8036078733894,480
nt,model5,1.5,748.3793927991023,671.9515674747438,480
nt,model5,2.5,755.4430716502363,666.6575168281429,480
nt,model5,5,752.1787577509664,657.9141576995751,480
nt,model6,1,745.7861313597557,502.1658447534859,480
nt,model6,1.5,752.3548833100947,592.3705981204298,480
nt,model6,2.5,762.3661913621569,671.6354772927806,480
nt,model6,5,764.646703595802,668.6007232780826,480
nt,model7,1,745.8103073907134,288.87923759507964,480
nt,model7,1.5,755.0725681081619,171.00260850446264,480
nt,model7,2.5,743.7272704798818,143.5894881149641,480
nt,model7,5,754.9151632809604,271.7997658087951,480
nt,model8,1,766.4707695502146,473.7073729764752,480
nt,model8,1.5,765.2008809534448,588.8307886377471,480
nt,model8,2.5,764.736173292328,667.5957174314774,480
nt,model8,5,774.0127653007064,667.7164696302661,480
nt,model9,1,724.1313178805781,92.51692731350964,480
nt,model9,1.5,703.7857258210859,94.4204048418457,480
nt,model9,2.5,635.7461723065167,85.93469392926602,480
nt,model9,5,423.25684019052136,85.95936685228139,450
