scenario,modelID,n_char,median_tree_ess,p05_tree_ess,n
mk,model1,25,492.9058892974194,368.7168439073666,160
mk,model1,50,452.14562607412756,242.87657856447655,160
mk,model1,100,474.2588708718298,331.95558260897934,160
mk,model1,200,485.895675313037,345.0263213598291,160
mk,model10,25,499.0167717391474,336.75598538319036,160
mk,model10,50,435.6821146099045,216.82937590503178,160
mk,model10,100,495.34773826430063,255.93597823432077,160
mk,model10,200,515.1070339835014,344.0521587302592,160
mk,model11,25,346.4136837192526,133.38531689491066,160
mk,model11,50,319.989161872704,154.29305828859165,160
mk,model11,100,419.12730049499044,164.4017995458772,160
mk,model11,200,475.66049954028625,192.90300515822952,160
mk,model12,25,403.4291847991475,187.30187153792784,160
mk,model12,50,362.8323751377346,194.98014555714616,160
mk,model12,100,468.5309768962072,106.44516396311428,160
mk,model12,200,269.32782132945425,14.509395482132167,160
mk,model2,25,464.5820966534517,324.3298697920695,160
mk,model2,50,456.17130465789137,282.7615050561863,160
mk,model2,100,512.0438912765933,371.57196613469245,160
mk,model2,200,497.3960466350987,314.68886824369656,160
mk,model3,25,467.89437977764925,346.5144939841969,160
mk,model3,50,415.5406812192688,259.710388536012,160
mk,model3,100,452.22330444655756,326.33688636526387,160
mk,model3,200,484.5517824340543,337.3693611777123,160
mk,model4,25,488.4510895347547,369.88325003405464,160
mk,model4,50,419.928390252492,258.16852121886,160
mk,model4,100,496.24423531879216,260.2095685849136,160
mk,model4,200,538.6634774170245,372.6310962746906,160
mk,model5,25,495.8029801239885,256.49265284844375,160
mk,model5,50,402.5881592765254,229.89581340293216,160
mk,model5,100,500.33004924661,281.8528890798051,160
mk,model5,200,515.3579456028816,346.2132119240468,160
mk,model6,25,472.22444228868,316.19813754138227,160
mk,model6,50,444.7286214938065,275.5717687432448,160
mk,model6,100,499.69791128484644,342.040622412082,160
mk,model6,200,514.8141555950237,340.94243994596843,160
mk,model7,25,522.054621323644,366.2595302368598,160
mk,model7,50,531.8296774088849,335.1035360498748,160
mk,model7,100,568.3990607943074,323.0855423713949,160
mk,model7,200,576.988919850025,434.458008193908,160
mk,model8,25,484.9232573982608,348.3619117107268,160
mk,model8,50,446.72033354300873,264.3285990370046,160
mk,model8,100,513.0880249075628,316.596485231,160
mk,model8,200,514.4217467213286,307.83268824092977,160
mk,model9,25,537.9099689373794,389.87025047352637,160
mk,model9,50,482.69570054512985,402.6290383554341,160
mk,model9,100,565.8796363200265,456.40979285998094,160
mk,model9,200,599.2475148248507,438.434646218526,160
nt,model1,25,452.55513304357225,315.01843902224334,480
nt,model1,50,379.9488635785435,210.5345321243194,480
nt,model1,100,380.125696429606,188.65651807013708,480
nt,model1,200,451.97497764444654,198.7958123246551,480
nt,model10,25,513.9405735189878,361.57780003936836,480
nt,model10,50,481.51207348989425,323.9026891228527,480
nt,model10,100,499.99918433597463,281.71225221431814,480
nt,model10,200,547.8110101305613,344.4117799439561,480
nt,model11,25,306.91947085743993,133.2573514993442,480
nt,model11,50,230.91332690779961,83.10114312049328,480
nt,model11,100,260.93381579705044,78.94796253493652,480
nt,model11,200,378.5696449000098,81.59873858065488,480
nt,model12,25,414.58578865352393,215.98344228738623,480
nt,model12,50,383.78141385322436,139.14499903417746,480
nt,model12,100,435.27627278434767,125.92970797165934,480
nt,model12,200,557.0564359921078,300.65660047062823,480
nt,model2,25,480.8228924397077,328.8115081481055,480
nt,model2,50,441.04231117264163,287.1359253418937,480
nt,model2,100,452.93038851792744,275.9762579669729,480
nt,model2,200,504.1387065427087,325.38305048938076,480
nt,model3,25,474.0929174554692,317.3403078235283,480
nt,model3,50,386.64044526997236,210.98068549645114,480
nt,model3,100,388.01088481717886,195.86810647839334,480
nt,model3,200,456.7331414384929,203.7186253431719,480
nt,model4,25,477.34910930114876,322.29834046630094,480
nt,model4,50,423.18064116228106,266.41856041126897,480
nt,model4,100,448.1601017542431,216.89992986194397,480
nt,model4,200,507.08223112496785,250.485253724009,480
nt,model5,25,490.87278663899696,348.63251583426137,480
nt,model5,50,462.8833468136317,273.92928898959536,480
nt,model5,100,471.75890263904057,229.27409547801219,480
nt,model5,200,520.4753726242036,277.54049593028174,480
nt,model6,25,498.5277180840898,344.34001921468774,480
nt,model6,50,458.1274721593722,283.46842880447343,480
nt,model6,100,464.7179119404094,299.0198395742968,480
nt,model6,200,522.0049933833598,358.3728593365471,480
nt,model7,25,507.59130620101746,378.5371713174354,480
nt,model7,50,470.8852354159021,316.207100859855,480
nt,model7,100,501.6468449748718,284.18118829645994,480
nt,model7,200,538.6486465588673,360.5820844758818,480
nt,model8,25,501.3831211584708,357.2783343113186,480
nt,model8,50,463.5225731198842,307.0740051529225,480
nt,model8,100,490.08733402946734,303.58048163815727,480
nt,model8,200,539.4747008808838,331.73923052059564,480
nt,model9,25,526.278613622798,385.1999582021091,480
nt,model9,50,537.3226969020719,382.4581389303014,480
nt,model9,100,560.2028892644576,373.65447305832913,480
nt,model9,200,590.14573332801,445.8697256931044,450
