scenario,modelID,tree_length,median_tree_ess,p05_tree_ess,n
mk,model1,1,498.5307103956633,350.3909935265451,160
mk,model1,1.5,512.6779859681249,330.5053822461644,160
mk,model1,2.5,462.4888526644115,343.95237177814,160
mk,model1,5,430.04908200207376,247.69177727446407,160
mk,model10,1,493.63312170351094,350.62479899821454,160
mk,model10,1.5,522.2321483644935,336.75598538319036,160
mk,model10,2.5,490.339109860819,318.41514752902,160
mk,model10,5,406.8053143419595,216.82937590503178,160
mk,model11,1,496.0905403033976,231.00647990742863,160
mk,model11,1.5,494.37085868584325,223.34411997430715,160
mk,model11,2.5,377.4113871527285,165.59520640874433,160
mk,model11,5,259.1682218870485,56.42318252252079,160
mk,model12,1,476.6802497819631,25.135631408565423,160
mk,model12,1.5,484.58333584242814,23.114112637702313,160
mk,model12,2.5,382.8074023483432,17.496905071889138,160
mk,model12,5,256.49081615323894,68.35404872177003,160
mk,model2,1,516.5119091371702,360.7803131349368,160
mk,model2,1.5,527.8493345036005,381.7593337959049,160
mk,model2,2.5,470.5960006937504,351.1869485483305,160
mk,model2,5,417.9579227960108,255.91065927827557,160
mk,model3,1,471.38077747191085,357.17727009589913,160
mk,model3,1.5,505.72041854752194,337.72272978520635,160
mk,model3,2.5,477.86796665420275,268.4466685036004,160
mk,model3,5,400.8634538354067,284.8131245033328,160
mk,model4,1,508.63525485072097,368.94128321240714,160
mk,model4,1.5,514.1583906126488,307.5261659173728,160
mk,model4,2.5,495.79861564684745,285.56294219972995,160
mk,model4,5,419.22165764582485,257.889619125047,160
mk,model5,1,500.77824764948394,300.93734434599054,160
mk,model5,1.5,520.8789409262761,284.2297854612115,160
mk,model5,2.5,458.36884864711277,260.60252206035443,160
mk,model5,5,444.54125374713897,231.42762256417507,160
mk,model6,1,555.6849906166639,421.0492608425508,160
mk,model6,1.5,507.1546399173784,316.04834578017534,160
mk,model6,2.5,483.57241028844555,289.51033964590283,160
mk,model6,5,415.11900306497256,273.074261305087,160
mk,model7,1,535.8932644932343,400.2190119910128,160
mk,model7,1.5,548.489949624498,332.9855338544662,160
mk,model7,2.5,555.4707550500699,378.0163217711382,160
mk,model7,5,558.828214300298,405.7369752883325,160
mk,model8,1,525.5272980752169,426.0902892859699,160
mk,model8,1.5,510.43733977815134,367.0470119918736,160
mk,model8,2.5,507.7767938522025,310.0420188596219,160
mk,model8,5,397.9119419774392,245.17852340412628,160
mk,model9,1,541.6690094193764,442.3283887113395,160
mk,model9,1.5,490.09064702692626,394.8835047908121,160
mk,model9,2.5,541.9671581247917,400.40302398283467,160
mk,model9,5,577.8703426800543,416.2289763335071,160
nt,model1,1,456.89368132211195,240.71262334974045,480
nt,model1,1.5,440.41149307656656,225.58288963127055,480
nt,model1,2.5,408.24198635874137,213.7481319002694,480
nt,model1,5,366.4055720148384,188.52982546719946,480
nt,model10,1,536.0101285699743,373.03419054489353,480
nt,model10,1.5,515.6544584022884,361.69205497393875,480
nt,model10,2.5,510.9754526547824,338.7187630545915,480
nt,model10,5,475.15965117667326,271.906014674237,480
nt,model11,1,396.71232020854984,130.10506588756027,480
nt,model11,1.5,344.7476976006117,88.22594571019272,480
nt,model11,2.5,277.6238915007575,89.4162421748852,480
nt,model11,5,189.52228780228484,69.26042357462767,480
nt,model12,1,522.6413805314128,233.42056658719906,480
nt,model12,1.5,486.3827610027876,197.48254528889126,480
nt,model12,2.5,463.86116591014485,190.41620458099175,480
nt,model12,5,342.29236999240334,106.14694693570605,480
nt,model2,1,493.2992004330183,337.7470147843664,480
nt,model2,1.5,487.6936038620154,321.3353788944547,480
nt,model2,2.5,461.55310878267255,300.5155696465904,480
nt,model2,5,424.25303031320004,254.3456357973662,480
nt,model3,1,462.426795465765,255.51200085780533,480
nt,model3,1.5,444.34516396008473,235.33449467822726,480
nt,model3,2.5,424.96158635067803,219.74890324362974,480
nt,model3,5,383.3556310361273,192.28691330535042,480
nt,model4,1,484.0967426945639,285.86912346484894,480
nt,model4,1.5,480.38411315268706,283.10610705831414,480
nt,model4,2.5,459.4130980420054,240.9523508651301,480
nt,model4,5,425.8236970350471,238.68418520219336,480
nt,model5,1,500.8749807504743,310.224732994051,480
nt,model5,1.5,491.4281171847692,287.19294565723055,480
nt,model5,2.5,492.7804818505786,271.1388988603751,480
nt,model5,5,461.6475636154472,247.46051838667998,480
nt,model6,1,522.2546133173178,355.6213200612201,480
nt,model6,1.5,493.47281895340586,336.6941837095962,480
nt,model6,2.5,480.64978663159764,312.14022322582395,480
nt,model6,5,447.47331452318906,263.9441906871746,480
nt,model7,1,518.649492407128,365.6721949427274,480
nt,model7,1.5,516.1884047704768,358.0202417406719,480
nt,model7,2.5,497.54251502329953,351.7873656672611,480
nt,model7,5,482.4605117484552,294.82015366551246,480
nt,model8,1,525.6124810266393,358.1478800576686,480
nt,model8,1.5,515.9666354723266,353.06537807657526,480
nt,model8,2.5,490.47134507785887,318.7640513241779,480
nt,model8,5,451.6104172272403,277.6663699729958,480
nt,model9,1,560.5023649051211,393.4591602710654,480
nt,model9,1.5,550.8528855529819,403.37348098501593,480
nt,model9,2.5,551.1272581644723,379.25063199556195,480
nt,model9,5,559.3414025298632,376.54982392522857,450
