scenario,modelID,median_ratio_tree_to_cont
mk,model12,0.4844771859885678
mk,model11,0.5651191719231095
mk,model8,0.601870046314644
mk,model5,0.6167411988098741
mk,model3,0.6169791591938507
mk,model2,0.6221230533280989
mk,model10,0.6263495034503395
mk,model6,0.6295178564524604
mk,model4,0.635962452167134
mk,model1,0.6414588402943129
mk,model9,0.750348197192442
mk,model7,0.7900638669237205
nt,model11,0.3942214705570741
nt,model1,0.5637964854092127
nt,model3,0.5696122573126595
nt,model4,0.6124167053717092
nt,model2,0.6136828927480402
nt,model6,0.6247654955926207
nt,model8,0.6317553432353156
nt,model5,0.6374012981128759
nt,model10,0.6414912084445434
nt,model7,0.6552626509413113
nt,model9,0.8500199866764044
nt,model12,0.8794122384109522
