"scenario","gridTag","modelID","median_cid","iqr_cid","n_reps","tree_length","gain_loss","n_char","n_taxa","part_rate","pass_rate","mean_rhat_max","mean_ess_min","mean_asdsf","mean_tree_ess","n_reps_conv","cov_tree_len","mse_tree_len","cov_error_tree_len","mean_cov_rate_loss","mean_mse_rate_loss","cov_error_rate_loss","mean_cgr_coverage","cov_error_cgr"
"mk","tl1.00_gl0.10_c100","model1",0.267580472922,0.101139872708615,10,1,0.1,100,50,NA,1,0.999274532809467,772.15531897513,0.0073299183483921,517.035976207731,10,1,0.0187388899269143,0.05,NA,NA,NA,1,0.05
"mk","tl1.00_gl0.10_c100","model10",0.269772300676207,0.0953047100314409,10,1,0.1,100,50,NA,1,0.999547926764587,703.33325789203,0.00567981238089858,487.497434596109,10,1,0.0655233050337926,0.05,NA,NA,NA,0.5,0.45
"mk","tl1.00_gl0.10_c100","model11",0.259855933029932,0.0917112880607917,10,1,0.1,100,50,NA,1,0.999290890031201,708.998316971528,0.0082238686757856,470.88371074188,10,0.8,0.0206178980103578,0.15,NA,NA,NA,0.8,0.15
"mk","tl1.00_gl0.10_c100","model12",0.266332023265183,0.0985680770799313,10,1,0.1,100,50,NA,1,0.999655411588958,710.255088665828,0.00543095609313974,544.214284126725,10,0,0.582334404383498,0.95,NA,NA,NA,0,0.95
"mk","tl1.00_gl0.10_c100","model2",0.269018139518337,0.0980637349602911,10,1,0.1,100,50,NA,1,0.999597277009235,765.092582470292,0.00504517546649955,549.619008619077,10,1,0.0213705225830377,0.05,NA,NA,NA,1,0.05
"mk","tl1.00_gl0.10_c100","model3",0.266398086430375,0.0982174573739328,10,1,0.1,100,50,NA,1,0.999267400787189,737.294149930837,0.0074396327114678,422.076040673797,10,0.9,0.0182208011695476,0.0499999999999999,0,81.2602862917491,0.95,0.45,0.5
"mk","tl1.00_gl0.10_c100","model4",0.268023528425168,0.0964563571464175,10,1,0.1,100,50,NA,1,0.999353730313958,757.493203063445,0.00686328141699625,480.283023194187,10,0.9,0.0583097108806352,0.0499999999999999,NA,NA,NA,0.9,0.0499999999999999
"mk","tl1.00_gl0.10_c100","model5",0.268682175631009,0.0937775551373201,10,1,0.1,100,50,NA,1,0.999354093573424,827.560670153405,0.00696596943952026,484.053795475988,10,0.9,0.0611064356021797,0.0499999999999999,NA,NA,NA,0.45,0.5
"mk","tl1.00_gl0.10_c100","model6",0.268832258172443,0.0931928126633349,10,1,0.1,100,50,NA,1,0.999574181799826,763.812644283375,0.00538078468751818,540.402643464552,10,1,0.0550521024123788,0.05,NA,NA,NA,1,0.05
"mk","tl1.00_gl0.10_c100","model7",0.269063283553225,0.0968346934015754,10,1,0.1,100,50,NA,1,0.999546255922711,640.033123182537,0.00561571529178229,498.361863800659,10,0.6,0.143527218314707,0.35,0,75.8759078139306,0.95,0.2,0.75
"mk","tl1.00_gl0.10_c100","model8",0.267832311438514,0.0927610117348264,10,1,0.1,100,50,NA,1,0.99961479902825,846.215631324144,0.00512855660951284,561.014320738924,10,1,0.0663902506318866,0.05,NA,NA,NA,0.5,0.45
"mk","tl1.00_gl0.10_c100","model9",0.269573897163958,0.0941404580739142,10,1,0.1,100,50,NA,1,0.999537531748294,725.786684329149,0.00584152973758117,564.494929852573,10,0.9,0.11281030442955,0.0499999999999999,NA,NA,NA,0.45,0.5
"mk","tl1.00_gl0.10_c200","model1",0.198199443595298,0.061523117578548,10,1,0.1,200,50,NA,1,0.999288646032794,716.436769857675,0.00766214040080994,496.434557811001,10,0.9,0.0119018729802606,0.0499999999999999,NA,NA,NA,0.9,0.0499999999999999
"mk","tl1.00_gl0.10_c200","model10",0.196644970377018,0.0630102490795566,10,1,0.1,200,50,NA,1,0.999556368122629,740.214609355575,0.00555584450838508,538.487461562833,10,1,0.0126911567018965,0.05,NA,NA,NA,0.5,0.45
"mk","tl1.00_gl0.10_c200","model11",0.179853276699092,0.0579726425645674,10,1,0.1,200,50,NA,1,0.9992681481081,725.467504563103,0.00905165177979704,474.856226757446,10,0.9,0.00872709041855859,0.0499999999999999,NA,NA,NA,0.9,0.0499999999999999
"mk","tl1.00_gl0.10_c200","model12",0.133366683758139,0.0120421069501618,2,1,0.1,200,50,NA,0.2,0.999597433196061,837.105053325775,0.109228078616933,148.723327425176,10,0,0.58376126034254,0.95,NA,NA,NA,0,0.95
"mk","tl1.00_gl0.10_c200","model2",0.198176057862939,0.0603786635102424,10,1,0.1,200,50,NA,1,0.99958821164743,644.651600674552,0.00556831292572295,495.063961217829,10,1,0.010165309585658,0.05,NA,NA,NA,1,0.05
"mk","tl1.00_gl0.10_c200","model3",0.19802216198271,0.0604867281507657,10,1,0.1,200,50,NA,1,0.999233851254988,766.687296278063,0.00817523516130387,501.067850616468,10,0.9,0.0113563384662059,0.0499999999999999,0,80.6084462998847,0.95,0.45,0.5
"mk","tl1.00_gl0.10_c200","model4",0.198321239863955,0.0612158180218727,10,1,0.1,200,50,NA,1,0.999249769467972,727.946104408855,0.00804564165941014,538.600750885964,10,0.9,0.0137406972371338,0.0499999999999999,NA,NA,NA,0.9,0.0499999999999999
