"scenario","modelID","n_grid_cells","avg_median_cid","avg_mean_rhat_max","avg_mean_ess_min","avg_mean_asdsf","avg_pass_rate","avg_mse_tree_len","avg_cov_error_tree_len","avg_mean_mse_rate_loss","avg_cov_error_rate_loss","avg_cov_error_cgr","rank_median_cid","rank_mean_rhat_max","rank_mean_ess_min","rank_mean_asdsf","rank_pass_rate","rank_mse_tree_len","rank_cov_error_tree_len","rank_mean_mse_rate_loss","rank_cov_error_rate_loss","rank_cov_error_cgr"
"mk","model11",64,0.297640155689395,0.999257531235765,701.877148159616,0.00776217961508437,0.9203125,0.315448107849828,0.385969868173258,NA,NA,0.385969868173258,1,1,11,10,9,8,11,NA,NA,10
"mk","model12",64,0.32055660776661,0.999489939983002,860.911311845664,0.020592823962379,0.8671875,0.695373890128084,0.485951100870456,NA,NA,0.485951100870456,2,10,1,12,11,10,12,NA,NA,12
"mk","model1",64,0.326822513154966,0.999323766017651,740.909555140176,0.0068627335789904,1,0.0929643961799601,0.08125,NA,NA,0.08125,3,3,9,8,4.5,1,4.5,NA,NA,3
"mk","model4",64,0.342073983083555,0.999339965795498,752.472007607283,0.00680300076972832,1,0.205795796237184,0.1,NA,NA,0.1,4,4,7,7,4.5,4,7,NA,NA,4
"mk","model7",64,0.342100527606439,0.999663211482642,667.156067943575,0.0045109049738591,0.85,0.936604415270565,0.227703373015873,NA,NA,0.402597966269841,5,12,12,1,12,11,10,NA,NA,11
"mk","model3",64,0.342189153941226,0.999315447125609,742.33518390557,0.00694726257648708,1,0.102860433472166,0.075,22.4331799033001,0.675,0.35078125,6,2,8,9,4.5,2,3,1,1,8
"mk","model5",64,0.342690967663307,0.999360615910888,784.202697395013,0.0171210224605108,0.915625,0.275422369267644,0.113541666666667,NA,NA,0.343489583333333,7,5,3,11,10,7,8,NA,NA,7
"mk","model2",64,0.342961938062422,0.99939926259131,772.682267017211,0.00633286717879564,1,0.103809548414774,0.0625,NA,NA,0.0625,8,6,5,6,4.5,3,1,NA,NA,1
"mk","model8",64,0.343370246419946,0.999424081027622,788.728365308019,0.00623892116634654,1,0.25659177744288,0.08125,NA,NA,0.31171875,9,8,2,4,4.5,6,4.5,NA,NA,6
"mk","model10",64,0.343453320336949,0.999427278978063,780.727555149832,0.00620769951817608,1,0.34582318697704,0.0875,NA,NA,0.31015625,10,9,4,3,4.5,9,6,NA,NA,5
"mk","model6",64,0.343560138456442,0.999403419486728,767.282082367283,0.00630631912599201,1,0.218479645138733,0.06875,NA,NA,0.06875,11,7,6,5,4.5,5,2,NA,NA,2
"mk","model9",56,0.361975007798536,0.99963669138487,705.105784541787,0.00475776210982232,1,1.12908630286763,0.157142857142857,NA,NA,0.352678571428571,12,11,10,2,4.5,12,9,NA,NA,9
"nt","model12",192,0.35490133965025,0.999675047276411,578.368847322208,0.0046355203493696,0.875694444444444,2.23604618587599,0.470723104056437,NA,NA,0.470723104056437,1,11,11,2,11,6,8,NA,NA,8
"nt","model11",192,0.355617659346181,0.99934507975727,736.396997199715,0.00738145577627758,1,0.959762399759753,0.486458333333333,NA,NA,0.486458333333333,2,2,9,12,1.5,1,9,NA,NA,9
"nt","model10",192,0.37031736993064,0.999518183408318,778.768807319432,0.00552050657875679,0.99375,6.35215048952632,0.428602430555556,NA,NA,0.243880208333333,3,8,1,5,9,10,2,NA,NA,1
"nt","model6",192,0.370361027706942,0.999442711229535,772.028291890194,0.00597979404516167,0.997916666666667,5.18502707322419,0.436516203703704,NA,NA,0.436516203703704,4,5,3,7,5,9,5,NA,NA,7
"nt","model8",192,0.370755769350347,0.999485448333199,774.959602778285,0.00573007277898673,0.997395833333333,6.51347768532527,0.435474537037037,NA,NA,0.246585648148148,5,7,2,6,6,11,3,NA,NA,2
"nt","model9",190,0.371560014980656,0.999708640380081,517.450310119898,0.00417124832973,0.680526315789474,2.47678473332123,0.459597295708407,NA,NA,0.269000126646403,6,12,12,1,12,7,7,NA,NA,4
"nt","model2",192,0.371593969683936,0.999374958562718,760.535270652733,0.0064221454769012,0.9984375,14.7854411071859,0.426793981481481,NA,NA,0.426793981481481,7,4,6,9,4,12,1,NA,NA,6
"nt","model7",192,0.372746928248564,0.999547144912979,694.071315387195,0.00529826741126887,0.901041666666667,3.54622962269033,0.45700851521164,NA,NA,0.264488260582011,8,10,10,3,10,8,6,NA,NA,3
"nt","model5",192,0.376112139567967,0.999530302348058,768.143523538194,0.00546033985005202,1,1.74758184913963,0.489583333333333,NA,NA,0.367447916666667,9,9,4,4,1.5,4,10,NA,NA,5
"nt","model4",192,0.377378047717466,0.999443606075479,757.87353351872,0.00602017291769889,0.994270833333333,1.83733642036807,0.517708333333333,NA,NA,0.517708333333333,10,6,7,8,8,5,12,NA,NA,11
"nt","model1",192,0.379578622840917,0.999325323061691,740.709045187718,0.00671085509918417,0.994791666666667,1.54044964260703,0.492733134920635,NA,NA,0.492733134920635,11,1,8,11,7,3,11,NA,NA,10
"nt","model3",192,0.379674522083321,0.999351852603505,761.913133888709,0.0065638185114581,0.998958333333333,1.49212854621671,0.436226851851852,16.8441717370792,0.658043981481481,0.544270833333333,12,3,5,10,3,2,4,1,1,12
