"scenario","metric","rho","lower","upper","p.value","n"
"mk","mean_rhat_max",0.664335664335664,0.0322523246469981,0.977861813544606,0.0184527180284454,12
"mk","mean_ess_min",-0.405594405594406,-0.891304347826087,0.371851695696856,0.1908358740045,12
"mk","mean_asdsf",-0.223776223776224,-0.896707248094379,0.526965905177362,0.484451661455399,12
"mk","pass_rate",0.194949923796039,-0.703196899605677,0.799249620115302,0.543735112842633,12
"mk","mse_tree_len",0.391608391608392,-0.303250244379276,0.86187987012987,0.208063463695353,12
"mk","cov_error_tree_len",-0.101755012344263,-0.83760448457535,0.629439408303745,0.753012276329634,12
"mk","mean_mse_rate_loss",NA,NA,NA,NA,3
"mk","cov_error_rate_loss",NA,NA,NA,NA,3
"mk","cov_error_cgr",-0.055944055944056,-0.793214285714285,0.641935483870967,0.862898073694971,12
"nt","mean_rhat_max",-0.048951048951049,-0.741927223542698,0.638409621228565,0.879918578878675,12
"nt","mean_ess_min",0.132867132867133,-0.510998060710534,0.871462645128723,0.680597508286082,12
"nt","mean_asdsf",0.020979020979021,-0.664325154200447,0.800729411170844,0.948402225236522,12
"nt","pass_rate",0.150613190692744,-0.544581563540351,0.756315769333793,0.640334525075013,12
"nt","mse_tree_len",-0.188811188811189,-0.798278157564585,0.47621116533746,0.556737056176832,12
"nt","cov_error_tree_len",0.669002777263121,0.070996647756576,0.971742815970162,0.0173585858460833,12
"nt","mean_mse_rate_loss",NA,NA,NA,NA,4
"nt","cov_error_rate_loss",NA,NA,NA,NA,4
"nt","cov_error_cgr",0.678321678321678,0.0579503105590062,0.956996900470669,0.0153173290532817,12
