"scenario","modelID","predictor","threshold","direction","range_lo","range_hi","stable"
"mk","model2","tree_length",NA,NA,1,5,TRUE
"mk","model2","rate_ratio",NA,NA,0.1,1,TRUE
"mk","model2","chars_per_taxon",NA,NA,0.5,4,TRUE
"mk","model3","tree_length",1.52617993765011,"below",1,5,TRUE
"mk","model3","rate_ratio",NA,NA,0.1,1,TRUE
"mk","model3","chars_per_taxon",NA,NA,0.5,4,TRUE
"mk","model4","tree_length",NA,NA,1,5,TRUE
"mk","model4","rate_ratio",NA,NA,0.1,1,TRUE
"mk","model4","chars_per_taxon",0.729127416769509,"below",0.5,4,TRUE
"mk","model5","tree_length",1.35131827921109,"below",1,5,TRUE
"mk","model5","rate_ratio",NA,NA,0.1,1,TRUE
"mk","model5","chars_per_taxon",NA,NA,0.5,4,TRUE
"mk","model6","tree_length",NA,NA,1,5,TRUE
"mk","model6","rate_ratio",NA,NA,0.1,1,TRUE
"mk","model6","chars_per_taxon",NA,NA,0.5,4,TRUE
"mk","model7","tree_length",NA,NA,1,5,TRUE
"mk","model7","rate_ratio",NA,NA,0.1,1,TRUE
"mk","model7","chars_per_taxon",NA,NA,0.5,4,TRUE
"mk","model8","tree_length",NA,NA,1,5,TRUE
"mk","model8","rate_ratio",NA,NA,0.1,1,TRUE
"mk","model8","chars_per_taxon",NA,NA,0.5,4,TRUE
"mk","model9","tree_length",NA,NA,1,5,TRUE
"mk","model9","rate_ratio",NA,NA,0.1,1,TRUE
"mk","model9","chars_per_taxon",NA,NA,0.5,4,TRUE
"mk","model10","tree_length",NA,NA,1,5,TRUE
"mk","model10","rate_ratio",NA,NA,0.1,1,TRUE
"mk","model10","chars_per_taxon",NA,NA,0.5,4,TRUE
"mk","model11","tree_length",NA,NA,1,5,TRUE
"mk","model11","rate_ratio",NA,NA,0.1,1,TRUE
"mk","model11","chars_per_taxon",NA,NA,0.5,4,TRUE
"mk","model12","tree_length",NA,NA,1,5,TRUE
"mk","model12","rate_ratio",NA,NA,0.1,1,TRUE
"mk","model12","chars_per_taxon",NA,NA,0.5,4,TRUE
