modelID,scenario,mean_rel_mse_tree_len,ros_rel_mse_tree_len,pct_difference
model3,mk,0.019589888594040004,0.011925847359091682,64.26412316191212
model2,mk,0.018676478801945933,0.012035889671278121,55.173230330572075
model1,mk,0.01661683457798157,0.010778480716517118,54.16676074316915
model4,mk,0.03258915740909954,0.0238603821724271,36.5827134435397
model5,mk,0.0386935069199149,0.028462300024072674,35.94652184534958
model8,mk,0.03932300275255087,0.02974977129772526,32.17917663641873
model6,mk,0.033273363658766986,0.025330973349418265,31.35446159052203
model9,mk,0.13414123345263643,0.18917261417284637,-29.09056417115849
model10,mk,0.04611493094651974,0.0400954419683525,15.012900925043931
model7,mk,0.11513120840253661,0.10398764290860028,10.71624010530842
model11,mk,0.038623732901456154,0.03912085030269259,-1.2707223830516354
model12,mk,0.566103523819723,0.5690341439614061,-0.5150165719900754
model11,nt,0.40041838749240244,0.11127679997214529,259.83995549174205
model1,nt,0.6367958883512207,0.17874200545801225,256.2653818946932
model3,nt,0.6100811739868326,0.1728255289324137,253.0040832251206
model2,nt,4.770874142521388,1.7112842397541856,178.78911239238033
model6,nt,1.564982699044162,0.5997061472318517,160.95825535020336
model8,nt,1.9553122500079851,0.7533681605512423,159.54272457934456
model10,nt,1.8595639941435518,0.7324816268501696,153.87175950611643
model7,nt,0.8220025213204958,0.39266889097764,109.33731706474899
model5,nt,0.3360366641347827,0.20261818540749346,65.84723797568618
model4,nt,0.3459782514110223,0.2133616105074856,62.15581171706799
model12,nt,0.42726582450106215,0.4964518498379931,-13.936099817033295
model9,nt,0.3324851492576946,0.3156270681666843,5.341139208664922
