modelID,scenario,mean_mse_tree_len,mean_rel_mse_tree_len,mean_mse_rate_loss,mean_rel_mse_rate_loss
model1,mk,0.09296439617996015,0.01661683457798157,NA,NA
model2,mk,0.1038095484147738,0.018676478801945933,NA,NA
model3,mk,0.10286043347216575,0.019589888594040004,22.433179903300097,0.41293387527622594
model4,mk,0.20579579623718375,0.03258915740909954,NA,NA
model6,mk,0.21847964513873253,0.033273363658766986,NA,NA
model11,mk,0.3374173338607236,0.038623732901456154,NA,NA
model5,mk,0.24548733770762682,0.0386935069199149,0.4720089342750676,0.2616970134466183
model8,mk,0.25659177744288036,0.03932300275255087,NA,NA
model10,mk,0.3458231869770403,0.04611493094651974,NA,NA
model7,mk,0.8968934200866775,0.11513120840253661,22.51090348797131,0.4047523629362272
model9,mk,1.6316137972407998,0.13414123345263643,NA,NA
model12,mk,4.907919491667127,0.566103523819723,NA,NA
model9,nt,2.76549431155571,0.3324851492576946,21.821396364337364,0.39446045095475163
model5,nt,1.747581849139631,0.3360366641347827,NA,NA
model4,nt,1.8402438906270633,0.3459782514110223,NA,NA
model11,nt,0.9597623997597532,0.40041838749240244,NA,NA
model12,nt,4.281897204852691,0.42726582450106215,NA,NA
model3,nt,1.4906201870420681,0.6100811739868326,16.844690011401575,0.3013289265281473
model1,nt,1.5416497970753558,0.6367958883512207,NA,NA
model7,nt,3.386769184682145,0.8220025213204958,23.447469656206266,0.410772079257074
model6,nt,5.172465519874721,1.564982699044162,NA,NA
model10,nt,6.317654031582713,1.8595639941435518,11.534812444621465,0.3157435045369953
model8,nt,6.497800384754465,1.9553122500079851,NA,NA
model2,nt,14.75982656787985,4.770874142521388,NA,NA
