modelID,scenario,gain_loss,mean_mse_rate_loss,mean_rel_mse_rate_loss,n
model3,mk,0.1,79.99965317916404,0.7999965317916404,16
model7,mk,0.1,80.2828809008422,0.8028288090084219,8
model3,mk,0.25,8.712898456523405,0.5445561535327128,16
model7,mk,0.25,8.782658108901472,0.548916131806342,8
model5,mk,0.5,0.8412476833137974,0.21031192082844935,2
model7,mk,0.5,0.9477472416152195,0.23693681040380488,8
model3,mk,0.5,0.9506468823098586,0.23766172057746465,16
model7,mk,1,0.030327700526339908,0.030327700526339908,8
model3,mk,1,0.06952109520308587,0.06952109520308587,16
model5,mk,1,0.28738955975570274,0.28738955975570274,4
model3,nt,0.1,60.970824238567644,0.6097082423856764,48
model10,nt,0.1,78.49808110401955,0.7849808110401955,1
model7,nt,0.1,80.0415037428148,0.8004150374281479,26
model9,nt,0.1,80.524541634427365,0.8052454163442736,16
model3,nt,0.25,5.709263763125557,0.35682898519534734,48
model9,nt,0.25,8.990640461090791,0.5619150288181745,15
model7,nt,0.25,9.036117751208769,0.5647573594505481,24
model10,nt,0.25,9.963189022496396,0.6226993139060247,1
model3,nt,0.5,0.6131914205087039,0.15329785512717597,48
model7,nt,0.5,0.909445566705075,0.22736139167626876,25
model9,nt,0.5,1.0198457758194701,0.25496144395486753,16
model10,nt,0.5,1.1995384529360185,0.2998846132340046,3
model7,nt,1,0.02572639394160864,0.02572639394160864,24
model9,nt,1,0.033808135050248996,0.033808135050248996,19
model10,nt,1,0.07287135721590944,0.07287135721590944,3
model3,nt,1,0.08548062340438932,0.08548062340438932,48
