modelID,scenario,ros_rel_mse_tree_len,ros_rel_mse_rate_loss,n_tree_len,n_rate_loss
model1,mk,0.010778480716517118,0,64,0
model3,mk,0.011925847359091682,0.7415927240760363,64,64
model2,mk,0.012035889671278121,0,64,0
model4,mk,0.0238603821724271,0,64,0
model6,mk,0.025330973349418265,0,64,0
model5,mk,0.028462300024072674,0.0014628376062243832,64,6
model8,mk,0.02974977129772526,0,64,0
model11,mk,0.03912085030269259,0,64,0
model10,mk,0.0400954419683525,0,64,0
model7,mk,0.10398764290860028,0.3720810493879555,64,32
model9,mk,0.18917261417284637,0,64,0
model12,mk,0.5690341439614061,0,64,0
model11,nt,0.11127679997214529,0,192,0
model3,nt,0.1728255289324137,0.5568492565752586,192,192
model1,nt,0.17874200545801225,0,192,0
model5,nt,0.20261818540749346,0,192,0
model4,nt,0.2133616105074856,0,192,0
model9,nt,0.3156270681666843,0.2479704132311064,189,66
model7,nt,0.39266889097764,0.39967277823078867,192,99
model12,nt,0.4964518498379931,0,192,0
model6,nt,0.5997061472318517,0,192,0
model10,nt,0.7324816268501696,0.015888171411324332,192,8
model8,nt,0.7533681605512423,0,192,0
model2,nt,1.7112842397541856,0,192,0
