modelID,scenario,tree_length,mean_mse_tree_len,mean_rel_mse_tree_len,n
model2,mk,1,0.034114719027989404,0.034114719027989404,16
model1,mk,1,0.03456023104195716,0.03456023104195716,16
model3,mk,1,0.04009424353737839,0.04009424353737839,16
model11,mk,1,0.05091592471097301,0.05091592471097301,16
model6,mk,1,0.05272478939336975,0.05272478939336975,16
model4,mk,1,0.05841702804174971,0.05841702804174971,16
model8,mk,1,0.06139292245848395,0.06139292245848395,16
model10,mk,1,0.0639477351104916,0.0639477351104916,16
model5,mk,1,0.06612150137149408,0.06612150137149408,16
model9,mk,1,0.10852558324021198,0.10852558324021198,16
model7,mk,1,0.12868226101689675,0.12868226101689675,16
model12,mk,1,0.563014622576091,0.563014622576091,16
model1,mk,1.5,0.03221928739446768,0.01431968328643008,16
model3,mk,1.5,0.04144256127867105,0.0184189161238538,16
model2,mk,1.5,0.04369603379307181,0.01942045946358747,16
model4,mk,1.5,0.06419699585928237,0.028531998159681056,16
model6,mk,1.5,0.07101557222743922,0.03156247654552854,16
model11,mk,1.5,0.07534670278744025,0.033487423461084555,16
model5,mk,1.5,0.07923587092513232,0.035215942633392144,16
model8,mk,1.5,0.08561237421256329,0.03804994409447257,16
model10,mk,1.5,0.10228500748477572,0.04546000332656698,16
model9,mk,1.5,0.219962288825461,0.09776101725576045,16
model7,mk,1.5,0.2608997249672096,0.1159554333187598,16
model12,mk,1.5,1.273774789114404,0.5661221284952906,16
model1,mk,2.5,0.04486917776835345,0.007179068442936552,16
model3,mk,2.5,0.0554183129335274,0.008866930069364384,16
model2,mk,2.5,0.06394699235571248,0.010231518776913997,16
model4,mk,2.5,0.12820697494216068,0.02051311599074571,16
model6,mk,2.5,0.15665883282337345,0.02506541325173975,16
model5,mk,2.5,0.1664408711118176,0.026630539377890818,16
model11,mk,2.5,0.1762942926332317,0.028207086821317073,16
model8,mk,2.5,0.18895559944356655,0.03023289591097065,16
model10,mk,2.5,0.21974654280420525,0.03515944684867284,16
model9,mk,2.5,0.6863303386556019,0.1098128541848963,16
model7,mk,2.5,0.7330622624998813,0.11728996199998101,16
model12,mk,2.5,3.529015016736581,0.5646424026778529,16
model1,mk,5,0.2602088885150623,0.010408355540602493,16
model2,mk,5,0.2734804484823215,0.01093921793929286,16
model3,mk,5,0.2744866161390862,0.010979464645563446,16
model4,mk,5,0.5723621861055422,0.02289448744422169,16
model6,mk,5,0.5935193861107476,0.023740775444429905,16
model5,mk,5,0.6701511074220633,0.02680604429688253,16
model8,mk,5,0.6904062136569078,0.02761624854627631,16
model10,mk,5,0.9973134625086886,0.03989253850034754,16
model11,mk,5,1.0471124153112494,0.04188449661244998,16
model7,mk,5,2.464929431862722,0.0985971772745089,16
model9,mk,5,5.511636978241924,0.22046547912967698,16
model12,mk,5,14.265873538241431,0.5706349415296572,16
model12,nt,1,0.35668303015030506,0.35668303015030506,48
model9,nt,1,0.3927310769249037,0.3927310769249037,48
model5,nt,1,0.6103555408740061,0.6103555408740061,48
model4,nt,1,0.6429428986947632,0.6429428986947632,48
model11,nt,1,0.9549319374274926,0.9549319374274926,48
model3,nt,1,1.37752772717671,1.37752772717671,48
model1,nt,1,1.4381195196972771,1.4381195196972771,48
model7,nt,1,1.4825446692499447,1.4825446692499447,48
model6,nt,1,3.3251304350365833,3.3251304350365833,48
model10,nt,1,3.7285183006575227,3.7285183006575227,48
model8,nt,1,3.9939849450263583,3.9939849450263583,48
model2,nt,1,9.965236398740927,9.965236398740927,48
model9,nt,1.5,0.65752773864526,0.2922345505090045,48
model5,nt,1.5,0.7680222704101316,0.34134323129339184,48
model4,nt,1.5,0.7693847491829428,0.34194877741464125,48
model12,nt,1.5,0.8645401737777946,0.3842400772345754,48
model11,nt,1.5,1.0287158748446046,0.4572070554864909,48
model3,nt,1.5,1.6315756364167084,0.7251447272963149,48
model1,nt,1.5,1.711695408621225,0.7607535149427667,48
model7,nt,1.5,2.256231504448292,1.0027695575325741,48
model6,nt,1.5,3.933332915136788,1.748147962283017,48
model10,nt,1.5,5.001041102765486,2.222684934562438,48
model8,nt,1.5,5.194359455533281,2.308604202459236,48
model2,nt,1.5,12.620977855958682,5.609323491537192,48
model11,nt,2.5,0.9609873798745805,0.15375798077993288,48
model4,nt,2.5,1.3422951079121914,0.21476721726595063,48
model5,nt,2.5,1.3997491746729789,0.2239598679476766,48
model3,nt,2.5,1.8293095507609298,0.29268952812174875,48
model1,nt,2.5,1.8969929030460175,0.3035188644873628,48
model9,nt,2.5,1.9219970526753882,0.30751952842806213,48
model12,nt,2.5,2.765713050000514,0.44251408800008224,48
model7,nt,2.5,3.4196986324854217,0.5471517811976675,48
model6,nt,2.5,5.411637080700225,0.865861932912036,48
model10,nt,2.5,6.878420603649436,1.1005472965839098,48
model8,nt,2.5,7.054546391733475,1.128727422677356,48
model2,nt,2.5,17.090108326121985,2.7344173321795178,48
model11,nt,5,0.8944144068923353,0.03577657627569341,48
model1,nt,5,1.119791356936903,0.04479165427747612,48
model3,nt,5,1.124067833813924,0.044962713352556964,48
model5,nt,5,4.212200410601408,0.16848801642405634,48
model4,nt,5,4.6063528067183555,0.18425411226873423,48
model7,nt,5,6.388601932544921,0.25554407730179685,48
model6,nt,5,8.019761648625286,0.3207904659450115,48
model9,nt,5,8.44466984907206,0.33778679396288236,48
model10,nt,5,9.662636119258407,0.38650544477033627,48
model8,nt,5,9.748310746724746,0.38993242986898985,48
model12,nt,5,13.14065256548215,0.525626102619286,48
model2,nt,5,19.362983690697806,0.7745193476279123,48
