modelID,modelID_label,mean_cov,mean_mse,sd_cov,n_failures
model2,M2,0.634765625,11.095822313013581,0.2389567680769974,204
model9,M9,0.633201581027668,2.478662877104507,0.35668839897835813,182
model10,M10,0.628515625,4.824696320431295,0.30577343873092266,204
model6,M6,0.62734375,3.9339690511907235,0.3134163036789323,202
model8,M8 (NT baseline),0.62578125,4.937498232926569,0.30914076843063315,202
model3,M3,0.616796875,1.1436802486495925,0.24396860483893992,224
model7,M7,0.580078125,2.764300243533278,0.29271145155690276,232
model1,M1 (Mk baseline),0.5765625,1.1794784468515067,0.26846970106914647,216
model5,M5,0.572265625,1.3720582212816301,0.3272768566999087,219
model4,M4,0.54921875,1.4316318670295933,0.3329007609884163,222
model11,M11,0.49140625,0.8041761332849958,0.23247258957124556,252
model12,M12,0.02890625,4.4384027765563,0.059609637002161084,256
