modelID,modelID_label,mean_cov_tree_len,mean_cov_rate_loss,mean_mse_tree_len,mean_mse_rate_loss,n_cells
model2,M2,0.6345920138888889,NA,11.115033217493114,NA,256
model10,M10,0.6269856770833333,NA,4.850568663888997,NA,256
model6,M6,0.6265190972222222,NA,3.943390216202824,NA,256
model8,M8 (NT baseline),0.6241753472222222,NA,4.949256208354671,NA,256
model3,M3,0.6165798611111111,0.2963107638888889,1.1448115180305745,18.241423778634424,256
model9,M9,0.5955972771190162,NA,2.2629865518621486,NA,256
model1,M1 (Mk baseline),0.5757626488095238,NA,1.1785783310002633,NA,256
model5,M5,0.5696614583333334,NA,1.3795419791716343,NA,256
model7,M7,0.5616458953373016,NA,2.8938233208353874,NA,256
model4,M4,0.55,NA,1.429451264335346,NA,256
model11,M11,0.4887560867640549,NA,0.8083100363227588,NA,256
model12,M12,0.48731507165973187,NA,1.7723486988062314,NA,256
