modelID,modelID_label,n_below_95_mk,n_below_95_nt,pct_below_95_mk,pct_below_95_nt,mean_cov_mk,mean_cov_nt,mean_mse_mk,mean_mse_nt,failures_diff_nt_minus_mk
model2,M2,12,192,18.8,100,0.96875,0.5232060185185186,0.1038095484147738,14.785441107185894,180
model6,M6,16,186,25,96.9,0.95625,0.5166087962962963,0.21847964513873253,5.185027073224188,170
model8,M8 (NT baseline),16,186,25,96.9,0.94375,0.517650462962963,0.25659177744288036,6.5134776853252685,170
model1,M1 (Mk baseline),24,192,37.5,100,0.93125,0.4572668650793651,0.09296439617996015,1.540449642607031,168
model10,M10,20,184,31.2,95.8,0.93125,0.5255642361111111,0.3458231869770403,6.352150489526316,164
model3,M3,32,192,50,100,0.925,0.5137731481481481,0.10286043347216575,1.4921285462167109,160
model4,M4,36,186,56.2,96.9,0.89375,0.4354166666666667,0.20579579623718375,1.8373364203680667,150
model5,M5,34,183,53.1,95.3,0.8833333333333333,0.46510416666666665,0.27542236926764424,1.747581849139631,149
model11,M11,55,192,85.9,100,0.5708097928436912,0.4635416666666667,0.31544810784982763,0.9597623997597532,137
model7,M7,48,179,75,93.2,0.747296626984127,0.49976231812169314,0.9366044152705655,3.546229622690328,131
model9,M9,44,137,68.8,71.4,0.8250000000000001,0.5179159318048207,1.6316137972407998,2.47678473332123,93
model12,M12,58,122,90.6,63.5,0.4705005120327701,0.4945546737213404,0.6953738901280837,2.2360461858759892,64
