gridTag,tree_length,gain_loss,n_char,n_failures
tl1.00_gl0.25_pr5.00_c100,1,0.25,100,12
tl1.00_gl0.50_pr1.00_c50,1,0.5,50,12
tl1.00_gl0.50_pr2.50_c50,1,0.5,50,12
tl1.00_gl0.50_pr5.00_c100,1,0.5,100,12
tl1.00_gl0.50_pr5.00_c50,1,0.5,50,12
tl1.00_gl1.00_pr1.00_c100,1,1,100,12
tl1.00_gl1.00_pr2.50_c100,1,1,100,12
tl1.00_gl1.00_pr5.00_c100,1,1,100,12
tl1.00_gl1.00_pr5.00_c50,1,1,50,12
tl1.50_gl0.10_pr2.50_c100,1.5,0.1,100,12
tl1.50_gl0.10_pr2.50_c50,1.5,0.1,50,12
tl1.50_gl0.10_pr5.00_c100,1.5,0.1,100,12
tl1.50_gl0.10_pr5.00_c50,1.5,0.1,50,12
tl1.50_gl0.25_pr2.50_c100,1.5,0.25,100,12
tl1.50_gl0.25_pr2.50_c50,1.5,0.25,50,12
tl1.50_gl0.25_pr5.00_c100,1.5,0.25,100,12
tl1.50_gl0.25_pr5.00_c50,1.5,0.25,50,12
tl1.50_gl0.50_pr2.50_c100,1.5,0.5,100,12
tl1.50_gl0.50_pr2.50_c25,1.5,0.5,25,12
tl1.50_gl0.50_pr2.50_c50,1.5,0.5,50,12
tl1.50_gl0.50_pr5.00_c100,1.5,0.5,100,12
tl1.50_gl0.50_pr5.00_c25,1.5,0.5,25,12
tl1.50_gl0.50_pr5.00_c50,1.5,0.5,50,12
tl1.50_gl1.00_pr2.50_c100,1.5,1,100,12
tl1.50_gl1.00_pr2.50_c25,1.5,1,25,12
tl1.50_gl1.00_pr2.50_c50,1.5,1,50,12
tl1.50_gl1.00_pr5.00_c100,1.5,1,100,12
tl1.50_gl1.00_pr5.00_c25,1.5,1,25,12
tl1.50_gl1.00_pr5.00_c50,1.5,1,50,12
tl2.50_gl0.10_pr1.00_c100,2.5,0.1,100,12
tl2.50_gl0.10_pr2.50_c100,2.5,0.1,100,12
tl2.50_gl0.10_pr2.50_c25,2.5,0.1,25,12
tl2.50_gl0.10_pr2.50_c50,2.5,0.1,50,12
tl2.50_gl0.10_pr5.00_c100,2.5,0.1,100,12
tl2.50_gl0.10_pr5.00_c25,2.5,0.1,25,12
tl2.50_gl0.10_pr5.00_c50,2.5,0.1,50,12
tl2.50_gl0.25_pr1.00_c100,2.5,0.25,100,12
tl2.50_gl0.25_pr1.00_c25,2.5,0.25,25,12
tl2.50_gl0.25_pr2.50_c100,2.5,0.25,100,12
tl2.50_gl0.25_pr2.50_c25,2.5,0.25,25,12
tl2.50_gl0.25_pr2.50_c50,2.5,0.25,50,12
tl2.50_gl0.25_pr5.00_c100,2.5,0.25,100,12
tl2.50_gl0.25_pr5.00_c25,2.5,0.25,25,12
tl2.50_gl0.25_pr5.00_c50,2.5,0.25,50,12
