modelID,modelID_label,mean_mse_tree_len,mean_mse_rate_loss
model11,M11,0.8041761332849958,NA
model3,M3,1.1436802486495925,18.241812484376204
model1,M1 (Mk baseline),1.1794784468515067,NA
model5,M5,1.3720582212816301,0.4720089342750676
model4,M4,1.4316318670295933,NA
model9,M9,2.478662877104507,21.821396364337364
model7,M7,2.764300243533278,23.218690134194674
model6,M6,3.9339690511907235,NA
model12,M12,4.4384027765563,NA
model10,M10,4.824696320431295,11.534812444621465
model8,M8 (NT baseline),4.937498232926569,NA
model2,M2,11.095822313013581,NA
