gridTag,tree_length,gain_loss,n_char,mean_mse_tree_len
tl5.00_gl1.00_pr2.50_c200,5,1,200,24.428651767013545
tl2.50_gl1.00_pr1.00_c200,2.5,1,200,20.92138700833624
tl5.00_gl1.00_pr1.00_c200,5,1,200,19.929534199090437
tl1.50_gl1.00_pr1.00_c200,1.5,1,200,16.43131454090392
tl5.00_gl0.50_pr1.00_c200,5,0.5,200,14.136876482711388
tl5.00_gl1.00_pr5.00_c200,5,1,200,13.513032584633578
tl5.00_gl0.50_pr5.00_c200,5,0.5,200,12.843235134358688
tl2.50_gl0.50_pr1.00_c200,2.5,0.5,200,12.211907285678476
tl5.00_gl0.50_pr2.50_c200,5,0.5,200,11.625732259139665
tl5.00_gl0.25_pr5.00_c200,5,0.25,200,11.548147690901889
tl1.00_gl1.00_pr1.00_c200,1,1,200,11.308667147610523
tl2.50_gl1.00_pr2.50_c200,2.5,1,200,11.019190183152089
tl2.50_gl1.00_pr2.50_c100,2.5,1,100,10.974931253888325
tl2.50_gl1.00_pr5.00_c200,2.5,1,200,10.551746782110062
tl5.00_gl1.00_pr5.00_c100,5,1,100,10.519123675184108
tl5.00_gl0.10_pr5.00_c200,5,0.1,200,9.198683983498913
tl5.00_gl1.00_pr1.00_c100,5,1,100,8.56509040719402
tl5.00_gl0.50_pr5.00_c100,5,0.5,100,8.48395887057176
tl1.50_gl0.50_pr1.00_c200,1.5,0.5,200,8.471287347759324
tl2.50_gl0.50_pr5.00_c200,2.5,0.5,200,8.289024062150606
tl2.50_gl0.50_pr2.50_c200,2.5,0.5,200,8.158882314850745
tl1.00_gl0.50_pr1.00_c200,1,0.5,200,7.992974171508993
tl5.00_gl0.25_pr2.50_c200,5,0.25,200,7.894172096082076
tl5.00_gl0.50_pr1.00_c100,5,0.5,100,7.678551043965582
tl2.50_gl1.00_pr1.00_c100,2.5,1,100,7.6214112969342
tl5.00_gl1.00_pr2.50_c100,5,1,100,7.537621072512666
tl1.50_gl1.00_pr2.50_c200,1.5,1,200,7.410883825778078
tl1.50_gl0.50_pr2.50_c200,1.5,0.5,200,7.305949185668209
tl5.00_gl0.25_pr5.00_c100,5,0.25,100,7.225356588297619
