"gridTag","tree_length","gain_loss","n_char","cov_tree_len","mse_tree_len","rate_param","cov_rate_loss","mse_rate_loss","modelID","scenario"
"tl1.00_gl0.10_c25",1,0.1,25,1,0.057212559896991,NA,NA,NA,"model1","mk"
"tl1.50_gl0.10_c25",1.5,0.1,25,1,0.0317141762526112,NA,NA,NA,"model1","mk"
"tl2.50_gl0.10_c25",2.5,0.1,25,1,0.0858381892893283,NA,NA,NA,"model1","mk"
"tl5.00_gl0.10_c25",5,0.1,25,0.7,0.699081546179059,NA,NA,NA,"model1","mk"
"tl1.00_gl0.25_c25",1,0.25,25,1,0.057212559896991,NA,NA,NA,"model1","mk"
"tl1.50_gl0.25_c25",1.5,0.25,25,1,0.0317141762526112,NA,NA,NA,"model1","mk"
"tl2.50_gl0.25_c25",2.5,0.25,25,1,0.0858381892893283,NA,NA,NA,"model1","mk"
"tl5.00_gl0.25_c25",5,0.25,25,0.7,0.699081546179059,NA,NA,NA,"model1","mk"
"tl1.00_gl0.50_c25",1,0.5,25,1,0.057212559896991,NA,NA,NA,"model1","mk"
"tl1.50_gl0.50_c25",1.5,0.5,25,1,0.0317141762526112,NA,NA,NA,"model1","mk"
"tl2.50_gl0.50_c25",2.5,0.5,25,1,0.0858381892893283,NA,NA,NA,"model1","mk"
"tl5.00_gl0.50_c25",5,0.5,25,0.7,0.699081546179059,NA,NA,NA,"model1","mk"
"tl1.00_gl1.00_c25",1,1,25,1,0.057212559896991,NA,NA,NA,"model1","mk"
"tl1.50_gl1.00_c25",1.5,1,25,1,0.0317141762526112,NA,NA,NA,"model1","mk"
"tl2.50_gl1.00_c25",2.5,1,25,1,0.0858381892893283,NA,NA,NA,"model1","mk"
"tl5.00_gl1.00_c25",5,1,25,0.7,0.699081546179059,NA,NA,NA,"model1","mk"
"tl1.00_gl0.10_c50",1,0.1,50,1,0.0503876013636628,NA,NA,NA,"model1","mk"
"tl1.50_gl0.10_c50",1.5,0.1,50,1,0.0625654153564077,NA,NA,NA,"model1","mk"
"tl2.50_gl0.10_c50",2.5,0.1,50,1,0.0177965755487578,NA,NA,NA,"model1","mk"
"tl5.00_gl0.10_c50",5,0.1,50,0.7,0.250784538948695,NA,NA,NA,"model1","mk"
"tl1.00_gl0.25_c50",1,0.25,50,1,0.0503876013636628,NA,NA,NA,"model1","mk"
"tl1.50_gl0.25_c50",1.5,0.25,50,1,0.0625654153564077,NA,NA,NA,"model1","mk"
"tl2.50_gl0.25_c50",2.5,0.25,50,1,0.0177965755487578,NA,NA,NA,"model1","mk"
"tl5.00_gl0.25_c50",5,0.25,50,0.7,0.250784538948695,NA,NA,NA,"model1","mk"
"tl1.00_gl0.50_c50",1,0.5,50,1,0.0503876013636628,NA,NA,NA,"model1","mk"
"tl1.50_gl0.50_c50",1.5,0.5,50,1,0.0625654153564077,NA,NA,NA,"model1","mk"
"tl2.50_gl0.50_c50",2.5,0.5,50,1,0.0177965755487578,NA,NA,NA,"model1","mk"
"tl5.00_gl0.50_c50",5,0.5,50,0.7,0.250784538948695,NA,NA,NA,"model1","mk"
"tl1.00_gl1.00_c50",1,1,50,1,0.0503876013636628,NA,NA,NA,"model1","mk"
"tl1.50_gl1.00_c50",1.5,1,50,1,0.0625654153564077,NA,NA,NA,"model1","mk"
"tl2.50_gl1.00_c50",2.5,1,50,1,0.0177965755487578,NA,NA,NA,"model1","mk"
"tl5.00_gl1.00_c50",5,1,50,0.7,0.250784538948695,NA,NA,NA,"model1","mk"
"tl1.00_gl0.10_c100",1,0.1,100,1,0.0187388899269143,NA,NA,NA,"model1","mk"
"tl1.50_gl0.10_c100",1.5,0.1,100,0.9,0.0225430669251113,NA,NA,NA,"model1","mk"
"tl2.50_gl0.10_c100",2.5,0.1,100,0.8,0.0668609044468466,NA,NA,NA,"model1","mk"
"tl5.00_gl0.10_c100",5,0.1,100,1,0.068308698903698,NA,NA,NA,"model1","mk"
"tl1.00_gl0.25_c100",1,0.25,100,1,0.0187388899269143,NA,NA,NA,"model1","mk"
"tl1.50_gl0.25_c100",1.5,0.25,100,0.9,0.0225430669251113,NA,NA,NA,"model1","mk"
"tl2.50_gl0.25_c100",2.5,0.25,100,0.8,0.0668609044468466,NA,NA,NA,"model1","mk"
"tl5.00_gl0.25_c100",5,0.25,100,1,0.068308698903698,NA,NA,NA,"model1","mk"
"tl1.00_gl0.50_c100",1,0.5,100,1,0.0187388899269143,NA,NA,NA,"model1","mk"
"tl1.50_gl0.50_c100",1.5,0.5,100,0.9,0.0225430669251113,NA,NA,NA,"model1","mk"
"tl2.50_gl0.50_c100",2.5,0.5,100,0.8,0.0668609044468466,NA,NA,NA,"model1","mk"
"tl5.00_gl0.50_c100",5,0.5,100,1,0.068308698903698,NA,NA,NA,"model1","mk"
"tl1.00_gl1.00_c100",1,1,100,1,0.0187388899269143,NA,NA,NA,"model1","mk"
"tl1.50_gl1.00_c100",1.5,1,100,0.9,0.0225430669251113,NA,NA,NA,"model1","mk"
"tl2.50_gl1.00_c100",2.5,1,100,0.8,0.0668609044468466,NA,NA,NA,"model1","mk"
"tl5.00_gl1.00_c100",5,1,100,1,0.068308698903698,NA,NA,NA,"model1","mk"
"tl1.00_gl0.10_c200",1,0.1,200,0.9,0.0119018729802606,NA,NA,NA,"model1","mk"
"tl1.50_gl0.10_c200",1.5,0.1,200,0.9,0.0120544910437404,NA,NA,NA,"model1","mk"
"tl2.50_gl0.10_c200",2.5,0.1,200,1,0.00898104178848107,NA,NA,NA,"model1","mk"
"tl5.00_gl0.10_c200",5,0.1,200,1,0.0226607700287969,NA,NA,NA,"model1","mk"
"tl1.00_gl0.25_c200",1,0.25,200,0.9,0.0119018729802606,NA,NA,NA,"model1","mk"
"tl1.50_gl0.25_c200",1.5,0.25,200,0.9,0.0120544910437404,NA,NA,NA,"model1","mk"
"tl2.50_gl0.25_c200",2.5,0.25,200,1,0.00898104178848107,NA,NA,NA,"model1","mk"
"tl5.00_gl0.25_c200",5,0.25,200,1,0.0226607700287969,NA,NA,NA,"model1","mk"
"tl1.00_gl0.50_c200",1,0.5,200,0.9,0.0119018729802606,NA,NA,NA,"model1","mk"
"tl1.50_gl0.50_c200",1.5,0.5,200,0.9,0.0120544910437404,NA,NA,NA,"model1","mk"
"tl2.50_gl0.50_c200",2.5,0.5,200,1,0.00898104178848107,NA,NA,NA,"model1","mk"
"tl5.00_gl0.50_c200",5,0.5,200,1,0.0226607700287969,NA,NA,NA,"model1","mk"
"tl1.00_gl1.00_c200",1,1,200,0.9,0.0119018729802606,NA,NA,NA,"model1","mk"
