Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-1450.332	-1617.403	167.0711	2.473601	0.9730011	0.8050222	0.511068	0.488932	0.396782	0.603218	1.93407
6	-1453.615	-1620.566	166.9503	2.473601	1.050206	0.9050534	0.511068	0.488932	0.48866	0.51134	1.881211
12	-1455.974	-1622.258	166.2835	2.473601	1.587127	1.07133	0.593757	0.406243	0.483956	0.516044	1.881211
18	-1459.343	-1626.238	166.8949	2.473601	1.254066	1.306291	0.610434	0.389566	0.404538	0.595462	1.523448
24	-1456.821	-1624.531	167.7094	2.249358	1.196237	1.109109	0.486249	0.513751	0.429616	0.570384	1.232933
30	-1463.321	-1631.009	167.6879	2.249358	1.068974	1.022038	0.545508	0.454492	0.429616	0.570384	1.424491
36	-1458.839	-1626.152	167.3132	2.249358	1.387317	0.9039176	0.548777	0.451223	0.458458	0.541542	1.55605
42	-1468.288	-1635.641	167.3533	2.249358	1.316901	0.8972115	0.482783	0.517217	0.404575	0.595425	1.589277
48	-1466.977	-1634.32	167.343	2.249358	1.06907	1.042129	0.548729	0.451271	0.34368	0.65632	1.69465
54	-1461.629	-1628.781	167.1514	2.249358	1.575297	0.8924564	0.560674	0.439326	0.508825	0.491175	1.552989
60	-1457.005	-1624.007	167.0023	2.249358	1.554893	0.9083401	0.614287	0.385713	0.451397	0.548603	1.680504
66	-1465.34	-1631.232	165.892	2.544432	1.373471	0.9083401	0.664016	0.335984	0.44916	0.55084	2.358417
72	-1454.162	-1620.299	166.1372	2.544432	1.431353	0.8188964	0.632631	0.367369	0.450046	0.549954	2.210151
78	-1461.303	-1627.78	166.4775	2.544432	1.130992	0.8688928	0.529544	0.470456	0.504488	0.495512	2.120559
84	-1462.435	-1628.997	166.5612	2.544432	0.8579224	1.065766	0.523955	0.476045	0.433143	0.566857	2.120559
90	-1470.879	-1637.475	166.5958	2.544432	1.055437	1.320343	0.523955	0.476045	0.416685	0.583315	1.797348
96	-1472.526	-1639.01	166.4842	2.544432	1.128701	1.198423	0.588503	0.411497	0.522102	0.477898	1.908474
102	-1470.048	-1636.252	166.204	2.686275	0.8217547	0.9771445	0.434688	0.565312	0.543533	0.456467	2.340861
108	-1462.227	-1627.482	165.2556	2.686275	1.65546	1.079551	0.521831	0.478169	0.426175	0.573825	2.364614
114	-1461.445	-1627.534	166.0894	2.686275	0.9799361	1.161072	0.521831	0.478169	0.426175	0.573825	2.195442
120	-1460.151	-1626.344	166.1926	2.686275	0.8329471	1.169082	0.482358	0.517642	0.431846	0.568154	2.216638
126	-1464.471	-1630.839	166.3683	2.686275	0.8345359	0.9622687	0.40663	0.59337	0.490521	0.509479	2.240792
132	-1479.933	-1646.341	166.4079	2.686275	0.7942226	1.238389	0.432395	0.567605	0.39165	0.60835	2.070828
138	-1478.044	-1645.659	167.6151	2.285777	1.040311	0.9899675	0.539087	0.460913	0.391698	0.608302	1.507933
144	-1462.089	-1629.898	167.8095	2.285777	0.7595206	0.9464492	0.498866	0.501134	0.4184	0.5816	1.591424
150	-1468.908	-1636.798	167.8898	2.285777	0.7595206	0.9177956	0.471862	0.528138	0.475871	0.524129	1.545581
156	-1460.616	-1628.295	167.6787	2.285777	1.13751	0.9386066	0.471862	0.528138	0.475871	0.524129	1.40633
162	-1471.712	-1638.986	167.2736	2.285777	1.322215	0.954466	0.439743	0.560257	0.409359	0.590641	1.578889
168	-1469.835	-1636.904	167.069	2.285777	1.502047	0.9329791	0.61501	0.38499	0.406439	0.593561	1.633895
174	-1485	-1652.095	167.0943	2.285777	1.502047	0.9272506	0.583647	0.416353	0.442492	0.557508	1.602278
180	-1477.73	-1647.337	169.6074	0.8697173	1.090745	0.9323609	0.576583	0.423417	0.366961	0.633039	1.056116
186	-1463.905	-1632.951	169.0467	1.493603	1.071406	0.8563176	0.576583	0.423417	0.452405	0.547595	1.056116
192	-1462.807	-1632.621	169.8146	0.2167028	1.31178	0.9090407	0.496785	0.503215	0.475568	0.524432	1.237456
198	-1459.653	-1629.535	169.8826	0.342327	1.048162	0.9957721	0.579421	0.420579	0.434103	0.565897	1.237456
204	-1454.425	-1624.375	169.9506	0.2070703	1.070233	1.037316	0.491988	0.508012	0.541044	0.458956	1.225396
210	-1451.811	-1621.895	170.0842	0.4064877	0.86305	1.103755	0.48903	0.51097	0.541044	0.458956	1.053378
216	-1462.639	-1632.93	170.2915	0.4789703	0.6644325	1.018451	0.48903	0.51097	0.433071	0.566929	1.053378
222	-1466.135	-1635.545	169.41	0.8542346	1.041107	0.9882806	0.522103	0.477897	0.433071	0.566929	1.206744
228	-1462.815	-1632.481	169.6658	0.2967319	1.279448	0.9425649	0.581334	0.418666	0.451731	0.548269	1.306256
234	-1463.816	-1633.718	169.902	0.1316499	1.353302	0.8511974	0.581334	0.418666	0.451731	0.548269	1.264284
240	-1461.911	-1631.731	169.8194	0.1600035	1.255318	1.220988	0.549085	0.450915	0.419142	0.580858	1.071221
246	-1463.61	-1632.859	169.2489	0.3831885	1.550531	1.00842	0.580802	0.419198	0.419142	0.580858	1.318421
252	-1462.599	-1632.404	169.8051	0.2633754	1.345319	1.090837	0.568863	0.431137	0.388896	0.611104	1.043187
258	-1463.067	-1631.91	168.8426	1.407656	1.345319	0.8396667	0.510734	0.489266	0.371178	0.628822	1.107755
264	-1463.624	-1633.544	169.9204	0.3539289	1.184431	0.9626892	0.582513	0.417487	0.41308	0.58692	1.111906
270	-1463.608	-1632.237	168.6294	0.210396	2.772106	1.195528	0.683739	0.316261	0.419803	0.580197	1.01987
276	-1460.627	-1630.095	169.4677	0.5239192	1.365714	1.195528	0.641967	0.358033	0.419803	0.580197	1.016746
282	-1463.11	-1631.67	168.5598	1.632875	1.197614	1.195528	0.571226	0.428774	0.419803	0.580197	0.9462142
288	-1456.373	-1626.152	169.7788	0.6079057	1.11673	0.9205613	0.51802	0.48198	0.464702	0.535298	1.085125
294	-1467.195	-1636.896	169.7003	0.6372771	1.11673	1.013401	0.481279	0.518721	0.363959	0.636041	1.077976
300	-1470.157	-1639.91	169.7535	0.5472843	0.9215577	1.035045	0.409867	0.590133	0.437908	0.562092	1.249264
306	-1462.307	-1631.531	169.224	0.5092155	1.554309	1.103231	0.502848	0.497152	0.437908	0.562092	1.134026
312	-1464.25	-1633.899	169.6487	0.4661862	1.438573	0.8619533	0.454752	0.545248	0.420249	0.579751	1.113608
318	-1461.699	-1631.386	169.6867	0.6336855	0.9504372	0.9285122	0.499632	0.500368	0.473959	0.526041	1.278357
324	-1465.057	-1635.231	170.1738	0.1142821	0.9446043	0.8821184	0.530989	0.469011	0.342789	0.657211	1.388143
330	-1462.984	-1632.977	169.9925	0.04111733	1.085761	0.9522363	0.488452	0.511548	0.428311	0.571689	1.388143
336	-1459.981	-1630.368	170.3878	0.04111733	0.7553714	0.8990544	0.488452	0.511548	0.388173	0.611827	1.388143
342	-1471.909	-1642.307	170.398	0.04111733	0.703526	0.9622511	0.425016	0.574984	0.453036	0.546964	1.360758
348	-1464.713	-1634.311	169.5978	0.02962631	1.56944	0.8805213	0.598456	0.401544	0.453036	0.546964	1.407467
354	-1461.767	-1631.578	169.8104	0.3913065	1.045275	0.850914	0.535566	0.464434	0.453036	0.546964	1.364577
360	-1475.294	-1643.367	168.0725	2.015245	1.014618	1.101675	0.487718	0.512282	0.502655	0.497345	1.273679
366	-1472.818	-1642.55	169.7321	0.3323131	1.014618	1.103598	0.536606	0.463394	0.471625	0.528375	1.294454
372	-1470.469	-1640.508	170.0387	0.1546483	0.82678	0.8395166	0.426026	0.573974	0.457158	0.542842	1.551062
378	-1475.84	-1645.651	169.8109	0.04052216	1.20879	0.8383657	0.489656	0.510344	0.449193	0.550807	1.516936
384	-1459.646	-1629.529	169.8828	0.2594835	1.040867	1.198732	0.512636	0.487364	0.422015	0.577985	1.131917
390	-1474.479	-1644.529	170.0493	0.4276174	1.088983	0.6426619	0.550998	0.449002	0.490073	0.509927	1.274268
396	-1474.352	-1643.74	169.3884	0.6764472	0.9908075	0.7676574	0.434147	0.565853	0.406752	0.593248	1.587118
402	-1474.668	-1644.551	169.8835	0.0526665	1.32112	0.8543459	0.508141	0.491859	0.336922	0.663078	1.395513
408	-1479.338	-1648.849	169.5107	0.6734364	1.093762	1.071295	0.499467	0.500533	0.403505	0.596495	1.166598
414	-1483.342	-1652.952	169.6104	0.7830261	1.093762	0.9582509	0.499467	0.500533	0.403505	0.596495	1.079833
420	-1494.704	-1663.744	169.0396	0.4928187	1.763207	0.9582509	0.482156	0.517844	0.460091	0.539909	1.26452
426	-1481.089	-1651.081	169.9922	0.01550278	1.092176	1.128839	0.533491	0.466509	0.424618	0.575382	1.26452
432	-1474.195	-1644.374	170.1793	0.009088499	1.0403	0.8522611	0.535505	0.464495	0.492083	0.507917	1.374521
438	-1469.776	-1639.876	170.0997	0.01484704	1.045492	0.9771833	0.584917	0.415083	0.39265	0.60735	1.358152
444	-1462.853	-1633.214	170.3611	0.02403674	0.7684821	1.167883	0.470552	0.529448	0.415007	0.584993	1.185862
450	-1464.606	-1634.759	170.1531	0.1591569	0.9333122	1.075273	0.439766	0.560234	0.446897	0.553103	1.185862
456	-1461.674	-1630.802	169.1287	1.106939	1.275942	1.012823	0.500805	0.499195	0.462899	0.537101	0.9900547
462	-1469.17	-1638.784	169.6148	0.4517495	1.37375	1.067619	0.484921	0.515079	0.524074	0.475926	1.008632
468	-1471.499	-1641.729	170.2301	0.0187074	1.096271	1.194841	0.466412	0.533588	0.366443	0.633557	1.008632
474	-1473.514	-1643.385	169.871	0.01107827	1.400859	0.8893895	0.552545	0.447455	0.39364	0.60636	1.328134
480	-1486.356	-1656.703	170.347	0.01627051	1.079384	0.6163905	0.54122	0.45878	0.534901	0.465099	1.394198
486	-1482.273	-1652.476	170.2027	0.03033385	0.7479498	1.002725	0.411823	0.588177	0.468111	0.531889	1.458407
492	-1485.78	-1655.999	170.2192	0.5227191	0.5178931	1.285955	0.440211	0.559789	0.423988	0.576012	0.9398558
498	-1465.263	-1634.899	169.6361	0.5227191	1.043589	1.100115	0.49399	0.50601	0.423988	0.576012	1.200643
504	-1477.975	-1647.857	169.8821	0.365485	1.039195	1.163023	0.495492	0.504508	0.427545	0.572455	1.067845
510	-1476.535	-1646.029	169.4933	0.2235147	1.604269	1.037739	0.59194	0.40806	0.427545	0.572455	1.183068
516	-1465.721	-1634.895	169.1742	0.3797125	1.604856	1.259519	0.538176	0.461824	0.427545	0.572455	1.117891
522	-1465.739	-1635.212	169.4726	0.5804554	1.269605	1.170389	0.538176	0.461824	0.425108	0.574892	1.032279
528	-1466.201	-1636.331	170.1294	0.4804081	0.6644085	1.20184	0.469613	0.530387	0.43639	0.56361	1.032279
534	-1466.71	-1636.866	170.1561	0.1712797	0.9097951	1.246237	0.462914	0.537086	0.546615	0.453385	1.032279
540	-1467.026	-1636.578	169.5523	0.6112027	0.9906676	1.451234	0.472668	0.527332	0.504598	0.495402	0.8999571
546	-1463.583	-1631.985	168.402	1.566264	1.363309	1.304993	0.554222	0.445778	0.504598	0.495402	0.8755063
552	-1472.288	-1641.525	169.2375	0.9601106	1.18032	1.304993	0.554222	0.445778	0.397596	0.602404	0.840087
558	-1465.133	-1634.143	169.01	0.9601106	1.63787	1.036613	0.580943	0.419057	0.357125	0.642875	0.9414099
564	-1464.144	-1634.216	170.0725	0.2278804	1.137641	0.8827131	0.47551	0.52449	0.357125	0.642875	1.212746
570	-1462.197	-1632.605	170.4071	0.1469423	0.7851017	0.8827131	0.442301	0.557699	0.4792	0.5208	1.263159
576	-1463.801	-1632.985	169.1834	0.493681	1.527562	0.9753606	0.574991	0.425009	0.4792	0.5208	1.314519
582	-1471.499	-1641.103	169.6034	0.6128151	1.048183	0.7671158	0.494451	0.505549	0.451664	0.548336	1.414666
588	-1467.598	-1637.09	169.4925	0.139202	1.355839	0.8676319	0.542963	0.457037	0.414138	0.585862	1.561809
594	-1475.455	-1645.228	169.7738	0.3685324	1.074962	0.7584629	0.436089	0.563911	0.479288	0.520712	1.460783
600	-1468.671	-1638.213	169.5422	0.1931009	1.547469	0.9550681	0.545112	0.454888	0.388616	0.611384	1.282666
606	-1468.029	-1637.892	169.8635	0.24586	1.336	0.9550681	0.545112	0.454888	0.431674	0.568326	1.119956
612	-1462.144	-1631.88	169.7357	0.3009442	1.293839	0.9550681	0.528843	0.471157	0.465965	0.534035	1.211095
618	-1473.737	-1643.221	169.4839	0.633264	1.185303	0.9494037	0.562803	0.437197	0.432948	0.567052	1.248617
624	-1479.865	-1648.861	168.9963	0.5833235	1.600426	0.6954688	0.490692	0.509308	0.434529	0.565471	1.550236
630	-1476.554	-1646.04	169.4867	0.5833235	1.046422	0.7395589	0.452305	0.547695	0.453558	0.546442	1.550236
636	-1471.899	-1641.941	170.0422	0.2347904	0.7982233	0.7906077	0.40183	0.59817	0.479033	0.520967	1.550236
642	-1477.361	-1646.949	169.5876	0.7528752	1.038887	1.007704	0.567877	0.432123	0.444181	0.555819	1.129892
648	-1466.291	-1635.922	169.6311	0.605719	1.216535	0.79664	0.586226	0.413774	0.333056	0.666944	1.297607
654	-1455.237	-1624.16	168.9226	0.4526276	1.879641	1.029338	0.57646	0.42354	0.528083	0.471917	1.259125
660	-1461.592	-1631.365	169.7731	0.3618804	1.024514	1.029338	0.494384	0.505616	0.432241	0.567759	1.293535
666	-1473.362	-1643.156	169.7944	0.1595735	1.368736	1.070706	0.494384	0.505616	0.428566	0.571434	1.124578
672	-1468.75	-1638.433	169.6834	0.2063744	1.348368	1.164174	0.549785	0.450215	0.413862	0.586138	1.124578
678	-1473.427	-1642.807	169.381	1.102665	1.094698	1.164174	0.549785	0.450215	0.391021	0.608979	0.7624231
684	-1471.704	-1641.66	169.9561	0.2143105	1.032078	1.29055	0.482474	0.517526	0.441687	0.558313	1.023335
690	-1465.064	-1634.838	169.7746	0.2143105	1.186265	1.056815	0.448235	0.551765	0.373621	0.626379	1.282706
696	-1463.165	-1632.99	169.8245	0.378362	1.186265	0.8681395	0.584057	0.415943	0.360553	0.639447	1.275491
702	-1459.939	-1629.697	169.7583	0.2781966	1.186265	0.8681395	0.525438	0.474562	0.39437	0.60563	1.384233
708	-1470.495	-1640.507	170.0123	0.142088	1.133172	0.8150252	0.607723	0.392277	0.40372	0.59628	1.389112
714	-1471.91	-1641.917	170.0071	0.2784225	1.133172	0.9003515	0.513259	0.486741	0.434157	0.565843	1.184397
720	-1470.625	-1639.579	168.9542	0.5202769	1.73513	0.9833396	0.547087	0.452913	0.461591	0.538409	1.314773
