Iteration	Posterior	Likelihood	Prior	er_morph[1]	er_morph[2]	er_morph[3]	er_morph[4]	er_morph[5]	er_morph[6]	er_morph[7]	er_morph[8]	er_morph[9]	er_morph[10]	er_morph[11]	er_morph[12]	er_morph[13]	er_morph[14]	er_morph[15]	er_morph[16]	er_morph[17]	er_morph[18]	er_morph[19]	er_morph[20]	er_morph[21]	er_morph[22]	er_morph[23]	er_morph[24]	er_morph[25]	er_morph[26]	er_morph[27]	er_morph[28]	er_morph[29]	er_morph[30]	er_morph[31]	er_morph[32]	er_morph[33]	er_morph[34]	er_morph[35]	er_morph[36]	tree_length
0	67.20932	-198.5017	265.711	0.454575	0.00527416	0.0405694	0.0308721	0.00361092	0.000510699	0.0287132	0.00881034	0.000225533	0.00166017	0.000664185	0.00147541	0.0196504	0.0041988	0.00575684	0.0293052	0.0248337	0.0114965	0.0107806	0.0240626	0.00877658	0.0388017	0.00190664	0.045484	0.0408317	0.00287378	0.0303429	0.0245664	0.0173991	0.00135146	0.00076369	0.008867	0.0231154	0.00780814	0.0240099	0.0160555	0.3425178
6	70.04603	-195.4133	265.4593	0.454146	0.0051679	0.039752	0.0302501	0.00353816	0.00233706	0.0281347	0.00863282	0.000220989	0.00546728	0.000650802	0.00144569	0.0192545	0.0041142	0.00564085	0.0287147	0.0243333	0.0112649	0.0105634	0.0235778	0.00859974	0.0380199	0.00186822	0.0445675	0.0400089	0.00281587	0.0297315	0.0240714	0.0170485	0.00338706	0.00442711	0.00868833	0.0226496	0.00765082	0.0235262	0.015732	0.2004242
12	75.5505	-190.1636	265.7141	0.454809	0.00517544	0.0243724	0.0302942	0.00354332	0.00234047	0.0281758	0.00864542	0.000221311	0.00547526	0.000651752	0.0014478	0.0192826	0.00254757	0.00564908	0.0287566	0.0243283	0.0112813	0.0105788	0.0236122	0.00166799	0.0380754	0.00187095	0.0446326	0.0397941	0.00281998	0.0297749	0.0241065	0.0376922	0.00339201	0.00452524	0.00870102	0.0226827	0.00976025	0.0235605	0.0157549	0.3459039
18	76.66196	-189.1074	265.7694	0.474778	0.0129005	0.0254425	0.00532155	0.0036989	0.00244323	0.0294129	0.00902501	0.000231028	0.00571566	0.000680369	0.00151136	0.0201292	0.00265943	0.00589711	0.0222876	0.0133713	0.0117767	0.0110433	0.0246489	0.00272624	0.0397472	0.0019531	0.0465922	0.0415413	0.0029438	0.0310822	0.025165	0.0393471	0.00354094	0.00472393	0.0187147	0.00771697	0.0101888	0.024595	0.0164467	0.4519573
24	70.41248	-195.2786	265.6911	0.482853	0.01312	0.0258753	0.00541206	0.00376181	0.00248478	0.0274422	0.00244338	0.000234958	0.00581288	0.00069194	0.00153707	0.0204716	0.00270466	0.00599741	0.0226666	0.0135987	0.00692047	0.0112311	0.0246615	0.00277261	0.0404232	0.000902633	0.0473847	0.0422478	0.00299387	0.0316109	0.025593	0.0400163	0.00360116	0.00354895	0.019033	0.00784822	0.0103621	0.0250133	0.0167264	0.3227609
30	67.48514	-198.2069	265.692	0.505167	0.0137262	0.027071	0.00566216	0.00353519	0.000232488	0.0329027	0.00255629	0.000245815	0.00608149	0.000904104	0.0016081	0.0121221	0.00258062	0.00627456	0.0237141	0.0130879	0.00724027	0.0117501	0.0149866	0.00290073	0.0422912	0.000944344	0.0495744	0.0175419	0.00313222	0.0330716	0.0267756	0.0418655	0.00376758	0.00371295	0.0199126	0.00821089	0.0108409	0.0261692	0.0178401	0.3236182
36	69.70563	-195.7813	265.4869	0.511215	0.0138906	0.0186767	0.00572995	0.00357752	0.000235272	0.0332967	0.00913343	0.000248759	0.00615431	0.000914929	0.00536444	0.0122673	0.00261152	0.00634969	0.023998	0.0132446	0.00732696	0.0118908	0.015166	0.00293546	0.0427976	0.000955651	0.050168	0.0177519	0.00316972	0.0334676	0.0270962	0.0423668	0.00381269	0.0037574	0.020151	0.0083092	0.0109707	0.0264825	0.00451501	0.210046
42	66.22813	-199.0145	265.2427	0.502953	0.0136661	0.0183749	0.00563735	0.00351971	0.000231469	0.0327586	0.00898582	0.000244738	0.00605485	0.00171086	0.00881107	0.012069	0.00256931	0.00624707	0.0236102	0.0130305	0.00720855	0.0116986	0.0278434	0.00101227	0.0301158	0.000588541	0.0493572	0.017465	0.00255617	0.0329268	0.0266583	0.0416821	0.00375107	0.0140468	0.0198253	0.00817492	0.0107934	0.0293789	0.00444205	0.1442309
48	67.20883	-198.3718	265.5806	0.506796	0.0137705	0.0185152	0.00568041	0.00354659	0.000326174	0.0255322	0.00545833	0.000246608	0.00610111	0.00172393	0.00887838	0.0121612	0.00258894	0.00154307	0.0237905	0.0131301	0.00726362	0.011788	0.0280561	0.00102	0.0303458	0.000593037	0.0497342	0.0175984	0.0025757	0.0238569	0.026862	0.0420005	0.00377973	0.0141541	0.0199768	0.00823737	0.0108759	0.0470168	0.00447598	0.2497208
54	72.38189	-193.1987	265.5806	0.521242	0.014163	0.019043	0.00584234	0.0036477	0.000335472	0.0262601	0.00561392	0.000253638	0.00627503	0.00177308	0.0043357	0.0125079	0.00266274	0.00158706	0.00815701	0.0135044	0.00747068	0.012124	0.00994461	0.00104908	0.0312109	0.000609943	0.051152	0.0145086	0.00264912	0.024537	0.0276277	0.0431978	0.00497242	0.0310696	0.0205462	0.00597917	0.0111859	0.0483571	0.00460357	0.2497208
