Iteration	Posterior	Likelihood	Prior	tree_length
0	-15.09056	-188.2445	173.154	1.165026
6	-9.58241	-183.1081	173.5257	0.7760357
12	-4.269963	-177.5773	173.3073	1.023664
18	2.667127	-170.8813	173.5484	0.7427623
24	2.041384	-171.507	173.5484	0.7427623
30	4.738041	-168.8103	173.5484	0.7427623
36	0.8764587	-172.3028	173.1793	1.142697
42	-7.345889	-180.6522	173.3063	1.024685
48	-7.024874	-180.6174	173.5925	0.6665383
54	-8.577383	-182.1817	173.6043	0.6414709
60	-17.04642	-190.5791	173.5326	0.7661025
66	-6.820943	-180.2826	173.4616	0.8585809
72	-4.55568	-178.0747	173.5191	0.7851962
78	-6.200172	-179.6541	173.4539	0.8677451
84	-8.611856	-182.1809	173.5691	0.7095346
90	-17.10733	-190.6933	173.586	0.3554348
96	-23.85691	-197.4872	173.6303	0.4399641
102	-4.869485	-178.3601	173.4906	0.8228496
108	-11.78814	-184.953	173.1649	1.155465
114	-10.19138	-183.4105	173.2191	1.106818
120	-4.456426	-178.0028	173.5463	0.7458852
126	-1.477008	-174.9956	173.5186	0.7857995
132	0.0620514	-173.5405	173.6026	0.6454466
138	-3.887101	-177.4673	173.5802	0.6901229
144	-4.076184	-177.7142	173.638	0.5090197
150	4.339573	-169.0021	173.3417	0.9895238
156	-4.134147	-177.3113	173.1771	1.144619
162	-10.28875	-183.2982	173.0095	1.287086
168	-16.92874	-189.9382	173.0095	1.287086
174	-10.02392	-183.4317	173.4078	0.9201643
180	-7.171582	-180.7725	173.6009	0.6490468
186	-11.53809	-185.0715	173.5334	0.7649754
192	-12.11653	-185.7475	173.631	0.5621211
198	-22.15484	-195.3772	173.2224	1.10388
204	-8.213542	-181.6852	173.4716	0.8465084
210	-12.76024	-185.9226	173.1623	1.157676
216	-29.99765	-203.1966	173.199	1.125076
222	-21.62695	-194.7971	173.1701	1.150811
228	-14.19996	-187.6757	173.4758	0.8414348
234	-14.00541	-187.2126	173.2072	1.11763
240	0.06718855	-173.4109	173.4781	0.838531
246	-18.67164	-191.4126	172.741	1.496825
252	-3.354128	-176.9689	173.6148	0.6159789
258	-6.74712	-180.2238	173.4767	0.840255
264	-1.452365	-175.0589	173.6066	0.6364051
270	1.038043	-172.4211	173.4591	0.8616251
276	-6.3427	-179.8678	173.5251	0.776748
282	-2.378017	-176.0141	173.6361	0.4686186
288	-0.07816053	-173.466	173.3879	0.9416475
294	2.555272	-171.0307	173.586	0.6793716
300	0.1660057	-173.3486	173.5146	0.7913533
306	-3.991322	-177.3847	173.3934	0.9357668
312	-0.3643494	-173.9369	173.5725	0.7036462
318	-3.073877	-176.6685	173.5946	0.3666362
324	-2.925576	-176.2561	173.3305	1.000787
330	-1.476626	-175.026	173.5493	0.7412863
336	-10.26608	-183.3909	173.1248	1.190396
342	-4.537024	-178.0565	173.5194	0.7847038
348	-8.999133	-182.3483	173.3491	0.9819808
354	-0.3616546	-173.7351	173.3734	0.9568834
360	-4.530388	-178.1656	173.6352	0.4626631
366	9.48838	-164.0877	173.576	0.6974735
372	2.286769	-171.1851	173.4719	0.8461862
378	-2.152383	-175.7077	173.5553	0.7319575
384	-7.338097	-180.4677	173.1296	1.186236
390	-8.060398	-181.19	173.1296	1.186236
396	-15.51159	-188.9689	173.4573	0.8637349
402	-18.86337	-192.3484	173.4851	0.8298635
408	-14.86197	-188.1031	173.2411	1.086599
414	-8.375982	-181.7621	173.3862	0.9434588
420	-2.659922	-176.2945	173.6346	0.5432861
426	-18.04043	-189.939	171.8986	2.083324
432	-1.427077	-175.0242	173.5971	0.6572561
438	-1.056031	-174.6912	173.6351	0.5398168
444	-10.94373	-184.5769	173.6332	0.5515494
450	-15.80064	-188.9602	173.1596	1.160119
456	-11.32333	-184.625	173.3017	1.029154
462	-14.62675	-187.7676	173.1408	1.176495
468	-9.43207	-182.9788	173.5467	0.745258
474	-21.26675	-194.5933	173.3266	1.00468
480	-21.60485	-194.9314	173.3266	1.00468
486	-18.72112	-191.7305	173.0094	1.287161
492	-11.82318	-185.4056	173.5824	0.6860512
498	-15.93703	-189.3635	173.4265	0.8993342
504	-26.70566	-199.5281	172.8224	1.435033
510	-17.26552	-190.8241	173.5586	0.7268353
516	-30.39295	-203.3326	172.9397	1.343394
522	-38.80654	-212.1295	173.323	1.00827
528	-32.6537	-205.4863	172.8326	1.42718
534	-18.51902	-192.0876	173.5686	0.7103752
540	-16.72483	-190.1466	173.4217	0.9046897
546	-15.9514	-189.3217	173.3702	0.9602198
552	-24.11704	-197.1818	173.0647	1.241409
558	-18.20075	-191.1126	172.9118	1.365464
564	-13.59342	-186.5596	172.9662	1.322169
570	-14.29377	-187.758	173.4642	0.8554988
576	-26.09302	-199.2779	173.1849	1.137704
582	-20.75837	-194.0907	173.3324	0.9989248
588	-18.64753	-192.0733	173.4257	0.900206
594	-17.31857	-190.7443	173.4257	0.900206
600	-21.72416	-194.6947	172.9705	1.318694
606	-23.70878	-196.6793	172.9705	1.318694
612	-5.694907	-179.2045	173.5096	0.7980764
618	-1.709471	-175.2971	173.5876	0.6761748
624	-11.58008	-184.5051	172.925	1.355048
630	-12.44313	-185.2437	172.8006	1.45172
636	-19.04029	-192.6043	173.564	0.7180189
642	-18.51422	-192.0739	173.5596	0.7251046
648	-18.40435	-190.9703	172.566	1.625594
654	-19.14064	-192.777	173.6364	0.4711059
660	-19.66697	-192.8869	173.2199	1.1061
666	-18.10432	-191.6963	173.5919	0.6677576
672	-10.60104	-183.9457	173.3447	0.9864859
678	-8.588	-181.7231	173.1351	1.181454
684	-9.152553	-182.2877	173.1351	1.181454
690	-17.64079	-191.2145	173.5737	0.701557
696	-15.39485	-188.7455	173.3506	0.9804473
702	-14.03162	-187.6691	173.6374	0.5189483
708	-10.67909	-184.1517	173.4726	0.8453089
714	-5.565678	-179.0119	173.4462	0.8767621
720	-2.074082	-175.468	173.3939	0.9352109
726	-14.38681	-188.0234	173.6366	0.5282606
732	4.096033	-169.1767	173.2728	1.056962
738	3.242841	-170.39	173.6329	0.5529705
744	7.54224	-166.0958	173.638	0.5073552
750	-3.617687	-177.113	173.4953	0.8168208
756	-9.362481	-182.8935	173.531	0.7684391
762	-10.25278	-183.8895	173.6367	0.5274263
768	-6.824832	-180.3607	173.5359	0.7613823
774	-10.39104	-183.9269	173.5359	0.7613823
780	-13.69597	-187.1805	173.4845	0.8305573
786	-7.481294	-180.7902	173.3089	1.022165
792	-9.38336	-182.8125	173.4291	0.8964028
798	-4.498456	-177.9266	173.4281	0.8975077
804	-3.382907	-176.705	173.3221	1.009117
810	0.5262788	-172.998	173.5243	0.7779164
816	2.722077	-170.5177	173.2397	1.087888
822	-4.727715	-178.1929	173.4651	0.8543816
828	-10.09181	-182.8838	172.792	1.458256
834	-10.00342	-183.1757	173.1723	1.148871
840	-16.61051	-189.7828	173.1723	1.148871
846	-6.0442	-179.6047	173.5605	0.7237019
852	-4.610553	-177.6373	173.0267	1.272953
858	-8.96369	-182.6017	173.638	0.4928857
864	-17.07798	-190.1766	173.0986	1.212776
870	-10.69489	-183.8299	173.135	1.181564
876	-15.77412	-189.2289	173.4547	0.8668009
