Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	br_lengths[92]	br_lengths[93]	br_lengths[94]	br_lengths[95]	br_lengths[96]	br_lengths[97]	gain_loss_ratio	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	rel_br_lengths[92]	rel_br_lengths[93]	rel_br_lengths[94]	rel_br_lengths[95]	rel_br_lengths[96]	rel_br_lengths[97]	tree_length
0	-1371.93	-1544.625	172.6948	0.000414468	0.00393588	0.0132924	0.000107246	0.0131991	0.00569335	0.00826167	0.0156139	0.00357485	0.000399558	0.00904593	5.79796e-05	0.0293824	0.00129201	0.0053406	0.00142086	0.00403244	0.00916508	0.00226203	0.0528086	0.0213324	0.00113043	0.0258148	0.0103822	0.0305258	0.0184299	0.00657073	0.00810952	0.00327394	0.0056649	0.000407636	0.00840064	0.0306211	0.00116394	0.0081803	0.0106281	0.00235724	0.00287764	0.00567579	0.00630099	0.000570528	0.00438423	0.00379596	0.0149075	0.00867462	0.00257333	0.0132463	0.012556	0.0112902	0.0173665	0.0184109	0.000656242	0.0140452	0.000228309	0.00352774	0.0158962	0.00761701	0.018874	0.00177814	0.00643878	0.0177945	0.0115508	0.0144052	0.0102619	0.0111386	0.00235197	0.0120391	0.0126908	0.0106892	0.00886075	0.00414238	0.013492	0.00112184	0.00165858	0.00831664	0.00263274	0.0123635	0.000761584	0.0142322	0.0129131	0.00174882	0.00781453	0.0327016	0.000851916	0.00382189	0.00441612	0.0209829	0.00941972	0.00131862	0.00134544	0.000536685	0.00021761	0.00391205	0.000517824	0.00782173	0.00964372	0.0129024	0.8396242	0.000477841	0.00453768	0.0153248	0.000123644	0.0152173	0.00656387	0.00952488	0.0180013	0.00412145	0.000460651	0.0104291	6.68448e-05	0.033875	0.00148956	0.00615718	0.00163811	0.00464901	0.0105664	0.0026079	0.0608831	0.0245941	0.00130328	0.029762	0.0119696	0.0351933	0.0212479	0.0075754	0.00934947	0.00377453	0.00653108	0.000469964	0.00968511	0.0353031	0.00134191	0.00943108	0.0122532	0.00271767	0.00331763	0.00654362	0.00726442	0.000657762	0.00505458	0.00437637	0.0171869	0.010001	0.00296679	0.0152716	0.0144758	0.0130164	0.0200219	0.021226	0.000756583	0.0161927	0.000263217	0.00406714	0.0183267	0.00878166	0.0217599	0.00205002	0.00742327	0.0205153	0.0133169	0.0166078	0.0118309	0.0128417	0.00271159	0.0138799	0.0146312	0.0123235	0.0102156	0.00477576	0.015555	0.00129337	0.00191218	0.00958826	0.00303529	0.0142539	0.000878031	0.0164083	0.0148876	0.00201621	0.00900939	0.0377017	0.000982175	0.00440627	0.00509134	0.0241912	0.01086	0.00152024	0.00155116	0.000618744	0.000250882	0.00451021	0.000597	0.00901768	0.0111183	0.0148752	0.867377
36	-1384.752	-1556.977	172.2252	0.0181287	0.0145235	0.0355285	0.00465583	0.00423948	0.00892779	0.00855143	0.0063688	0.00558991	0.00746784	0.0144316	0.000603487	0.020344	0.00667534	0.0106722	0.00110488	0.00199837	0.0052976	0.00361089	0.059704	0.0819592	0.00367774	0.0343372	0.0154836	0.0288281	0.0179333	0.00247369	0.00233223	0.0118289	0.00519128	0.000524388	0.00651365	0.0455756	0.00192233	0.0184831	0.0131728	0.00417671	0.00262237	0.00493247	0.00747517	0.00284434	0.00981685	0.0230861	0.0122322	0.00314653	0.00619762	0.0145581	0.0307299	0.00897576	0.00973638	0.00707824	0.000754916	0.00565706	0.00364535	0.000870777	0.0194892	0.0163204	0.0249884	0.0051093	0.00146954	0.044895	0.0319434	0.0312944	0.0104862	0.00824899	0.00752914	0.0104508	0.00379411	0.0368254	0.00383505	0.00246043	0.0215937	0.00110549	0.00228149	0.0129047	0.00132895	0.0103209	0.000289768	0.0156591	0.00781287	0.00675695	0.0078763	0.0310031	0.00430572	0.0138682	0.00738873	0.0242908	0.0165363	0.00190134	0.0011344	0.00290732	0.00120104	0.016738	0.00494516	0.0076478	0.00556435	0.0266671	0.9690712	0.0151027	0.0120992	0.029598	0.00387867	0.00353182	0.00743754	0.00712401	0.00530571	0.00465683	0.00622129	0.0120226	0.000502752	0.0169481	0.00556108	0.00889077	0.000920453	0.0016648	0.00441331	0.00300815	0.0497381	0.0682784	0.00306384	0.0286056	0.0128991	0.024016	0.0149398	0.00206078	0.00194293	0.00985438	0.00432474	0.000436856	0.00542638	0.037968	0.00160145	0.0153979	0.010974	0.00347952	0.00218464	0.00410913	0.0062274	0.00236956	0.00817821	0.0192325	0.0101904	0.00262131	0.0051631	0.012128	0.0256004	0.00747751	0.00811117	0.00589673	0.000628904	0.00471277	0.00303686	0.000725426	0.0162361	0.0135962	0.0208173	0.00425645	0.00122424	0.0374011	0.0266114	0.0260707	0.00873586	0.00687205	0.00627237	0.00870637	0.00316079	0.0306784	0.0031949	0.00204973	0.0179893	0.00092096	0.00190066	0.0107507	0.00110712	0.00859811	0.000241399	0.0130453	0.00650873	0.00562907	0.00656158	0.025828	0.003587	0.0115533	0.00615539	0.0202362	0.013776	0.00158397	0.000945048	0.00242202	0.00100056	0.0139441	0.00411971	0.00637122	0.00463554	0.0222158	1.200367
72	-1398.631	-1571.04	172.4085	0.00752828	0.00430735	0.0218142	0.0046193	0.00231405	0.0155395	0.0216759	0.0141012	0.0043517	0.00630457	0.0274109	0.00384053	0.013482	0.00515533	0.00317353	0.00405377	0.000594112	0.0205614	0.00344895	0.0349141	0.0399368	0.00614488	0.0161357	0.0156299	0.0451916	0.0215229	0.00578238	0.00495781	0.00973692	0.0194925	0.000214686	0.00902409	0.0500135	0.00499598	0.0141379	0.015754	0.00110211	0.00179192	0.00198204	0.00373248	0.00261294	0.0134722	0.00223949	0.0154445	0.0123065	0.00643627	0.00701744	0.0130871	0.0121468	0.00224102	0.00842672	0.00129542	0.00591615	0.00341772	0.00104453	0.00783092	0.013829	0.0305567	0.00329466	0.00480879	0.0224486	0.0500724	0.0259135	0.00850248	0.0105516	0.0134644	0.00884447	0.00460162	0.012035	0.00115377	0.00104243	0.0107987	0.00237989	0.00255346	0.016665	0.00803549	0.012263	0.00576981	0.0378195	0.0154185	0.00355174	0.00879145	0.0227387	0.00403872	0.00850551	0.0120079	0.013358	0.0121832	0.00138928	0.000442106	0.00181947	0.00426578	0.00474714	0.00295125	0.0173837	0.0157089	0.0122402	0.9095482	0.00690444	0.00395042	0.0200066	0.00423652	0.0021223	0.0142518	0.0198797	0.0129327	0.00399109	0.00578214	0.0251395	0.00352228	0.0123648	0.00472813	0.00291055	0.00371785	0.000544881	0.0188576	0.00316315	0.0320209	0.0366274	0.00563568	0.0147986	0.0143347	0.0414468	0.0197394	0.00530323	0.00454698	0.00893006	0.0178773	0.000196896	0.00827631	0.0458691	0.00458198	0.0129664	0.0144486	0.00101078	0.00164343	0.0018178	0.00342319	0.00239642	0.0123558	0.00205391	0.0141647	0.0112867	0.00590293	0.00643594	0.0120026	0.0111403	0.00205532	0.00772844	0.00118808	0.0054259	0.00313451	0.000957976	0.007182	0.012683	0.0280246	0.00302164	0.00441031	0.0205884	0.0459231	0.0237662	0.00779792	0.00967722	0.0123487	0.00811157	0.0042203	0.0110377	0.00105816	0.000956051	0.0099039	0.00218268	0.00234186	0.015284	0.00736963	0.0112468	0.0052917	0.0346856	0.0141408	0.00325743	0.00806294	0.0208544	0.00370405	0.0078007	0.0110129	0.0122511	0.0111736	0.00127415	0.000405471	0.0016687	0.0039123	0.00435377	0.00270669	0.0159432	0.0144072	0.0112259	1.090352
108	-1382.53	-1554.951	172.422	0.00181582	0.00548113	0.0203215	0.00352576	0.00214299	0.014055	0.00605	0.0188223	0.00328836	0.00105621	0.0175708	0.000557559	0.0221445	0.00173496	0.00645337	0.00325882	0.00179954	0.00810701	0.00263478	0.0392673	0.0427734	0.000607745	0.0282833	0.0031104	0.0342105	0.0151268	0.000740596	0.00191463	0.0159137	0.0225068	0.000299384	0.00853875	0.0365639	0.000508058	0.0187793	0.0168194	0.000939188	0.00433744	0.00128418	0.00497407	0.00109335	0.00351999	0.0246566	0.0124264	0.0137834	5.84368e-05	0.0150237	0.0087386	0.00443529	0.00429588	0.00934655	0.00264349	0.0152871	0.00251298	0.00106814	0.00888358	0.0207624	0.0202052	0.00362588	0.00390322	0.0260937	0.0290189	0.00988662	0.0241211	0.00839397	0.013809	0.0151049	0.00417356	0.00691536	0.00302845	0.00145262	0.0148867	0.00232648	0.00106938	0.00398333	0.0115354	0.0108121	0.00220755	0.0216776	0.0148249	0.00135313	0.0083287	0.0273998	0.00757086	0.0027584	0.00946764	0.0192199	0.00876749	0.0088373	0.000474136	0.00095209	0.00447461	0.000751258	0.00206973	0.00255867	0.002988	0.0175502	1.024329	0.00188083	0.00567737	0.0210491	0.00365199	0.00221972	0.0145582	0.00626662	0.0194962	0.0034061	0.00109403	0.0181999	0.000577522	0.0229374	0.00179708	0.00668443	0.0033755	0.00186397	0.00839728	0.00272911	0.0406732	0.0443049	0.000629505	0.029296	0.00322177	0.0354353	0.0156684	0.000767112	0.00198318	0.0164835	0.0233127	0.000310103	0.00884447	0.0378731	0.000526249	0.0194516	0.0174217	0.000972815	0.00449274	0.00133016	0.00515216	0.0011325	0.00364602	0.0255394	0.0128713	0.0142769	6.05291e-05	0.0155617	0.00905148	0.0045941	0.00444969	0.0096812	0.00273814	0.0158345	0.00260295	0.00110639	0.00920165	0.0215058	0.0209286	0.0037557	0.00404297	0.027028	0.0300579	0.0102406	0.0249847	0.00869451	0.0143034	0.0156458	0.00432299	0.00716296	0.00313689	0.00150463	0.0154197	0.00240978	0.00110767	0.00412595	0.0119484	0.0111993	0.00228659	0.0224538	0.0153557	0.00140158	0.00862691	0.0283808	0.00784193	0.00285716	0.00980662	0.0199081	0.00908141	0.00915371	0.000491112	0.000986179	0.00463482	0.000778156	0.00214384	0.00265029	0.00309498	0.0181786	0.9654334
144	-1385.78	-1558.07	172.2907	0.0139775	0.0110306	0.0306315	0.00178123	0.0151903	0.00239542	0.00211845	0.0290818	0.00199305	0.00842674	0.0195238	0.00134829	0.0361124	0.00549224	0.0129333	0.00404332	0.00233927	0.0101782	0.000402955	0.0562882	0.0273273	0.0116382	0.0303375	0.000461421	0.0474274	0.0134727	0.000867855	0.00217167	0.0161283	0.00117691	0.00282827	0.0134865	0.0389334	0.00394015	0.0177055	0.00871335	0.000989041	0.00235049	0.0195157	0.0040821	0.00732269	0.00387737	0.00940778	0.0192994	0.00841696	0.00749176	0.0146016	0.0157961	0.0226533	0.0050784	0.0115675	0.00102376	0.0107617	0.00680225	0.00154808	0.00974658	0.00148969	0.020482	0.00173637	0.00520435	0.0224096	0.0222163	0.00810566	0.0257884	0.00347595	0.00191448	0.00585928	0.0171292	0.0184525	0.000274224	0.00154228	0.0222639	0.0156804	0.00246375	0.0165565	0.0194814	0.0122001	0.00595129	0.027053	0.0136996	0.0113521	0.00763174	0.0409033	0.0013201	0.00449816	0.00277996	0.0154487	0.00869843	0.00497252	0.0137218	0.00739046	0.00882627	0.00043071	0.00359712	0.0127803	0.00622966	0.0115567	0.9751783	0.0122846	0.00969464	0.0269216	0.00156549	0.0133505	0.00210529	0.00186187	0.0255596	0.00175166	0.00740613	0.0171592	0.001185	0.0317386	0.00482704	0.0113668	0.00355361	0.00205595	0.0089455	0.000354151	0.0494708	0.0240175	0.0102286	0.0266632	0.000405536	0.0416832	0.0118409	0.000762744	0.00190865	0.0141749	0.00103437	0.00248572	0.011853	0.034218	0.00346294	0.0155611	0.00765802	0.000869253	0.00206581	0.017152	0.00358769	0.0064358	0.00340776	0.00826835	0.016962	0.00739753	0.00658439	0.0128331	0.0138829	0.0199097	0.00446333	0.0101665	0.000899769	0.0094583	0.00597839	0.00136059	0.00856612	0.00130927	0.0180013	0.00152607	0.00457402	0.0196955	0.0195256	0.00712394	0.022665	0.00305496	0.0016826	0.00514963	0.0150546	0.0162176	0.000241011	0.00135548	0.0195674	0.0137813	0.00216535	0.0145512	0.0171219	0.0107225	0.0052305	0.0237765	0.0120404	0.00997721	0.00670742	0.0359493	0.00116021	0.00395336	0.00244326	0.0135777	0.00764492	0.00437027	0.0120598	0.00649536	0.00775727	0.000378544	0.00316145	0.0112324	0.00547515	0.010157	1.137806
180	-1381.448	-1553.857	172.4091	0.0189359	0.00177478	0.0145201	0.000867302	0.00187809	0.00368096	0.00789956	0.00884436	0.00872625	0.00062856	0.0223847	2.98653e-05	0.0254278	0.00237339	0.0115118	0.00161	0.00248692	0.0164118	0.00215545	0.0654816	0.0553378	0.00173262	0.0201337	0.000156874	0.0218939	0.0272785	0.000328328	0.00286346	0.00569389	0.0115648	0.00727808	0.00477771	0.0381327	0.0185707	0.0143186	0.011508	0.00227855	0.0117527	0.00123519	0.00874141	0.00266465	0.00522859	0.00307326	0.0136127	0.00667785	0.00328534	0.0198518	0.0232379	0.0170937	0.00182019	0.0219415	0.00428913	0.0123317	0.00063107	0.00204431	0.0254422	0.00108539	0.014235	0.000682443	0.0030185	0.0364021	0.0314629	0.0153296	0.00443323	0.00517358	0.000965434	0.0139707	0.0287376	0.0146477	0.00762793	0.00862254	0.0222218	0.0153002	0.00802742	0.0137736	0.0131221	0.012236	0.0200344	0.0298206	0.00929387	0.00338044	0.00655978	0.0222268	0.000213519	0.0019351	0.00398988	0.0103681	0.00785875	0.00163597	0.00155004	0.00089488	0.00774956	0.000465025	0.00172728	0.0116205	0.00790371	0.0232881	0.909222	0.0173719	0.0016282	0.0133209	0.000795672	0.00172298	0.00337695	0.00724714	0.00811391	0.00800556	0.000576648	0.0205359	2.73988e-05	0.0233278	0.00217738	0.010561	0.00147703	0.00228153	0.0150563	0.00197744	0.0600735	0.0507675	0.00158952	0.0184709	0.000143917	0.0200857	0.0250256	0.000301211	0.00262697	0.00522363	0.0106097	0.00667698	0.00438312	0.0349833	0.017037	0.0131361	0.0105576	0.00209037	0.010782	0.00113317	0.00801947	0.00244458	0.00479677	0.00281944	0.0124885	0.00612633	0.003014	0.0182123	0.0213187	0.015682	0.00166986	0.0201294	0.00393489	0.0113132	0.00057895	0.00187547	0.023341	0.00099575	0.0130593	0.000626081	0.0027692	0.0333957	0.0288644	0.0140635	0.00406709	0.00474629	0.000885699	0.0128168	0.0263641	0.013438	0.00699794	0.00791041	0.0203865	0.0140365	0.00736444	0.012636	0.0120384	0.0112254	0.0183798	0.0273577	0.00852629	0.00310125	0.00601801	0.0203911	0.000195885	0.00177528	0.00366036	0.00951183	0.00720969	0.00150086	0.00142203	0.000820972	0.00710953	0.000426619	0.00158463	0.0106607	0.00725095	0.0213647	1.090025
216	-1379.024	-1551.689	172.6649	0.00636106	0.00593587	0.0144392	0.00150949	0.00619113	0.00752137	0.00515718	0.0106645	0.00353753	0.000113157	0.0076892	0.00244083	0.0306011	0.00306541	0.00756867	0.00769459	0.00338952	0.00859628	0.00135606	0.0451495	0.0211713	0.000197214	0.029827	0.000594668	0.0360769	0.0193492	6.73284e-05	0.00447431	0.00677918	0.0042063	0.00858861	0.00902301	0.0205908	0.00121166	0.0123494	0.00461859	0.00322576	0.0017278	0.00342665	0.00865346	0.00297881	0.000328959	0.00815022	0.0116135	0.0155008	0.00375388	0.0112278	0.0156645	0.0165317	0.0150074	0.0147015	0.00395283	0.0018515	0.000615502	0.00798859	0.00943691	0.00115931	0.0192804	0.000333644	0.00103037	0.0230481	0.0210396	0.0221931	0.0201256	0.00418885	0.000313549	0.0027071	0.0225888	0.0100343	0.00380069	0.00195655	0.0154241	0.0157072	0.010915	0.0135082	0.00386616	0.00841781	0.00618641	0.0281782	0.00562596	0.0105682	0.0088756	0.0188337	0.000261745	0.00888691	0.00634959	0.0103937	0.00457946	0.000811092	0.00361291	0.00315003	0.0042186	0.00143369	0.00158509	0.0121698	0.00234652	0.0259968	0.8411186	0.00706668	0.00659433	0.0160409	0.00167694	0.0068779	0.00835571	0.00572926	0.0118475	0.00392995	0.00012571	0.00854215	0.00271159	0.0339956	0.00340545	0.00840826	0.00854814	0.00376551	0.00954986	0.00150648	0.0501579	0.0235198	0.00021909	0.0331357	0.000660634	0.0400789	0.0214956	7.47971e-05	0.00497064	0.00753119	0.0046729	0.00954133	0.0100239	0.0228749	0.00134607	0.0137193	0.00513092	0.00358359	0.00191946	0.00380677	0.00961338	0.00330924	0.00036545	0.00905431	0.0129017	0.0172203	0.00417029	0.0124733	0.0174021	0.0183656	0.0166721	0.0163323	0.00439131	0.00205688	0.000683778	0.00887476	0.0104837	0.00128792	0.0214192	0.000370654	0.00114467	0.0256048	0.0233735	0.024655	0.0223581	0.00465351	0.000348331	0.00300739	0.0250945	0.0111474	0.0042223	0.00217358	0.0171351	0.0174495	0.0121258	0.0150067	0.00429503	0.00935159	0.00687267	0.031304	0.00625004	0.0117405	0.00986016	0.0209229	0.00029078	0.00987273	0.00705395	0.0115467	0.00508745	0.000901066	0.00401368	0.00349946	0.00468656	0.00159272	0.00176092	0.0135198	0.00260681	0.0288806	0.9001477
252	-1376.121	-1548.493	172.3717	0.000823482	0.00607885	0.0242028	0.00894514	0.00861019	0.00408567	0.000932466	0.00610732	0.00563327	0.000585705	0.0164624	0.000813864	0.0426986	0.0119619	0.00740021	0.00849572	0.00189773	0.0120516	0.00130395	0.0664617	0.0425406	0.00197476	0.0189956	0.000446341	0.0287645	0.0143907	0.00334301	0.00179123	0.0106606	0.0125965	0.00497696	0.00616158	0.0485935	0.00189091	0.0122223	0.0108268	0.00962218	0.00811163	0.00119383	0.010354	0.0087077	0.00174776	0.0123096	0.00923019	0.0226888	0.00263328	0.00581109	0.0130964	0.014153	0.018343	0.0106211	0.0167551	0.00324631	0.000325771	0.00401845	0.0133432	0.0080554	0.000642974	0.00170665	7.07641e-05	0.0143826	0.00783947	0.00901523	0.0055831	0.00403062	0.0183981	0.00118919	0.00971016	0.0195355	0.00114299	0.00125872	0.00789828	0.00337868	0.00700683	0.0323551	0.0160558	0.0313114	0.0124299	0.00643927	0.00753433	0.00827226	0.012228	0.0266085	0.00137739	0.000176727	0.0164428	0.0045855	0.00246252	0.011071	0.032314	0.00400714	0.00948556	0.00806177	0.0230285	0.00619875	0.0176755	0.0167613	0.9685223	0.000769775	0.00568239	0.0226243	0.00836175	0.00804864	0.0038192	0.000871651	0.00570901	0.00526588	0.000547505	0.0153887	0.000760785	0.0399138	0.0111818	0.00691757	0.00794163	0.00177396	0.0112656	0.00121891	0.0621272	0.0397662	0.00184596	0.0177568	0.000417231	0.0268885	0.0134521	0.00312498	0.00167441	0.00996533	0.0117749	0.00465237	0.00575973	0.0454243	0.00176759	0.0114252	0.0101207	0.00899463	0.00758259	0.00111597	0.00967876	0.00813979	0.00163378	0.0115068	0.0086282	0.021209	0.00246154	0.0054321	0.0122423	0.01323	0.0171467	0.00992844	0.0156624	0.00303459	0.000304525	0.00375637	0.012473	0.00753003	0.00060104	0.00159535	6.61489e-05	0.0134446	0.00732819	0.00842727	0.00521898	0.00376774	0.0171982	0.00111163	0.00907687	0.0182614	0.00106844	0.00117663	0.00738316	0.00315832	0.00654985	0.0302449	0.0150087	0.0292693	0.0116192	0.00601931	0.00704295	0.00773275	0.0114305	0.0248731	0.00128756	0.000165201	0.0153704	0.00428644	0.00230192	0.0103489	0.0302065	0.0037458	0.00886692	0.00753599	0.0215266	0.00579447	0.0165228	0.0156681	1.06977
288	-1376.602	-1548.987	172.3844	0.00150406	0.0103199	0.0272612	0.000646391	0.00582137	0.00663129	0.00902929	0.0158788	0.00512656	0.00241569	0.0113746	0.000672571	0.0246847	0.0183435	0.0052365	0.000417206	0.000239049	0.0124958	0.000452126	0.0742447	0.05191	0.000800912	0.0283909	0.000424847	0.024307	0.0213631	0.00307752	0.0106857	0.026111	0.00158212	0.00918439	0.0203132	0.0568234	0.00089766	0.0235236	0.00467185	0.000967355	0.00345041	0.00632266	0.00601231	0.00496332	0.00228283	0.00719148	0.0163596	0.0101333	0.00318346	0.0132283	0.0221644	0.0153127	0.0107706	0.00979905	0.0161938	0.00665648	0.000136424	0.00341823	0.0204089	0.0131268	0.00227764	0.00686946	0.000284012	0.0380903	0.00266629	0.0126076	0.0239332	0.00119876	0.0191021	0.000514602	0.00941021	0.00858383	0.00485083	0.00224902	0.0045174	0.00289749	0.0140673	0.0344278	0.00850222	0.0196796	0.011779	0.00443822	0.00580129	0.0150394	0.0123701	0.0296023	0.00132705	0.00131372	0.017866	0.00931298	0.00379395	0.0152804	0.0222972	0.00329484	0.0122987	0.00158771	0.02641	0.00443325	0.0145975	0.0249691	0.8516781	0.00129272	0.00886977	0.0234306	0.000555563	0.00500338	0.0056995	0.00776054	0.0136476	0.0044062	0.00207625	0.00977631	0.000578064	0.0212162	0.015766	0.00450069	0.000358583	0.000205459	0.0107399	0.000388595	0.0638122	0.0446159	0.000688371	0.0244016	0.00036515	0.0208915	0.0183613	0.00264508	0.00918418	0.022442	0.00135981	0.00789384	0.0174589	0.0488389	0.000771525	0.0202182	0.00401539	0.000831427	0.00296557	0.00543423	0.00516749	0.0042659	0.00196206	0.00618097	0.0140608	0.00870939	0.00273613	0.0113695	0.01905	0.013161	0.00925714	0.00842213	0.0139183	0.00572115	0.000117254	0.00293791	0.0175412	0.0112823	0.0019576	0.00590419	0.000244104	0.0327381	0.00229163	0.010836	0.0205702	0.00103032	0.016418	0.000442292	0.00808793	0.00737767	0.00416922	0.00193299	0.00388264	0.00249035	0.0120907	0.0295902	0.00730753	0.0169143	0.0101239	0.00381459	0.00498612	0.0129262	0.0106319	0.0254427	0.00114058	0.00112912	0.0153556	0.00800437	0.00326084	0.0131333	0.0191641	0.00283186	0.0105705	0.00136461	0.022699	0.00381031	0.0125463	0.0214606	1.163488
324	-1384.91	-1557.305	172.3954	0.00511523	0.0238567	0.00770756	0.0035305	0.0118819	0.0140347	0.00231656	0.0170556	0.00784236	0.000695165	0.0155738	0.00160055	0.0249158	0.00200834	0.00672441	0.00184739	0.00103345	0.0157207	0.00204035	0.046078	0.038702	0.000819204	0.0364624	1.22207e-05	0.0249111	0.0105408	0.00470939	0.00342483	0.0228438	0.00546273	0.0116152	0.00899458	0.045429	1.23261e-05	0.014251	0.0140014	0.00455228	0.0080533	0.00100786	0.00746646	0.00313471	0.00118431	0.00470819	0.0113541	0.0118638	0.00344508	0.0166878	0.00973142	0.0235075	0.00396577	0.00598848	0.0315988	0.00145977	6.53904e-05	0.00135633	0.0181462	0.0214069	0.0042755	0.0114587	0.000534942	0.0206267	0.00928509	0.0251946	0.0121526	0.00142784	0.00529188	0.000110991	0.00701953	0.0147591	0.0100937	0.0120939	0.011234	0.00206672	0.0124838	0.0148369	0.0157098	0.0314036	0.00710546	0.00453271	0.00954513	0.0140603	0.0161509	0.018957	0.000734759	0.00414054	0.0269019	0.0115919	0.00170312	0.0148764	0.032083	0.00207276	0.0119887	0.00673625	0.00699669	0.00226175	0.0197373	0.00512585	0.9296928	0.00471964	0.0220117	0.0071115	0.00325747	0.010963	0.0129494	0.00213741	0.0157366	0.00723587	0.000641404	0.0143694	0.00147677	0.0229889	0.00185302	0.00620438	0.00170453	0.000953524	0.0145049	0.00188256	0.0425145	0.0357089	0.00075585	0.0336426	1.12756e-05	0.0229846	0.00972563	0.00434518	0.00315997	0.0210772	0.00504027	0.0107169	0.00829898	0.0419157	1.13729e-05	0.0131489	0.0129186	0.00420022	0.00743049	0.000929915	0.00688904	0.00289229	0.00109272	0.00434407	0.010476	0.0109463	0.00317866	0.0153973	0.00897883	0.0216896	0.00365908	0.00552536	0.0291551	0.00134688	6.03334e-05	0.00125144	0.0167429	0.0197514	0.00394486	0.0105726	0.000493572	0.0190315	0.00856702	0.0232462	0.0112128	0.00131741	0.00488263	0.000102408	0.00647667	0.0136177	0.00931312	0.0111586	0.0103652	0.00190689	0.0115183	0.0136894	0.0144948	0.0289749	0.00655595	0.00418217	0.00880695	0.0129729	0.0149018	0.017491	0.000677936	0.00382033	0.0248214	0.0106955	0.00157141	0.0137259	0.0296018	0.00191246	0.0110615	0.0062153	0.00645559	0.00208684	0.0182109	0.00472944	1.083818
