Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	tree_length
0	-180.4019	-351.4922	171.0903	1.309061	1.233074	0.7434461
6	-174.9471	-345.9011	170.9541	1.445412	1.315741	0.5854634
12	-191.0754	-360.9469	169.8715	2.198723	1.41058	1.031513
18	-188.0901	-356.886	168.796	4.902234	1.01269	0.6888763
24	-179.6029	-349.3735	169.7706	1.655929	2.30236	0.4191516
30	-178.3987	-348.5902	170.1915	1.173047	2.30236	0.354391
36	-177.111	-347.2079	170.097	3.226397	0.7477014	0.5983262
42	-184.1117	-354.7986	170.6869	1.961016	0.9865008	0.8203278
48	-175.3947	-346.159	170.7643	2.089632	0.6153389	1.023848
54	-174.2864	-344.8934	170.607	1.80605	0.8939445	1.136951
60	-181.8633	-352.0369	170.1736	2.674153	1.070028	0.4388931
66	-179.0821	-349.9719	170.8899	0.8089914	2.014693	0.5469365
72	-187.0801	-357.2164	170.1363	2.216981	1.306681	0.8423292
78	-200.4745	-371.3518	170.8774	1.387159	1.010797	1.135001
84	-186.8717	-356.763	169.8913	3.038358	1.096923	0.533708
90	-193.2287	-363.8581	170.6294	1.976886	1.154607	0.6108744
96	-193.5435	-363.0631	169.5196	2.538362	1.812751	0.6108744
102	-204.038	-373.4396	169.4016	2.672636	1.843263	0.5662169
108	-186.7978	-355.9573	169.1595	3.005034	1.826639	0.6265434
114	-183.8862	-354.611	170.7247	1.868158	1.005809	0.8488289
120	-190.1112	-359.271	169.1598	4.749425	0.7398276	0.670961
126	-192.3481	-363.2067	170.8586	1.838041	1.018824	0.670961
132	-197.5578	-367.5183	169.9605	1.838041	1.863104	0.7604587
138	-189.7154	-360.1529	170.4375	1.430914	1.857393	0.5305267
144	-176.7641	-346.5427	169.7786	2.165088	1.857393	0.4252837
150	-185.2423	-355.8915	170.6492	1.894288	1.227068	0.5036999
156	-182.5286	-353.5245	170.996	1.069311	1.645694	0.5671735
162	-184.5513	-354.9302	170.3789	1.196183	2.142205	0.5392974
168	-188.8607	-359.1261	170.2655	2.3185	0.9741426	0.9779862
174	-191.4345	-361.6968	170.2623	2.69399	0.8847145	0.7432506
180	-195.3135	-365.5894	170.2759	1.95615	1.259375	0.980793
186	-186.252	-357.448	171.196	1.1589	1.118028	0.937981
192	-189.835	-360.6367	170.8016	1.1589	1.6745	0.7349687
198	-182.7001	-353.8356	171.1355	1.179936	0.9499003	1.138956
204	-185.469	-357.1028	171.6338	1.299331	0.6817882	0.7689916
210	-181.1794	-350.7842	169.6047	4.00029	0.6595877	0.7689916
216	-178.5704	-350.2096	171.6392	1.437126	0.5332493	0.7842376
222	-184.429	-354.9215	170.4925	2.70185	0.5053961	0.923499
228	-189.8106	-362.0475	172.2369	0.7886431	0.5999831	0.7455486
234	-189.305	-360.2933	170.9883	1.538366	1.158205	0.6736066
240	-193.523	-363.8782	170.3552	2.104808	1.158205	0.8682718
246	-192.5905	-362.5291	169.9387	2.537746	0.8894552	1.201399
252	-189.2357	-359.9999	170.7642	1.706693	0.6603048	1.277797
258	-188.933	-359.5167	170.5838	2.008283	0.854304	1.033361
264	-182.3839	-353.743	171.3591	1.270377	1.026943	0.70294
270	-179.1677	-348.4612	169.2935	3.721808	1.226383	0.6110736
276	-177.2655	-348.1672	170.9017	1.649509	0.9275318	0.9564263
282	-179.1547	-349.2378	170.0831	2.461884	1.156532	0.85421
288	-194.8655	-362.9669	168.1013	5.044933	1.681094	0.5692623
294	-182.5798	-352.8884	170.3087	2.630912	0.9635036	0.5809181
300	-186.2888	-354.6539	168.3651	4.555175	1.688248	0.5047122
306	-193.5851	-363.0831	169.498	2.275249	2.06026	0.4791849
312	-188.5296	-358.411	169.8814	1.986409	1.61732	0.9917193
318	-193.261	-363.4836	170.2226	1.802391	1.61732	0.7818539
324	-189.6776	-359.5142	169.8366	2.898773	0.9588833	0.9861568
330	-193.5799	-364.6166	171.0367	2.018653	0.5020343	0.9211748
336	-181.7195	-353.8108	172.0914	0.7859038	0.6953284	0.8188413
342	-177.5159	-348.5512	171.0352	1.76335	0.8114722	0.8188413
348	-180.974	-352.6148	171.6408	1.332416	0.4163617	1.026658
354	-177.7452	-348.5288	170.7836	1.670997	0.9280918	1.054012
360	-193.0166	-364.4028	171.3861	0.5691677	1.518869	0.9075511
366	-189.0495	-359.2211	170.1717	2.337125	1.119312	0.9075511
372	-196.0258	-366.4918	170.466	1.575658	1.621552	0.7171022
378	-200.7687	-372.245	171.4763	0.4832953	1.621552	0.7340293
384	-186.7083	-357.2524	170.5441	2.187966	0.892922	0.8777224
390	-187.2305	-358.535	171.3046	1.511968	0.7230453	0.8777224
