Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	br_lengths[92]	br_lengths[93]	br_lengths[94]	br_lengths[95]	br_lengths[96]	br_lengths[97]	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	rel_br_lengths[92]	rel_br_lengths[93]	rel_br_lengths[94]	rel_br_lengths[95]	rel_br_lengths[96]	rel_br_lengths[97]	tree_length
0	-163.2426	-336.7111	173.4685	0.00803645	0.00642542	0.00316289	0.0020549	0.00262237	0.00358807	0.00765377	0.0028749	0.0216621	0.000436394	0.000990933	0.00963369	0.0115512	0.00270023	0.0024841	0.000738325	0.0172982	0.000635422	0.00342909	0.0252354	0.00171224	0.00937608	0.00471912	0.0155774	0.00570394	0.00114959	0.00654409	0.00467978	0.00785101	0.00544001	0.00201029	0.00154029	0.018654	0.0159811	0.00421389	0.026446	0.00913988	0.0224251	0.032251	0.00546166	0.00470657	0.00343441	0.0021302	0.00438829	0.00692477	0.0172664	0.00348199	0.00210633	0.00631141	0.0177033	0.0383382	0.00466594	0.000953218	0.00437651	0.0259821	0.0173013	0.00623992	0.0438667	0.00841297	0.00852262	0.00118772	0.000694393	0.00581529	0.00257703	0.00330405	0.00106606	0.0131477	0.0293849	0.0024337	0.0101754	0.0117544	0.00211699	0.0318907	0.00429723	0.00258645	0.00828029	0.000535761	0.00831991	0.0289908	0.00370187	0.00877109	0.00147533	0.00522616	0.015751	0.00132481	0.00530017	0.00214185	0.0181025	0.00973944	0.0139691	0.000588068	0.00156493	0.011754	0.000773475	0.00561137	0.00176442	0.0130084	0.00945098	0.00755639	0.00371961	0.00241659	0.00308394	0.00421962	0.00900094	0.00338092	0.025475	0.000513205	0.00116535	0.0113294	0.0135843	0.00317551	0.00292134	0.000868281	0.0203429	0.000747265	0.00403266	0.0296772	0.00201362	0.0110264	0.00554975	0.0183193	0.00670792	0.00135194	0.00769594	0.00550348	0.0092329	0.00639752	0.00236413	0.00181141	0.0219374	0.018794	0.00495559	0.0311009	0.0107486	0.0263723	0.0379276	0.00642299	0.00553499	0.00403891	0.00250514	0.00516069	0.00814362	0.0203055	0.00409487	0.00247707	0.00742231	0.0208194	0.0450862	0.00548721	0.001121	0.00514684	0.0305553	0.0203466	0.00733824	0.0515878	0.00989377	0.0100227	0.00139677	0.000816616	0.00683886	0.00303063	0.0038856	0.0012537	0.0154619	0.034557	0.00286207	0.0119664	0.0138234	0.00248961	0.0375039	0.0050536	0.0030417	0.00973774	0.000630063	0.00978432	0.0340935	0.00435345	0.0103149	0.00173501	0.00614603	0.0185233	0.001558	0.00623307	0.00251885	0.0212887	0.0114537	0.0164278	0.000691576	0.00184038	0.0138228	0.000909618	0.00659905	0.00207498	0.015298	0.8503301
36	-176.5225	-350.0397	173.5173	0.00759235	0.00971332	0.00464208	0.0105027	0.018394	0.00185886	0.00643055	0.00911323	0.00662798	3.06416e-05	0.0014966	0.00957908	0.00188684	0.00370843	0.0105505	0.00329366	0.0183525	0.000836371	0.0111637	0.0102254	0.00132432	0.0155782	0.0085266	0.020515	0.00328271	0.0084356	0.00545761	0.00346475	0.0111652	0.005865	0.0058397	0.0054149	0.0021079	0.0148705	0.00789103	0.0206313	0.0142022	0.00316226	0.00662019	0.00172536	0.00466362	0.00748824	0.00168937	0.0122794	0.00519314	0.0112623	0.00165087	0.00689116	0.00413597	0.00495432	0.0196671	0.00711122	0.0108568	0.000516785	0.0127543	0.00136015	0.00312047	0.037822	0.0204434	0.00606633	0.0123242	0.000739685	0.000669828	0.00484928	0.00403569	0.00196767	0.0126366	0.00583595	0.0196989	0.00766878	0.0171987	0.000443534	0.0253988	0.00202821	0.00281906	0.00447538	0.000118627	0.0011194	0.0404035	0.00815783	0.0170282	0.000413375	0.00507595	0.0106782	0.002573	0.00160836	0.000129605	0.0239483	0.0136682	0.00964591	0.00695485	0.00516424	0.00438897	0.00182821	0.00429937	0.0133208	0.00233324	0.00963919	0.012332	0.00589355	0.0133342	0.0233529	0.00235999	0.00816418	0.0115701	0.00841483	3.89023e-05	0.00190007	0.0121615	0.00239552	0.0047082	0.0133948	0.00418161	0.0233001	0.00106185	0.0141733	0.012982	0.00168135	0.0197779	0.0108253	0.0260457	0.0041677	0.0107098	0.00692895	0.00439882	0.0141753	0.00744615	0.00741403	0.00687471	0.00267618	0.0188795	0.0100184	0.0261933	0.018031	0.00401478	0.00840495	0.0021905	0.00592089	0.00950701	0.00214482	0.0155899	0.00659317	0.0142985	0.00209593	0.00874896	0.00525099	0.00628997	0.0249692	0.00902835	0.0137837	0.000656106	0.0161927	0.00172683	0.00396173	0.0480186	0.0259547	0.00770176	0.0156467	0.000939099	0.000850408	0.0061566	0.00512368	0.00249814	0.0160433	0.00740928	0.0250096	0.00973623	0.0218353	0.000563107	0.0322462	0.002575	0.00357906	0.00568191	0.000150608	0.00142118	0.0512959	0.0103571	0.0216189	0.000524818	0.00644439	0.0135569	0.00326665	0.00204196	0.000164546	0.0304046	0.0173531	0.0122464	0.00882982	0.00655648	0.0055722	0.00232108	0.00545845	0.016912	0.00296226	0.7876545
72	-175.3612	-348.7672	173.406	0.0105052	0.0125452	0.0204225	0.0103293	0.0186349	0.00767769	0.00106416	0.00174218	0.00197115	0.00484777	0.0177088	0.00648917	0.00360201	0.0047952	0.0102389	0.0025404	0.0219715	0.00139747	0.0119812	0.0197015	0.000300608	0.00448928	0.0295938	0.00997611	0.0104904	0.00406167	0.00863927	0.00194336	0.0120519	0.0144089	0.00615894	0.000435441	0.00813813	0.0258228	0.00763899	0.00883709	0.0140474	0.0061212	0.0157666	0.00314228	0.021342	0.013458	0.00125394	0.0155426	0.00341212	0.00466714	0.00746567	0.00192606	0.00280809	0.0114756	0.0278321	0.00490476	0.0173462	0.00311974	0.00698198	0.0107636	0.00438038	0.0383172	0.0154276	0.0038922	0.00126982	0.000720986	0.00437851	0.0145212	0.00937442	0.00232016	0.0145682	0.0283895	0.0190177	0.00358289	0.00155292	0.00054928	0.000806082	0.00396205	0.00501505	0.0196403	0.000103045	0.0193824	0.0146204	0.0069505	0.00478935	0.00778118	0.0132	0.00136275	0.00248111	0.0057485	0.00200398	0.00768588	0.000977491	0.0557105	0.00364081	0.00523185	0.0229367	0.00121321	0.00404965	0.00314945	0.0108114	0.0113933	0.0136058	0.0221491	0.0112026	0.0202103	0.00832679	0.00115412	0.00188948	0.0021378	0.00525761	0.019206	0.00703779	0.00390654	0.0052006	0.0111045	0.00275517	0.023829	0.00151562	0.0129941	0.0213671	0.000326022	0.00486882	0.0320958	0.0108195	0.0113773	0.00440506	0.00936966	0.00210766	0.0130708	0.015627	0.00667964	0.000472255	0.00882616	0.0280059	0.00828481	0.0095842	0.015235	0.00663871	0.0170996	0.00340793	0.0231464	0.0145958	0.00135995	0.0168566	0.0037006	0.00506172	0.00809685	0.00208889	0.0030455	0.0124458	0.0301851	0.00531942	0.0188127	0.00338349	0.00757226	0.0116736	0.00475071	0.0415567	0.016732	0.00422126	0.00137718	0.000781941	0.00474868	0.0157489	0.010167	0.00251632	0.0157999	0.0307896	0.0206256	0.0038858	0.00168421	0.000595719	0.000874231	0.00429702	0.00543904	0.0213007	0.000111757	0.0210211	0.0158565	0.00753812	0.00519426	0.00843903	0.014316	0.00147796	0.00269087	0.0062345	0.0021734	0.00833567	0.00106013	0.0604205	0.00394862	0.00567417	0.0248759	0.00131578	0.00439202	0.00341571	0.0117254	0.9220468
108	-179.4654	-352.8232	173.3578	0.0126466	0.00179197	0.00296489	0.000721109	0.00744016	0.00106414	0.00674481	0.00466721	0.00277167	0.00197197	0.0226259	0.0201037	0.000668019	0.00313912	0.000622423	0.019647	0.0251473	0.00725141	0.0233758	0.00921045	0.00120084	0.00329233	0.0116052	0.00801049	0.00116019	0.00518733	0.000707414	0.00897868	0.000613642	0.0163022	0.010391	0.00265966	0.00245954	0.0207378	0.00281347	0.0109669	0.0100293	0.0210334	0.00591884	0.00535727	0.0168397	0.0132404	0.0188587	0.0245043	0.0195831	0.0104818	0.0100946	0.00869847	0.00175344	0.0233856	0.0503615	0.00205934	0.00256713	0.00445127	0.0257349	0.00492124	0.00988342	0.0275929	0.00484751	0.00401723	0.0048311	0.0157126	0.0214855	0.000754171	0.000325552	0.00908541	0.0451522	0.025598	0.000216314	0.0105536	0.000415782	0.00478399	0.00296707	0.00768324	0.0060111	0.00201107	0.00737326	0.00577106	0.00925199	0.0226441	0.00709811	0.0119146	0.0110458	0.00987399	0.00175481	0.00170766	0.00538295	0.00163042	0.00449901	0.0224503	0.0186309	0.0152121	0.0139292	0.00272415	0.00122555	0.0233806	0.0101742	0.0129957	0.00184144	0.00304673	0.000741013	0.00764553	0.00109351	0.00693098	0.00479604	0.00284818	0.0020264	0.0232504	0.0206586	0.000686458	0.00322576	0.000639603	0.0201893	0.0258415	0.00745156	0.024021	0.00946468	0.00123399	0.0033832	0.0119255	0.0082316	0.00119222	0.00533051	0.000726941	0.00922651	0.00063058	0.0167522	0.0106779	0.00273307	0.00252743	0.0213103	0.00289113	0.0112697	0.0103061	0.0216139	0.00608221	0.00550514	0.0173045	0.0136058	0.0193793	0.0251806	0.0201236	0.0107711	0.0103733	0.00893857	0.00180184	0.0240311	0.0517516	0.00211618	0.00263799	0.00457413	0.0264452	0.00505708	0.0101562	0.0283545	0.00498131	0.00412812	0.00496445	0.0161463	0.0220786	0.000774988	0.000334538	0.00933619	0.0463985	0.0263045	0.000222285	0.0108449	0.000427259	0.00491604	0.00304896	0.00789531	0.00617702	0.00206658	0.00757678	0.00593036	0.00950737	0.0232692	0.00729403	0.0122434	0.0113507	0.0101465	0.00180324	0.0017548	0.00553153	0.00167542	0.00462319	0.02307	0.0191452	0.015632	0.0143137	0.00279935	0.00125937	0.024026	0.010455	0.9731392
144	-178.9248	-352.5554	173.6306	0.00222839	0.00874178	0.00084118	0.00307494	0.000237264	0.00172388	3.02055e-05	0.00354012	1.43069e-05	0.00386079	0.00266817	0.00751328	0.000803055	0.00174214	0.000390146	0.00990963	0.00551699	0.0057342	0.00190778	0.0247779	0.00447964	0.00609871	0.00812703	0.00792404	0.0014608	0.00314019	0.000334227	0.00152265	0.00518077	0.00360736	0.00747337	0.00423399	0.00432738	0.037856	0.000264653	0.0034177	0.00135922	0.00969396	0.0109693	0.00382147	0.005586	0.00300989	0.0077606	0.00169698	0.00790487	0.00418534	0.00405886	0.00459551	0.000117862	0.00138992	0.0062845	0.000793404	0.00351724	0.00119093	0.00907145	0.00982565	0.00678868	0.0232235	0.00212993	0.000583611	0.00360543	0.00518879	0.0144334	0.000408485	0.00461869	0.00955861	0.0139212	0.00412595	1.48776e-05	0.00611222	0.00287196	0.00645401	0.00361945	0.00415692	0.00115503	0.00585807	0.00157705	0.00155114	0.00381063	0.00708876	0.00829033	0.00634445	0.00270289	0.00257847	0.0224347	0.000987276	0.00525312	0.000403563	0.00441253	0.0153953	0.0228322	0.0125197	0.0039952	0.00851836	0.00121709	0.0275395	0.00418214	0.00395104	0.0154996	0.00149145	0.00545202	0.00042068	0.00305653	5.35558e-05	0.00627679	2.53668e-05	0.00684537	0.00473078	0.0133214	0.00142385	0.0030889	0.000691747	0.0175702	0.00978188	0.010167	0.00338258	0.0439324	0.00794261	0.0108133	0.0144096	0.0140497	0.00259006	0.00556771	0.0005926	0.00269973	0.00918575	0.00639603	0.0132506	0.00750706	0.00767265	0.0671204	0.000469242	0.00605974	0.00240996	0.0171879	0.019449	0.00677565	0.00990424	0.00533668	0.0137599	0.00300883	0.0140157	0.0074208	0.00719655	0.00814805	0.000208975	0.0024644	0.0111427	0.00140674	0.00623623	0.00211157	0.0160841	0.0174213	0.0120366	0.0411764	0.00377647	0.00103477	0.0063926	0.00919996	0.0255911	0.000724263	0.00818915	0.0169479	0.0246829	0.00731551	2.63788e-05	0.0108373	0.00509211	0.0114433	0.00641745	0.00737041	0.00204792	0.0103866	0.00279618	0.00275025	0.00675643	0.0125687	0.0146991	0.011249	0.00479235	0.00457175	0.0397778	0.00175049	0.00931403	0.000715536	0.00782363	0.0272967	0.0404826	0.022198	0.00708367	0.0151034	0.00215795	0.0488289	0.00741514	0.5640008
180	-172.8511	-346.1734	173.3223	0.00528657	0.00238655	0.00347913	0.00658663	5.5711e-05	0.000850492	0.000707253	0.0074118	0.00902905	0.00432956	0.00108292	0.0164663	0.0019152	0.0016122	0.00404146	0.00879983	0.0325093	0.000571535	0.00697032	0.00621231	0.00308632	0.00680184	0.0229335	0.00837089	0.000672924	0.00570619	0.0108661	0.00692069	0.007298	0.00539882	0.00280891	0.0116283	0.00219994	0.0215732	0.00321143	0.044563	0.000374302	0.0081582	0.0216097	0.00426433	0.00800935	0.00497061	0.0039685	0.00688591	0.0185552	0.02656	0.00460086	0.00349178	0.00154211	0.00667258	0.00470795	0.000960576	0.00303158	0.0203561	0.00436526	0.033411	0.0207078	0.0236281	0.00845659	0.00168862	0.00437401	0.00350716	0.00351109	0.0033718	0.00631425	0.0108862	0.0236309	0.0172724	9.34932e-05	0.00571025	0.0137268	0.0201067	0.0123892	0.026399	0.00231295	0.0183777	0.0028369	0.0395966	0.00659845	0.0227583	0.0134904	0.0193289	0.0171358	0.00610963	0.0341878	0.00583321	0.0194019	0.000631495	0.00362755	0.0255571	0.030007	0.00592018	0.000676252	0.0128144	0.00386959	0.0391995	0.00206845	0.00523965	0.00236536	0.00344825	0.00652818	5.52166e-05	0.000842944	0.000700977	0.00734602	0.00894891	0.00429113	0.00107331	0.0163202	0.00189821	0.00159789	0.00400559	0.00872173	0.0322208	0.000566463	0.00690846	0.00615718	0.00305893	0.00674148	0.02273	0.0082966	0.000666952	0.00565555	0.0107697	0.00685927	0.00723323	0.0053509	0.00278398	0.0115251	0.00218042	0.0213817	0.00318293	0.0441675	0.00037098	0.0080858	0.0214179	0.00422648	0.00793827	0.0049265	0.00393328	0.00682479	0.0183905	0.0263242	0.00456003	0.00346079	0.00152843	0.00661336	0.00466617	0.00095205	0.00300467	0.0201754	0.00432652	0.0331145	0.020524	0.0234184	0.00838153	0.00167364	0.00433519	0.00347603	0.00347993	0.00334188	0.00625821	0.0107896	0.0234212	0.0171191	9.26634e-05	0.00565957	0.0136049	0.0199282	0.0122793	0.0261647	0.00229243	0.0182146	0.00281172	0.0392452	0.00653989	0.0225563	0.0133707	0.0191574	0.0169838	0.00605541	0.0338844	0.00578144	0.0192298	0.000625891	0.00359536	0.0253303	0.0297406	0.00586764	0.00067025	0.0127006	0.00383525	0.0388516	0.00205009	1.008954
216	-177.7289	-350.9693	173.2403	0.00349257	0.0119599	0.0155715	0.00272637	0.000921992	0.00387749	0.00562622	0.00289557	0.00184968	0.00448659	0.00265398	0.0200668	0.0109854	0.00202009	0.0015321	0.00303112	0.0352563	0.00435625	0.0193567	0.0271256	0.00524181	0.0211046	0.0229362	0.0149258	0.0126138	0.00140018	0.00806035	0.0031617	0.00588817	0.00692895	0.00446941	0.00927765	0.00028315	0.0291776	0.00318842	0.00390469	0.000531423	0.00375768	0.011405	0.0167413	0.0223702	0.0143324	0.0159572	0.00198047	0.00983954	0.00546084	0.0058422	0.000205533	0.00211961	0.000478566	0.00156074	0.0011235	0.00775606	0.000194303	0.00284016	0.0137639	0.020024	0.0518617	0.0144829	0.01176	0.00735216	0.00972366	0.00171978	0.00595038	0.0610589	0.0179557	0.00417108	0.00800771	0.0168231	0.0264384	0.00168603	0.0108073	0.014515	0.000874808	0.00815549	0.00983592	0.0080832	0.0077668	0.0141813	0.00959888	0.00544191	0.012114	0.00622096	0.0359928	0.0140802	0.0105543	0.00139393	0.0447315	0.0356899	0.0117364	0.0216775	0.000528244	0.0412281	0.0142585	0.0125404	0.000165084	0.00553329	0.00321204	0.0109993	0.0143207	0.00250739	0.000847937	0.00356605	0.00517432	0.00266299	0.00170111	0.00412622	0.00244081	0.018455	0.0101031	0.00185784	0.00140904	0.00278766	0.0324245	0.00400635	0.0178019	0.0249468	0.00482078	0.0194095	0.0210939	0.0137269	0.0116007	0.00128772	0.00741293	0.00290775	0.00541523	0.00637241	0.00411042	0.00853246	0.000260407	0.026834	0.00293232	0.00359106	0.000488738	0.00345586	0.0104889	0.0153966	0.0205734	0.0131812	0.0146755	0.0018214	0.00904922	0.00502222	0.00537294	0.000189024	0.00194936	0.000440127	0.00143538	0.00103326	0.00713308	0.000178696	0.00261203	0.0126583	0.0184156	0.0476961	0.0133196	0.0108154	0.00676162	0.00894264	0.00158164	0.00547243	0.0561545	0.0165134	0.00383605	0.00736452	0.0154718	0.0243148	0.00155061	0.00993928	0.0133492	0.000804542	0.00750043	0.00904589	0.00743395	0.00714296	0.0130422	0.00882788	0.0050048	0.011141	0.00572129	0.0331018	0.0129493	0.00970653	0.00128196	0.0411386	0.0328232	0.0107937	0.0199364	0.000485815	0.0379166	0.0131133	0.0115331	0.000151824	0.00508885	1.087336
252	-167.957	-340.9146	172.9576	0.00872757	0.0172048	0.00618244	0.00151464	0.00505305	0.00459698	0.00347377	0.000619108	0.00274318	0.00215807	0.0129806	0.00464887	0.00690966	0.0144226	0.0097371	0.00237746	0.0454621	0.0152025	0.000939568	0.0340494	0.00580809	0.0314488	0.0323512	0.0292836	0.00229878	0.00799814	0.0030567	0.00446366	0.00183438	0.00629296	0.0216526	0.0102197	0.00384955	0.0625252	2.80716e-05	0.0154032	0.00617609	0.0325993	0.0170888	0.00378354	0.0416231	0.00374543	0.00554017	0.0283213	0.00414866	0.0379953	0.0035448	0.00074808	0.00290215	0.0109084	0.00332618	0.00352998	0.00678023	0.00296678	0.00376431	0.00456845	0.000299228	0.0152037	0.00652282	0.0177482	0.0454991	0.00943978	0.00130659	0.00795756	0.0358213	0.00150482	0.0298133	0.0235477	0.0102615	0.0343653	0.000838671	0.00923403	0.0363576	0.00945416	0.00401549	0.00845963	0.00394764	0.0408255	0.00439426	0.0189669	0.00371426	0.0144236	0.0317935	0.00750012	0.0103063	0.0101257	0.00134262	0.0155585	0.0141189	0.0414996	0.0543275	0.0079537	0.0203584	0.0240769	0.00183407	0.0306171	0.00217753	0.00656656	0.0129448	0.00465163	0.0011396	0.00380188	0.00345874	0.00261364	0.000465812	0.00206395	0.00162371	0.0097665	0.00349778	0.00519878	0.0108515	0.00732612	0.00178878	0.0342054	0.0114382	0.000706924	0.0256186	0.00436997	0.0236619	0.0243408	0.0220328	0.00172959	0.00601774	0.00229984	0.00335843	0.00138017	0.00473478	0.0162913	0.00768927	0.00289638	0.0470436	2.11209e-05	0.0115893	0.00464685	0.0245275	0.0128575	0.00284671	0.031317	0.00281803	0.00416839	0.0213087	0.00312142	0.0285874	0.00266708	0.00056285	0.00218356	0.00820738	0.00250259	0.00265594	0.0051014	0.00223219	0.00283224	0.00343727	0.000225137	0.0114392	0.00490773	0.0133536	0.0342332	0.00710242	0.000983068	0.00598721	0.0269517	0.00113221	0.0224313	0.0177171	0.00772066	0.0258562	0.00063101	0.00694762	0.0273552	0.00711324	0.00302123	0.00636496	0.00297018	0.0307168	0.00330621	0.0142705	0.00279458	0.0108522	0.0239212	0.00564304	0.00775435	0.00761852	0.00101018	0.0117061	0.010623	0.031224	0.0408756	0.00598431	0.0153175	0.0181153	0.00137994	0.0230361	0.00163836	1.329092
288	-180.2609	-353.4946	173.2337	0.0090245	0.031201	0.00195491	0.0210695	8.12763e-05	0.00196718	0.0104837	0.00154561	0.00281283	0.00579883	0.00887956	0.00526703	0.0103922	0.00364833	0.00840042	0.00517643	0.0174497	0.00862476	0.0123814	0.010106	0.00426185	0.0181638	0.0101514	0.0258324	0.000522643	0.000140666	0.00325707	0.0140478	0.0245161	0.0020561	0.00914245	0.00319605	0.00163686	0.0152931	0.000813374	0.0130631	0.00692225	0.0121668	0.00589247	0.00489981	0.0104292	0.0160789	0.0124055	0.0115078	0.000550143	0.0212102	0.00681749	0.0142515	0.00480222	0.000823136	0.00165973	0.00141952	0.0107804	0.00138189	0.0369775	0.0336349	0.000855518	0.0651798	0.0148236	0.0152739	0.0430385	0.000164391	0.0192012	0.00624732	0.00509222	0.00131004	0.0298014	0.00922263	0.00102595	0.0303095	0.0287806	0.00620794	0.00987412	0.0189558	0.00223767	0.0114071	0.00287302	0.00213717	0.0351095	0.00597142	0.00489272	0.000240123	0.0126829	0.0014784	0.0136557	0.00444027	0.000909354	0.00271143	0.0199121	0.0274832	0.0343425	0.000882141	0.0131296	0.0408273	0.00472063	0.00228607	0.00678559	0.00825322	0.0285344	0.00178783	0.0192688	7.433e-05	0.00179905	0.00958774	0.00141351	0.00257243	0.00530323	0.00812067	0.00481689	0.009504	0.00333652	0.00768247	0.00473402	0.0159583	0.00788765	0.0113232	0.00924234	0.00389762	0.0166114	0.00928384	0.0236246	0.000477975	0.000128644	0.00297871	0.0128472	0.0224208	0.00188037	0.00836109	0.0029229	0.00149697	0.0139861	0.000743859	0.0119467	0.00633064	0.0111269	0.00538887	0.00448105	0.00953789	0.0147047	0.0113453	0.0105243	0.000503125	0.0193975	0.00623484	0.0130335	0.0043918	0.000752787	0.00151789	0.0012982	0.00985905	0.00126379	0.0338172	0.0307603	0.000782401	0.0596092	0.0135567	0.0139685	0.0393602	0.000150341	0.0175602	0.0057134	0.00465701	0.00119808	0.0272544	0.00843442	0.000938268	0.0277191	0.0263208	0.00567738	0.00903023	0.0173357	0.00204643	0.0104322	0.00262748	0.00195452	0.0321088	0.00546107	0.00447456	0.000219601	0.0115989	0.00135205	0.0124886	0.00406078	0.000831636	0.0024797	0.0182103	0.0251344	0.0314075	0.000806749	0.0120075	0.037338	0.00431719	0.00209069	0.00620566	1.093452
324	-172.2865	-345.6702	173.3837	0.00504846	0.0273734	0.00136463	0.00208145	0.00149667	0.00391112	0.00834537	0.00282272	0.00399552	0.00113919	0.00611991	0.00472492	0.00824161	0.0109322	0.00990755	0.00506779	0.00710901	0.015497	0.0138751	0.0203506	0.000696094	0.0091076	0.0178979	0.00431888	0.00827409	0.000284395	0.00181601	0.00382627	0.0367362	0.000776802	0.00508256	0.0125992	0.000630395	0.0464222	0.00102883	0.00695837	0.00513896	0.0125151	0.00460892	0.00274487	0.00940676	0.00268815	0.00213765	0.0138439	0.000334993	0.00654969	0.0123829	0.0134449	0.00301248	0.0101498	0.00594812	0.00676688	0.003124	0.00287471	0.020822	0.00907762	0.00794264	0.0278979	0.00369354	0.0162401	0.0541312	0.0171334	0.020825	0.00588232	0.0111773	0.00058764	0.0140312	0.0057846	0.00786893	0.00138457	0.00639433	0.00538939	0.00602767	0.00131626	0.000826488	0.00238553	0.0171398	0.00126166	0.0578523	0.004514	0.0122295	0.00192418	0.0119294	0.0104224	0.00622957	0.0111064	0.00330906	0.0128372	0.00346217	0.0295928	0.0227187	0.00460746	0.00576352	0.00235686	0.0203424	0.00109315	0.0250498	0.0053361	0.028933	0.00144239	0.00220005	0.00158194	0.00413396	0.00882085	0.00298355	0.00422317	0.0012041	0.00646859	0.00499413	0.00871119	0.011555	0.010472	0.00535653	0.00751405	0.01638	0.0146656	0.0215101	0.000735754	0.00962652	0.0189177	0.00456495	0.00874552	0.000300598	0.00191948	0.00404428	0.0388293	0.000821062	0.00537214	0.0133171	0.000666313	0.0490671	0.00108745	0.00735483	0.00543176	0.0132282	0.00487152	0.00290127	0.00994272	0.00284131	0.00225945	0.0146327	0.000354079	0.00692287	0.0130884	0.014211	0.00318412	0.0107281	0.00628702	0.00715243	0.003302	0.00303849	0.0220084	0.00959483	0.00839518	0.0294874	0.00390398	0.0171654	0.0572154	0.0181096	0.0220116	0.00621747	0.0118141	0.000621121	0.0148306	0.00611418	0.00831727	0.00146346	0.00675866	0.00569646	0.0063711	0.00139126	0.000873578	0.00252144	0.0181164	0.00133355	0.0611486	0.00477119	0.0129263	0.00203381	0.0126091	0.0110163	0.00658451	0.0117392	0.0034976	0.0135686	0.00365943	0.0312789	0.0240132	0.00486997	0.00609191	0.00249115	0.0215015	0.00115543	0.0264771	0.9460951
