Iteration	Posterior	Likelihood	Prior	acrv_sd	part_rate_trans	tree_length
0	-257.6775	-428.6988	171.0212	0.3719744	2.143185	0.7606765
6	-263.47	-433.0769	169.6069	2.03621	1.691187	0.9969491
12	-269.9631	-439.5492	169.5861	1.937407	1.65389	1.144366
18	-262.9267	-432.1939	169.2672	2.190976	1.937247	0.9335221
24	-267.3366	-437.5172	170.1806	1.885179	1.027717	1.21711
30	-273.233	-443.4119	170.1789	1.721258	1.288407	1.1344
36	-267.0663	-437.5503	170.4839	1.721258	1.254172	0.861309
42	-271.0018	-441.9389	170.937	0.3254158	2.36085	0.5911013
48	-267.2289	-436.3039	169.075	0.6935042	3.861379	0.5670609
54	-266.1084	-436.2962	170.1878	0.4319915	3.017034	0.5260825
60	-254.7838	-424.1314	169.3476	0.4857938	3.804727	0.5015025
66	-255.364	-426.691	171.327	0.2163583	2.09154	0.4608082
72	-254.3539	-423.9449	169.5909	2.075595	1.780026	0.876396
78	-242.1558	-414.1384	171.9826	0.1853342	1.181555	0.9816724
84	-241.6536	-412.9729	171.3193	0.4826775	1.403911	1.118873
90	-250.8867	-421.6771	170.7904	1.005638	1.686997	0.8323905
96	-253.0648	-423.1874	170.1226	1.436655	1.763721	1.008314
102	-247.7821	-418.1519	170.3698	1.443714	1.806447	0.6015637
108	-251.7152	-423.2335	171.5184	0.3783018	1.414163	1.020252
114	-254.2598	-426.2059	171.9461	0.09953272	1.303838	0.9816541
120	-255.7128	-426.7971	171.0842	0.2198461	2.174834	0.8375749
126	-262.7843	-431.3289	168.5446	2.057419	3.020193	0.5944984
132	-254.4933	-421.8139	167.3206	2.346903	3.887495	0.7324789
138	-258.4861	-425.6081	167.122	2.346903	3.887495	0.9745558
144	-256.0713	-424.7698	168.6985	1.002838	3.887495	0.3589882
150	-255.7189	-426.2561	170.5372	0.5668237	2.171772	1.054088
156	-260.3147	-431.3996	171.0849	0.4265263	1.973435	0.8300816
162	-250.4024	-421.9048	171.5024	0.2334818	1.618648	0.9764823
168	-247.2738	-418.8549	171.5811	0.4487781	1.46117	0.8222272
174	-255.7009	-426.6967	170.9958	0.4635676	1.846185	1.02546
180	-265.5979	-436.1217	170.5238	1.26258	1.846185	0.5546138
186	-265.6481	-436.7849	171.1367	0.3486583	2.007927	0.8193803
192	-278.2055	-448.8609	170.6554	0.3410839	2.496871	0.8193803
198	-273.2235	-444.4688	171.2454	0.4575217	1.742293	0.8780034
204	-266.79	-438.1866	171.3966	0.2321662	1.684806	1.017546
210	-258.5997	-427.8625	169.2628	2.204998	1.714477	1.140061
216	-251.1813	-422.1889	171.0076	1.122	1.284335	0.9133433
222	-250.9837	-421.6007	170.617	1.384909	1.370752	0.9576723
228	-266.1477	-437.1066	170.9589	0.7864662	0.9926443	1.499051
234	-268.9017	-439.8757	170.974	0.9904519	1.47743	0.8817998
240	-260.6582	-431.9704	171.3122	0.484131	1.535031	0.999952
246	-256.8776	-427.8992	171.0216	0.6527696	1.535031	1.115666
252	-266.6274	-436.7647	170.1373	0.7766099	2.565458	0.8369867
258	-277.2277	-447.9626	170.7349	0.5759437	1.852317	1.156959
264	-262.6945	-434.3976	171.7031	0.2683229	1.191698	1.156959
270	-253.3326	-425.3099	171.9773	0.1056884	1.191698	1.055092
276	-258.0031	-430.0029	171.9999	0.04093163	1.010986	1.252181
282	-262.9449	-434.4718	171.5269	0.5732098	1.139625	1.087943
288	-260.6062	-432.2541	171.648	0.3952192	1.126552	1.15114
294	-267.1418	-437.6312	170.4894	1.451806	1.349989	1.039363
300	-260.6143	-431.1702	170.5559	1.454589	0.7864074	1.454514
306	-265.9911	-435.9339	169.9429	1.933764	1.253996	1.185351
312	-263.0728	-433.6626	170.5898	1.531342	1.131425	1.076003
318	-255.2619	-426.3165	171.0546	1.044969	1.494404	0.6637213
324	-252.6842	-423.6877	171.0035	0.3599739	2.167707	0.7681386
330	-258.0311	-428.7359	170.7048	1.50965	1.1132	1.003617
336	-266.3844	-438.2438	171.8594	0.05876475	1.409479	1.003617
342	-259.8371	-431.0962	171.2591	0.1347234	2.029543	0.9029197
348	-256.8424	-428.4471	171.6048	0.09938117	1.888645	0.6660294
354	-258.9256	-430.1696	171.244	0.7501045	1.062045	1.248601
360	-270.6577	-441.2834	170.6258	0.4539078	1.699118	1.468291
366	-266.4887	-438.2569	171.7682	0.2227555	1.362429	0.9776595
372	-269.8418	-440.5479	170.7061	0.9899363	1.901142	0.657163
378	-254.9789	-426.6447	171.6659	0.3263404	1.286729	1.051085
384	-258.8463	-430.0492	171.2028	0.5583253	1.280587	1.260548
390	-266.1795	-437.2898	171.1103	0.4670374	1.297077	1.394816
396	-267.2368	-437.7958	170.559	1.274154	1.352392	1.137115
402	-259.2518	-430.228	170.9762	0.8293744	1.124969	1.350662
408	-264.7162	-434.873	170.1568	0.8161724	0.9582533	2.061841
414	-258.3988	-429.951	171.5522	0.1766921	1.556829	1.044627
420	-268.3646	-438.2573	169.8927	0.58337	3.0479	0.7783832
426	-274.8036	-445.5023	170.6987	0.8979522	2.021365	0.60725
432	-267.4096	-439.0802	171.6706	0.3013016	1.127251	1.212335
438	-262.5308	-433.7037	171.1729	0.1952833	1.833313	1.122816
444	-258.3989	-429.4767	171.0778	0.3936485	2.071357	0.7512191
450	-263.1577	-432.7945	169.6369	1.216987	2.692085	0.7464518
456	-249.1682	-420.1303	170.9621	0.8135721	1.664012	0.8843547
462	-250.4148	-421.8402	171.4254	0.1522544	1.803041	0.9492894
468	-252.2265	-424.1527	171.9262	0.2877615	1.164368	0.9517659
474	-251.6122	-423.4536	171.8414	0.1402443	1.130044	1.201637
480	-249.1989	-420.4327	171.2338	0.6324855	1.664	0.7695415
486	-244.1125	-414.9688	170.8562	0.4770861	2.039393	0.9576359
492	-254.5256	-426.1504	171.6248	0.5136948	1.107759	1.081825
498	-265.053	-436.1019	171.0489	0.8329454	1.286812	1.152108
504	-254.8065	-426.2173	171.4109	0.6411353	1.510208	0.7209122
510	-254.7204	-426.0327	171.3123	0.618314	1.596063	0.774565
516	-256.9503	-428.8962	171.9459	0.06773734	1.162249	1.145688
522	-260.8115	-432.1637	171.3522	0.3712052	1.452482	1.145688
528	-264.1558	-435.5437	171.388	0.5530028	1.287063	1.09867
534	-265.9101	-436.1492	170.2391	1.138387	2.030717	0.9196691
540	-256.1406	-427.1416	171.001	0.7593464	1.60586	0.9644094
546	-264.5678	-435.8673	171.2995	0.8415694	1.249422	0.938821
552	-262.4138	-433.233	170.8192	1.022514	1.743051	0.6815476
558	-258.2441	-429.3406	171.0965	0.5556876	1.743051	0.9337552
564	-250.5566	-420.007	169.4504	1.263619	2.822291	0.7607676
570	-251.3394	-422.6056	171.2662	0.9982574	1.310504	0.6994625
576	-255.5501	-425.4355	169.8854	1.681094	1.889338	0.8655147
582	-266.1902	-437.2584	171.0682	1.053802	1.209683	0.9995532
588	-257.168	-427.927	170.759	0.9178065	1.696317	0.9571983
594	-252.4882	-424.1327	171.6445	0.1672788	1.641684	0.8683456
600	-248.3878	-419.3658	170.978	1.433528	1.153944	0.7156415
606	-248.6437	-418.7158	170.0721	1.771848	1.54004	0.9457807
612	-247.484	-419.195	171.711	0.04179716	1.742177	0.8171833
618	-254.3402	-425.115	170.7748	0.4279566	2.20696	0.9180442
624	-251.3365	-421.8727	170.5361	1.438105	1.33586	1.020954
630	-254.3514	-426.179	171.8276	0.1014585	1.509898	0.8851477
636	-255.4348	-426.712	171.2772	0.2853454	1.093718	1.559785
642	-259.0941	-430.4329	171.3388	0.1698268	1.374487	1.388031
648	-258.4638	-428.4705	170.0067	1.834287	1.791036	0.5572279
654	-257.1034	-427.2562	170.1528	1.12586	2.253805	0.766367
660	-248.0764	-419.2132	171.1368	0.9661582	1.200147	1.027785
666	-249.402	-421.0475	171.6455	0.1480172	1.49191	1.044882
672	-253.4082	-425.4265	172.0183	0.08566181	0.8298209	1.348129
678	-268.5017	-439.4578	170.9561	0.1947177	1.979626	1.185524
684	-258.5935	-428.7715	170.178	1.155149	1.797261	1.185524
690	-259.406	-429.7066	170.3006	1.524669	1.797261	0.5935069
696	-257.223	-428.2317	171.0087	0.4453729	2.178405	0.5550392
702	-261.7108	-432.427	170.7161	0.9826144	1.912193	0.3922675
708	-258.3069	-429.8907	171.5837	0.146619	1.398363	1.186997
714	-256.6755	-427.5144	170.8389	0.8632071	1.387338	1.220597
720	-254.8498	-426.1098	171.26	0.7369281	1.36397	0.9698754
726	-265.1355	-437.0188	171.8833	0.1572345	1.36397	0.9236581
732	-256.4469	-427.8009	171.354	0.2216043	1.526361	1.20996
738	-260.6749	-432.4181	171.7432	0.1262759	1.39689	1.063012
744	-266.2731	-437.614	171.341	0.2083225	1.39689	1.338232
750	-264.1596	-435.6676	171.5081	0.4519062	1.288953	1.079362
756	-267.2366	-437.9615	170.7248	0.606206	1.921027	1.076432
762	-269.9637	-441.5688	171.6051	0.2449308	1.447594	1.033111
768	-263.5803	-434.7675	171.1872	0.5300555	1.580358	1.033111
774	-255.78	-425.405	169.625	2.071884	1.676255	0.9572069
780	-248.594	-418.5161	169.922	1.733	1.979739	0.5421925
786	-254.2705	-424.2006	169.9301	0.6283275	2.99882	0.729001
792	-259.5138	-429.8971	170.3832	0.557856	2.616122	0.729001
798	-257.0885	-428.8817	171.7932	0.4778741	1.001414	1.0572
804	-256.1262	-427.5	171.3738	0.4778741	1.727091	0.6926437
810	-265.4251	-436.0681	170.643	0.3687862	2.566956	0.6926437
816	-260.0773	-430.7242	170.6469	0.2089924	2.705794	0.7218317
822	-252.2525	-424.1867	171.9342	0.1605608	1.27585	0.9598198
828	-250.4144	-421.7431	171.3286	0.1669071	1.237161	1.503029
834	-253.4281	-424.9359	171.5078	0.458894	1.191561	1.161283
840	-266.0232	-436.5264	170.5032	1.551066	0.619273	1.547041
846	-258.2732	-427.6913	169.4181	1.862736	2.232668	0.7928416
852	-255.7816	-426.6573	170.8758	0.888337	1.783312	0.7442414
858	-255.2476	-426.4633	171.2157	0.7770883	1.533318	0.7753898
864	-265.3504	-435.9887	170.6383	0.7413524	1.835034	1.110858
870	-255.3352	-426.0209	170.6857	1.63413	1.264327	0.6827023
876	-250.1737	-420.6286	170.455	0.2904696	2.827433	0.7030121
882	-262.9129	-432.9815	170.0686	1.355615	1.99283	0.9098798
888	-260.0427	-431.5867	171.544	0.3781175	0.9855651	1.368727
894	-254.7542	-426.55	171.7958	0.02769417	1.081504	1.370843
900	-258.9624	-430.2521	171.2897	0.5516323	0.9182038	1.482865
906	-254.1231	-425.434	171.3109	0.5390659	1.494449	0.9867733
912	-269.7672	-440.9469	171.1798	0.8048405	1.287512	1.057574
918	-276.6489	-447.4068	170.7579	0.7204087	1.244716	1.510261
924	-257.0873	-429.1591	172.0718	0.1497673	0.7132292	1.347266
930	-259.7069	-430.7067	170.9998	0.8364881	1.280141	1.197549
936	-256.8932	-428.3406	171.4473	0.5490381	1.284954	1.048792
942	-256.5404	-427.1212	170.5808	0.1973106	2.727237	0.8036851
948	-252.7329	-423.7414	171.0085	0.6762177	1.91152	0.6590938
954	-256.638	-427.7075	171.0695	0.3228967	1.91152	1.026967
960	-251.659	-423.4413	171.7824	0.7503172	1.045012	0.6945199
966	-248.1438	-419.9287	171.7849	0.5289776	0.8229541	1.180008
972	-245.8237	-417.7338	171.9101	0.1168298	1.340455	0.9631769
978	-250.7219	-421.8608	171.1389	0.2909258	1.340455	1.474752
984	-265.4607	-436.368	170.9073	1.199009	1.340455	0.8761303
990	-254.4355	-425.6964	171.2609	0.37733	1.185105	1.434282
996	-259.3478	-430.6952	171.3475	0.3459519	1.140722	1.426018
1002	-260.746	-432.3961	171.6501	0.1264977	1.486363	1.066217
1008	-261.7067	-432.2963	170.5897	1.232893	1.408791	1.095606
1014	-254.4587	-425.9616	171.5029	0.2933608	1.572679	0.961582
1020	-249.7066	-420.704	170.9975	0.4409604	1.775541	1.111514
1026	-252.6889	-424.1348	171.4459	0.2116336	1.640634	1.032557
1032	-255.4125	-426.5071	171.0945	0.2794747	2.00053	0.9557481
1038	-259.1257	-430.164	171.0383	0.650309	1.824331	0.7935692
1044	-258.1494	-429.3571	171.2077	0.6383424	1.548822	0.9341917
1050	-260.3501	-430.0288	169.6787	2.157192	1.044756	1.389984
1056	-251.5268	-421.0742	169.5473	2.157192	1.189867	1.379183
1062	-251.7612	-421.1492	169.388	2.157192	1.531886	1.231034
1068	-255.1537	-423.3165	168.1628	2.233062	2.862536	1.070535
1074	-251.7364	-421.7814	170.045	1.996931	1.216443	1.070535
1080	-248.6756	-420.6211	171.9456	0.166966	1.145848	1.070535
1086	-252.6813	-424.384	171.7027	0.2384516	1.145848	1.22266
1092	-252.3136	-423.6542	171.3406	1.050629	1.145848	0.7597176
1098	-252.1446	-423.8346	171.69	0.1973882	1.055007	1.341231
1104	-255.2234	-427.0271	171.8037	0.08166599	1.486912	0.9581192
1110	-255.3734	-426.4348	171.0614	0.6304614	1.392891	1.22453
1116	-261.2229	-430.9107	169.6878	2.076683	1.320324	1.22453
1122	-262.2978	-433.5625	171.2647	0.3495646	1.551313	1.154821
1128	-276.4614	-447.8724	171.411	0.740169	1.163496	1.016438
