Iteration	Posterior	Likelihood	Prior	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-262.9873	-432.9871	169.9997	0.3993462	1.995215	1.172881	0.8803094
6	-258.3948	-428.6373	170.2425	0.8245556	1.018033	0.9331461	1.408184
12	-266.9194	-436.6449	169.7255	1.239242	1.199146	0.4801181	1.68777
18	-264.731	-433.9111	169.1801	1.508084	0.7718481	0.5332764	2.134155
24	-269.1148	-438.3544	169.2396	1.508084	1.132344	0.9162451	1.585652
30	-261.9958	-431.2495	169.2536	1.184696	1.522	1.396173	1.142281
36	-260.1331	-430.6029	170.4699	0.5355408	1.129202	1.396173	0.9250096
42	-269.8419	-439.2726	169.4306	1.515383	1.119842	1.369958	1.068894
48	-272.8498	-441.4506	168.6007	1.220636	2.393658	1.331457	1.084838
54	-267.5262	-436.9085	169.3824	0.786898	1.878614	1.244938	1.225559
60	-257.4095	-426.7895	169.38	1.404656	1.158577	1.431671	1.119564
66	-269.4671	-439.561	170.0939	1.127227	1.175359	0.724183	1.329126
72	-260.9587	-430.7596	169.8009	1.139394	1.298729	0.7513476	1.433273
78	-253.0472	-423.3515	170.3044	0.5423744	1.035685	1.586851	0.9911297
84	-257.4515	-426.2702	168.8187	0.9515501	2.239139	1.424716	1.15636
90	-253.8354	-423.5704	169.735	0.6550125	1.419304	1.441602	1.218143
96	-248.658	-418.9976	170.3397	0.8133085	1.419304	0.7018107	1.206894
102	-263.9133	-432.1808	168.2675	0.3485651	5.387448	0.7018107	0.9168436
108	-264.4116	-433.5129	169.1013	0.4819166	3.447385	0.9633515	0.881217
114	-255.2232	-425.0316	169.8084	0.4336829	2.239856	1.165863	0.8638043
120	-263.2868	-433.4275	170.1408	0.6576346	1.305823	1.470254	0.90656
126	-253.4343	-423.4599	170.0256	0.516328	1.070648	1.715341	1.117952
132	-262.0806	-431.4696	169.3891	0.43205	2.981838	0.9489266	0.9519378
138	-254.6576	-424.4437	169.786	0.8762064	1.612099	1.37253	0.8550425
144	-254.3968	-424.7806	170.3838	0.5832078	1.086868	1.55001	0.8550425
150	-254.5393	-424.4857	169.9463	0.6565123	1.767345	1.232103	0.9114262
156	-257.0369	-426.3218	169.2849	1.132479	1.173632	1.987848	0.9114262
162	-263.8845	-432.4001	168.5156	0.860962	3.275468	0.9806114	1.223589
168	-257.4818	-427.1986	169.7168	0.6799824	1.749152	1.020337	1.311727
174	-250.7683	-420.5066	169.7383	0.8677225	1.595713	1.056918	1.230427
180	-251.2071	-421.1257	169.9186	0.4547414	1.783494	1.056918	1.226996
186	-249.3873	-419.0433	169.656	0.7673464	1.783494	0.7133913	1.509918
192	-256.0864	-424.8985	168.8121	1.607008	1.545898	1.092494	1.406115
198	-251.9498	-421.0255	169.0757	1.630824	1.413175	0.7788963	1.522376
204	-262.2925	-430.3845	168.0921	1.543438	2.875737	0.6344766	1.522376
210	-253.7941	-422.7305	168.9364	0.9974552	2.112967	0.9071441	1.522376
216	-254.2911	-424.1594	169.8682	0.7097521	1.726076	0.9071441	1.275181
222	-258.5045	-427.6482	169.1437	1.073633	1.726076	0.7816665	1.65031
228	-251.5555	-420.4014	168.8459	1.253707	1.808758	0.8247588	1.652568
234	-275.2365	-444.009	168.7725	1.41158	2.199845	0.6256866	1.498037
240	-256.2324	-425.1689	168.9365	1.659516	1.833745	0.631268	1.428718
246	-257.4926	-426.9609	169.4684	1.221145	1.200356	0.9975014	1.510453
252	-260.5446	-430.4666	169.922	1.221145	1.200411	1.005744	1.137829
258	-255.8121	-425.6757	169.8637	0.6951039	1.193568	1.455168	1.252222
264	-253.8907	-424.2708	170.3801	0.3589726	1.68321	1.00258	0.9530229
270	-261.0703	-430.2246	169.1543	0.4914769	2.766578	1.00258	1.235243
