Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	part_rate_trans	tree_length
0	-681.615	-851.3037	169.6887	0.7126914	1.644544	1.189411	1.185037
6	-671.221	-840.9687	169.7476	1.52307	0.9827899	1.329297	0.8084806
12	-667.1659	-836.6277	169.4618	1.061841	1.270519	1.796281	0.8016369
18	-660.9023	-831.6246	170.7223	0.9076153	0.573356	1.325206	0.8454075
24	-667.2754	-837.93	170.6546	0.7424215	1.093289	0.9492031	0.9725842
30	-666.7287	-837.9764	171.2477	0.2921131	0.7558608	0.9542976	1.148878
36	-670.7947	-841.7805	170.9858	0.159844	1.041901	1.065891	1.148878
42	-672.9932	-843.6035	170.6102	0.2367541	1.530618	1.026872	1.021983
48	-685.3221	-856.7137	171.3916	0.04752558	0.987988	1.175401	0.7819098
54	-669.7319	-840.4948	170.7628	0.1254119	1.295585	1.175401	1.054753
60	-677.4606	-848.3679	170.9074	0.305384	0.9679769	1.175401	1.054753
66	-670.2774	-840.7493	170.4719	0.8835396	0.8359251	0.8849389	1.297984
72	-670.3877	-840.7012	170.3134	0.442663	1.749537	0.9269307	1.013429
78	-673.2461	-843.5688	170.3226	0.3636965	1.557812	1.169534	1.01484
84	-664.6973	-834.9352	170.2379	0.371627	1.614356	1.210409	0.9987572
90	-664.7017	-835.9135	171.2118	0.01992324	0.8741869	1.210409	1.091708
96	-661.3119	-832.8115	171.4996	0.02905463	0.8688259	0.6787866	1.298393
102	-667.5186	-838.9101	171.3915	0.2668524	0.6915802	1.093084	0.9608679
108	-670.5003	-840.3072	169.807	1.768108	0.8957673	0.9181487	1.022873
114	-676.373	-847.0158	170.6428	0.208146	1.177742	0.7987375	1.493317
120	-665.9331	-836.8083	170.8752	0.03866821	1.431433	0.7958703	1.252267
126	-677.6102	-848.6259	171.0157	0.1605003	1.080154	0.7408971	1.362103
132	-679.6776	-851.0325	171.3549	0.01936427	0.8551717	0.74574	1.378945
138	-675.7631	-846.5606	170.7975	1.191585	0.5745166	0.7827145	1.040385
144	-691.305	-861.9572	170.6522	0.5070141	0.8611801	0.984902	1.355231
150	-678.2221	-848.6919	170.4699	0.1348353	1.335579	1.367735	1.103648
156	-669.6725	-840.7218	171.0493	0.2690715	0.9473051	1.064059	1.079537
162	-666.342	-836.9325	170.5905	0.09540934	1.243716	1.52441	0.9592768
168	-675.3748	-846.2798	170.905	0.09081076	1.062501	1.354316	0.9997544
174	-662.0522	-832.6732	170.621	0.2115792	1.443964	1.13733	1.007571
180	-664.3983	-834.8113	170.413	0.3441553	1.007454	0.9459856	1.579364
186	-672.5368	-842.7368	170.2	0.6081472	1.007454	0.4226294	1.910839
192	-681.0015	-848.8092	167.8078	2.390285	1.007454	0.8873174	2.00845
198	-672.1877	-840.0125	167.8248	2.390285	1.343752	0.9680735	1.71462
204	-678.7838	-849.185	170.4012	1.372367	0.7015337	0.6300067	1.269516
210	-682.5319	-853.042	170.5101	0.7387291	0.9224437	0.8368958	1.353305
216	-672.7964	-843.5389	170.7426	0.7387291	0.9224437	0.9922591	1.016144
222	-671.8446	-841.7365	169.8919	0.9036352	1.585924	0.9922591	1.055545
228	-670.1787	-840.1897	170.011	0.5314584	1.724994	0.6791129	1.425851
234	-667.4633	-838.6176	171.1543	0.4737052	0.6835026	0.6791129	1.360669
240	-671.6685	-842.095	170.4265	0.1304622	1.513353	0.9104773	1.385375
246	-680.1188	-850.8211	170.7023	0.2119516	1.052654	0.7717054	1.558843
252	-677.8669	-847.7924	169.9256	0.2118566	1.754533	0.7040101	1.686738
258	-674.8776	-845.2606	170.383	0.06783789	1.702798	0.7298411	1.472233
264	-668.9267	-839.8261	170.8994	0.2033345	1.04318	1.142767	1.117293
270	-673.9274	-844.5919	170.6645	0.5245437	1.019351	0.903076	1.26991
276	-667.9161	-838.777	170.8609	0.5088067	1.019351	0.8540391	1.157915
282	-669.0483	-839.5414	170.4931	0.3283062	1.055435	1.091222	1.385009
288	-667.3484	-838.4077	171.0593	0.2718424	0.657415	1.330885	1.078805
294	-678.4934	-848.815	170.3216	0.245953	1.403907	1.068151	1.333997
300	-684.7782	-855.2782	170.5001	0.2825396	0.9717262	1.581729	1.073703
