Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	br_lengths[50]	br_lengths[51]	br_lengths[52]	br_lengths[53]	br_lengths[54]	br_lengths[55]	br_lengths[56]	br_lengths[57]	br_lengths[58]	br_lengths[59]	br_lengths[60]	br_lengths[61]	br_lengths[62]	br_lengths[63]	br_lengths[64]	br_lengths[65]	br_lengths[66]	br_lengths[67]	br_lengths[68]	br_lengths[69]	br_lengths[70]	br_lengths[71]	br_lengths[72]	br_lengths[73]	br_lengths[74]	br_lengths[75]	br_lengths[76]	br_lengths[77]	br_lengths[78]	br_lengths[79]	br_lengths[80]	br_lengths[81]	br_lengths[82]	br_lengths[83]	br_lengths[84]	br_lengths[85]	br_lengths[86]	br_lengths[87]	br_lengths[88]	br_lengths[89]	br_lengths[90]	br_lengths[91]	br_lengths[92]	br_lengths[93]	br_lengths[94]	br_lengths[95]	br_lengths[96]	br_lengths[97]	part_rate_trans	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	rel_br_lengths[50]	rel_br_lengths[51]	rel_br_lengths[52]	rel_br_lengths[53]	rel_br_lengths[54]	rel_br_lengths[55]	rel_br_lengths[56]	rel_br_lengths[57]	rel_br_lengths[58]	rel_br_lengths[59]	rel_br_lengths[60]	rel_br_lengths[61]	rel_br_lengths[62]	rel_br_lengths[63]	rel_br_lengths[64]	rel_br_lengths[65]	rel_br_lengths[66]	rel_br_lengths[67]	rel_br_lengths[68]	rel_br_lengths[69]	rel_br_lengths[70]	rel_br_lengths[71]	rel_br_lengths[72]	rel_br_lengths[73]	rel_br_lengths[74]	rel_br_lengths[75]	rel_br_lengths[76]	rel_br_lengths[77]	rel_br_lengths[78]	rel_br_lengths[79]	rel_br_lengths[80]	rel_br_lengths[81]	rel_br_lengths[82]	rel_br_lengths[83]	rel_br_lengths[84]	rel_br_lengths[85]	rel_br_lengths[86]	rel_br_lengths[87]	rel_br_lengths[88]	rel_br_lengths[89]	rel_br_lengths[90]	rel_br_lengths[91]	rel_br_lengths[92]	rel_br_lengths[93]	rel_br_lengths[94]	rel_br_lengths[95]	rel_br_lengths[96]	rel_br_lengths[97]	tree_length
0	-1530.658	-1702.449	171.7909	0.000510837	0.0304008	0.00768448	0.00601561	0.0198926	0.0130153	0.0206607	0.0220408	0.00209197	0.012402	0.00463747	0.00554575	0.000721927	0.013533	0.00432355	0.0303752	0.0261754	0.00407305	0.0470745	0.0101288	0.0155525	0.00896203	0.0901118	0.00335411	0.0133507	0.00221343	0.00573314	0.00324861	0.00243888	0.082835	0.0711681	0.031257	0.014215	0.00091841	0.00393	0.0188225	0.0190588	0.0185736	0.0602732	0.00675219	0.0114587	0.00179558	0.0135864	0.00345666	0.0390843	0.0380405	2.00617e-05	0.0386308	0.0316794	0.0142912	0.0219258	0.00300257	0.00658316	0.0158906	0.00177521	0.0104253	0.0439123	0.0115517	0.035649	0.0037674	0.00917896	0.0196019	0.0106753	0.0012157	0.0045704	0.0071825	0.0229773	0.00874164	0.000914834	0.00695175	0.0451217	0.00333398	0.0321932	0.0217666	0.00360067	0.0149369	0.015146	0.0102069	0.0122406	0.000591493	0.00252719	0.0062821	0.00164426	0.00985232	0.0177425	0.0255269	0.0209018	0.00409949	0.0120528	0.00108524	0.00805181	0.00421502	0.0213011	0.000863375	0.0272647	0.0011142	0.0208963	0.8960024	0.000332323	0.0197771	0.00499911	0.00391344	0.0129411	0.00846705	0.0134408	0.0143386	0.00136092	0.0080681	0.00301689	0.00360777	0.000469647	0.00880382	0.00281267	0.0197605	0.0170283	0.00264971	0.0306241	0.00658926	0.0101176	0.00583022	0.058622	0.002182	0.00868525	0.00143994	0.00372968	0.00211337	0.0015866	0.053888	0.0462982	0.0203342	0.00924752	0.000597469	0.00255665	0.0122449	0.0123987	0.012083	0.0392106	0.00439261	0.00745442	0.00116811	0.00883861	0.00224872	0.0254262	0.0247471	1.3051e-05	0.0251311	0.0206089	0.00929708	0.0142638	0.00195331	0.00428265	0.0103376	0.00115486	0.00678214	0.028567	0.00751495	0.0231914	0.00245087	0.00597134	0.012752	0.00694477	0.000790868	0.00297326	0.00467255	0.0149478	0.00568684	0.000595142	0.00452244	0.0293538	0.00216891	0.0209432	0.0141602	0.0023424	0.00971713	0.00985318	0.00664005	0.00796306	0.000384794	0.00164406	0.0040868	0.00106967	0.0064094	0.0115423	0.0166064	0.0135976	0.00266691	0.0078409	0.000706	0.00523808	0.00274206	0.0138574	0.000561666	0.0177369	0.000724839	0.013594	1.537169
36	-1515.5	-1687.552	172.0524	0.00162303	0.0109565	0.0255377	0.000364011	0.0305319	0.0168779	0.0206777	0.0335376	0.0113628	0.000948213	0.00852748	0.00744143	0.000315451	0.0182047	0.00824125	0.0152769	0.0223224	0.00976952	0.0552178	0.00237349	0.00669502	0.00530754	0.0727535	0.00200621	0.0100868	0.00653446	0.00986791	0.00225186	0.000260705	0.0520921	0.0254257	0.0065894	0.000220172	0.00433453	0.0020081	0.012061	0.0158777	0.0243941	0.0682248	0.0109283	0.0233995	0.00134849	0.00716142	0.00111142	0.0357995	0.0180023	0.00255241	0.0584171	0.0192734	0.0143119	0.00981856	0.000990272	0.000159361	0.00216487	1.48402e-05	0.000871397	0.00110892	0.0189912	0.00299423	0.00554968	0.000907384	0.00225884	0.00377635	0.00717651	0.000777659	0.00312304	0.00569693	0.0468901	0.00275391	0.0109579	0.00177314	0.0105502	0.00437993	0.0257486	0.00377119	2.6468e-05	0.0548118	0.0545589	0.00382302	0.0104774	0.0101523	0.00630249	0.00164265	0.0140171	0.0124495	0.0388572	0.0126439	0.0207467	0.00767725	0.00858752	0.0147048	0.00865533	0.00442289	0.0241777	0.0117287	0.0177111	0.00722903	0.8940888	0.00121301	0.00818866	0.0190863	0.000272053	0.0228188	0.0126141	0.015454	0.0250652	0.00849226	0.000708672	0.00637324	0.00556155	0.000235761	0.0136057	0.00615931	0.0114176	0.0166832	0.00730151	0.0412685	0.00177389	0.0050037	0.00396673	0.0543743	0.0014994	0.00753864	0.0048837	0.00737504	0.00168298	0.000194844	0.0389324	0.0190025	0.00492476	0.000164551	0.00323953	0.00150081	0.00901413	0.0118666	0.0182315	0.0509896	0.00816758	0.0174882	0.00100783	0.00535227	0.000830646	0.0267557	0.0134545	0.00190761	0.0436595	0.0144045	0.0106964	0.00733816	0.000740106	0.000119103	0.00161798	1.10912e-05	0.000651262	0.000828783	0.0141936	0.00223781	0.0041477	0.000678158	0.0016882	0.00282236	0.00536355	0.000581204	0.00233409	0.00425775	0.0350445	0.00205821	0.00818971	0.00132521	0.00788495	0.00327345	0.0192439	0.0028185	1.97816e-05	0.0409651	0.040776	0.00285724	0.00783059	0.00758761	0.00471033	0.00122767	0.0104761	0.00930444	0.0290409	0.00944977	0.0155056	0.00573779	0.00641811	0.01099	0.00646879	0.00330556	0.0180698	0.00876574	0.0132369	0.0054028	1.338014
72	-1527.338	-1699.432	172.0939	0.000825551	0.00981741	0.0154958	0.000196555	0.0279275	0.0235471	0.0258098	0.0117271	0.00305142	0.00390143	0.00754507	0.00299697	0.00356905	0.0143284	0.0166108	0.00872666	0.0200202	0.0137697	0.0193989	0.00361617	0.0081329	0.00894747	0.065041	0.00229878	0.0112666	0.0237625	0.0134322	0.0011354	0.000865288	0.0729322	0.0326862	0.0117108	0.000412271	0.00230054	0.00134592	0.0185675	0.0144096	0.0143753	0.0609924	0.00222797	0.0151638	6.13086e-05	0.00713337	0.000780672	0.033656	0.0381981	0.000566255	0.0409027	0.0285994	0.00875455	0.0300076	0.000248192	0.00102068	0.0173079	3.7434e-05	0.00166405	0.00915486	0.00705448	0.00174132	0.014104	0.00151482	0.00337159	0.00271021	0.0196601	0.00310067	0.00253822	0.00349821	0.0172335	0.00897205	0.0218618	0.00110623	0.0113187	0.0097892	0.0278042	0.00516593	0.00056985	0.0239417	0.0200038	0.00176006	0.0178191	0.00837939	0.00772149	0.0207351	0.0159663	0.0220131	0.0295244	0.00557339	0.0173409	0.00948834	0.00967451	0.0267812	0.0251111	0.00787654	0.0410382	0.00686391	0.00340179	0.0159942	0.8587093	0.000619269	0.00736432	0.0116239	0.000147441	0.0209492	0.0176633	0.0193606	0.00879683	0.00228896	0.00292657	0.00565977	0.00224811	0.00267725	0.0107482	0.0124603	0.00654612	0.0150177	0.010329	0.0145517	0.00271259	0.00610072	0.00671175	0.0487891	0.00172438	0.00845141	0.0178249	0.0100758	0.000851698	0.000649077	0.0547085	0.0245188	0.00878461	0.000309256	0.0017257	0.00100961	0.013928	0.0108091	0.0107833	0.0457521	0.00167127	0.0113748	4.59893e-05	0.00535094	0.000585605	0.0252463	0.0286535	0.000424764	0.0306823	0.0214532	0.00656704	0.0225095	0.000186176	0.000765642	0.0129831	2.80803e-05	0.00124825	0.00686732	0.00529177	0.00130622	0.0105798	0.00113631	0.00252913	0.00203301	0.0147476	0.0023259	0.00190399	0.00262411	0.0129274	0.00673019	0.0163991	0.000829814	0.00849047	0.00734316	0.0208567	0.00387511	0.000427461	0.0179594	0.0150054	0.00132027	0.0133666	0.00628562	0.00579211	0.015554	0.0119768	0.0165127	0.0221471	0.00418076	0.0130079	0.00711748	0.00725713	0.0200893	0.0188366	0.00590842	0.0307839	0.00514882	0.00255178	0.0119977	1.333105
108	-1529.817	-1701.74	171.9223	0.00531787	0.0110344	0.0166399	0.00118556	0.0242716	0.0107408	0.0244777	0.0217794	0.023941	0.000564341	0.00437459	0.00806204	0.005219	0.0160161	0.0103791	0.0201076	0.0274466	0.017801	0.0525079	0.003954	0.0107793	0.00398186	0.0804108	0.00614701	0.0221862	0.00495349	0.0177435	0.00195698	0.00013683	0.0821939	0.0310932	0.00517648	0.00138082	0.0112336	0.0174753	0.0226003	0.0123149	0.0142888	0.0549836	0.0163215	0.0161993	0.000516215	0.0144432	0.00754987	0.0467138	0.0238064	0.0109502	0.0394211	0.0122529	0.0125134	0.00932643	0.00893295	0.00592773	0.0227027	7.46551e-05	0.00986271	0.0256774	0.001352	0.0267243	0.00283372	0.00770658	0.0201912	0.0179685	0.00268553	0.00322722	0.0116357	0.016666	0.0243689	0.00903781	0.0139306	0.0169578	0.00347889	0.00492082	0.0230117	0.00759584	0.0156742	0.00466473	0.0016264	0.0173041	0.00576911	0.00412642	0.00251412	0.000789895	0.00887414	0.0326787	0.00982032	0.0187308	0.00768115	0.00939966	0.005704	0.011842	0.00117429	0.0242389	0.0192719	0.0280571	0.00449909	0.0112313	0.8805361	0.00366746	0.00760988	0.0114757	0.000817617	0.0167389	0.00740734	0.016881	0.0150201	0.0165109	0.000389196	0.00301692	0.00555997	0.00359928	0.0110455	0.00715793	0.0138671	0.0189285	0.0122764	0.036212	0.00272687	0.00743394	0.00274608	0.0554551	0.00423927	0.0153007	0.00341616	0.0122368	0.00134963	9.43648e-05	0.0566849	0.0214434	0.00356995	0.000952282	0.00774725	0.0120518	0.0155863	0.00849296	0.00985426	0.0379193	0.0112561	0.0111718	0.000356007	0.00996071	0.00520675	0.032216	0.016418	0.00755175	0.0271867	0.00845018	0.00862983	0.00643195	0.00616059	0.00408805	0.0156569	5.14857e-05	0.0068018	0.0177084	0.000932404	0.0184304	0.00195427	0.00531483	0.0139248	0.0123919	0.00185207	0.00222564	0.00802457	0.0114937	0.016806	0.00623291	0.00960718	0.0116949	0.00239921	0.00339363	0.0158699	0.00523845	0.0108097	0.00321702	0.00112164	0.0119337	0.00397865	0.00284578	0.00173386	0.00054475	0.00612004	0.0225368	0.00677257	0.0129176	0.00529729	0.00648246	0.00393375	0.00816679	0.000809844	0.0167163	0.0132908	0.0193495	0.00310279	0.00774565	1.450015
144	-1520.533	-1692.491	171.9573	0.00142885	0.0211221	0.00800692	0.00228929	0.0459405	0.0167456	0.0270127	0.0164037	0.0154327	0.00108805	0.00327446	0.00471722	0.00852057	0.0271204	0.0392082	0.0261965	0.0268654	0.0171008	0.0298491	0.00313539	0.00436811	0.00160609	0.0890414	0.00119325	0.0129326	0.0206271	0.0311279	0.000543354	0.00498676	0.0914212	0.0567253	0.0287981	0.005922	0.0175212	0.0033803	0.0202573	0.0221577	0.0215365	0.0376556	0.00495342	0.00854988	0.0010426	0.00098738	0.00664515	0.0407592	0.0300658	0.00113986	0.0407559	0.0210194	0.00873379	0.00902328	0.0174326	0.0154465	0.0252099	0.000296622	0.00707811	0.0611061	0.00145057	0.0426549	0.00125295	0.0033838	0.0120702	0.0134586	0.00483905	4.80591e-05	0.00743279	0.0178804	0.0119924	0.000437889	0.00846958	0.0304839	0.00381159	0.00234135	0.0396435	0.01419	0.0205109	0.00145406	0.0121421	0.0133635	0.00350665	0.00250811	0.0107965	0.00815204	0.0304575	1.13425e-05	0.0232801	0.013043	0.00435184	0.011187	0.00335166	0.0117384	0.000533449	0.0137197	0.0163336	0.026388	0.00283185	0.0262551	0.6641862	0.000901336	0.013324	0.00505084	0.00144411	0.0289797	0.0105633	0.0170399	0.0103476	0.00973513	0.000686351	0.00206556	0.00297567	0.00537486	0.0171078	0.0247329	0.016525	0.016947	0.0107874	0.0188291	0.00197784	0.00275545	0.00101314	0.0561682	0.000752711	0.00815804	0.0130118	0.0196358	0.000342753	0.0031457	0.0576694	0.0357829	0.0181661	0.00373565	0.0110525	0.00213233	0.0127785	0.0139773	0.0135854	0.0237535	0.00312467	0.00539335	0.000657681	0.000622849	0.00419183	0.0257113	0.0189658	0.000719035	0.0257092	0.0132593	0.00550936	0.00569198	0.0109966	0.00974379	0.0159027	0.000187112	0.00446494	0.0385463	0.000915033	0.0269071	0.000790371	0.00213453	0.00761398	0.00848981	0.00305252	3.03162e-05	0.00468868	0.0112792	0.00756493	0.000276225	0.00534269	0.0192295	0.00240439	0.00147695	0.0250075	0.00895122	0.0129385	0.000917236	0.00765936	0.00842982	0.00221203	0.00158214	0.00681055	0.00514239	0.0192129	7.15496e-06	0.0146853	0.00822763	0.00274518	0.00705688	0.00211426	0.0074047	0.000336505	0.00865451	0.0103034	0.0166458	0.00178636	0.016562	1.585264
180	-1542.863	-1714.673	171.8103	0.000514821	0.0222306	0.0101435	0.0031488	0.0202382	0.00998657	0.02972	0.0344085	0.00784106	0.000337287	0.00352625	0.0235845	0.00387339	0.0379877	0.0208024	0.0302159	0.0278255	0.0130287	0.0179509	0.00606069	0.00128302	0.00630271	0.053356	0.00774449	0.00885727	0.00771269	0.0120845	0.00264525	0.00189886	0.145456	0.0295999	0.0112996	0.00664475	0.00269325	0.00508316	0.037222	0.0258832	0.0231122	0.0325526	0.00600481	0.0135967	5.98509e-05	3.48882e-05	0.00592321	0.0347475	0.056048	0.00197688	0.058436	0.0229037	0.006407	0.0205441	0.04417	0.0181767	0.00690366	0.00100574	0.0075862	0.00158774	0.00121206	0.00908132	0.0170634	0.0166755	0.0122418	0.0232248	0.022867	0.00212678	0.00521147	0.0109061	0.0403097	0.000293962	0.00638939	0.00960024	0.00166111	0.0105346	0.0104531	0.0106876	0.0176619	0.0166665	0.0126439	0.0186844	0.0375833	0.0183946	0.00727241	0.00194075	0.0204812	0.00049406	0.0133114	0.00321294	0.0262719	0.0310935	0.0110115	0.0165738	0.0107815	0.00925533	0.0336847	0.00215178	0.0724725	0.00361039	0.7262749	0.000312626	0.0134996	0.00615968	0.00191211	0.0122897	0.00606436	0.0180475	0.0208946	0.0047615	0.000204818	0.00214132	0.0143218	0.00235212	0.0230681	0.0126323	0.0183486	0.0168971	0.0079117	0.0109007	0.00368037	0.000779117	0.00382733	0.0324005	0.00470286	0.00537859	0.00468355	0.00733835	0.00160633	0.00115309	0.0883281	0.0179746	0.0068617	0.00403504	0.00163548	0.00308676	0.0226031	0.0157176	0.014035	0.0197676	0.00364643	0.00825661	3.63446e-05	2.11859e-05	0.00359688	0.0211005	0.0340353	0.00120046	0.0354854	0.0139083	0.00389066	0.0124754	0.0268223	0.0110378	0.00419226	0.000610739	0.00460674	0.000964159	0.000736028	0.00551465	0.0103618	0.0101263	0.00743384	0.0141033	0.013886	0.00129149	0.00316467	0.00662277	0.0244781	0.000178509	0.00387997	0.00582976	0.00100871	0.00639716	0.00634769	0.00649004	0.0107252	0.0101208	0.00767803	0.0113461	0.0228225	0.0111702	0.00441619	0.00117852	0.0124372	0.000300019	0.00808336	0.00195106	0.0159536	0.0188816	0.00668675	0.0100645	0.00654711	0.00562032	0.0204551	0.00130667	0.0440091	0.00219242	1.646763
216	-1516.078	-1687.992	171.9139	0.000874647	0.0104489	0.00984116	0.00157305	0.0207621	0.00708793	0.0174628	0.0135845	0.000993049	0.00108634	0.000580805	0.0136158	0.0022092	0.0200567	0.00760015	0.0360314	0.0315315	0.010141	0.0356401	0.00644786	0.00622221	0.0143852	0.0948902	0.00812275	0.0254768	0.0156095	0.00472569	0.00215452	0.00146875	0.0862183	0.0471635	0.00404739	0.00100218	0.00129543	0.00333937	0.0187693	0.0146903	0.0206028	0.0457153	0.00302403	0.0113722	0.000388563	0.000759754	0.00199185	0.042319	0.0187629	0.00260836	0.038369	0.024652	0.00152219	0.023915	0.0315267	0.0202463	0.00604029	0.0030736	0.0162576	0.000256188	0.00275705	0.017598	0.0243425	0.0174398	0.00626641	0.0273788	0.0230935	0.00197246	0.00222172	0.0036424	0.010931	0.00263794	0.000284693	0.00547203	0.00792467	0.00781027	0.0015641	0.00236886	0.0100245	0.00683513	0.00611984	0.0145915	0.0294974	0.00590214	0.00596217	0.00650111	0.0293382	0.000287742	0.00590745	0.00385739	0.0304548	0.00534867	0.0121527	0.0119754	0.00373879	0.00917152	0.0199892	0.0016595	0.0261065	0.000446224	1.052387	0.000661545	0.00790311	0.00744342	0.00118979	0.0157036	0.005361	0.0132081	0.0102747	0.000751099	0.000821663	0.000439295	0.0102984	0.00167094	0.01517	0.00574842	0.0272526	0.0238491	0.00767021	0.0269566	0.00487688	0.00470621	0.0108803	0.0717708	0.00614369	0.0192695	0.0118063	0.00357431	0.00162958	0.0011109	0.0652118	0.0356724	0.00306127	0.000758005	0.000979807	0.00252576	0.0141963	0.0111111	0.0155831	0.034577	0.00228724	0.00860146	0.000293892	0.000574644	0.00150655	0.0320082	0.0141915	0.00197285	0.0290206	0.0186457	0.00115132	0.0180883	0.0238454	0.0153134	0.00456861	0.00232473	0.0122966	0.000193769	0.00208531	0.0133104	0.0184116	0.0131907	0.00473964	0.0207081	0.0174669	0.00149189	0.00168041	0.00275495	0.00826774	0.00199522	0.000215329	0.0041388	0.00599388	0.00590735	0.00118302	0.0017917	0.0075821	0.00516979	0.00462878	0.0110364	0.0223106	0.00446412	0.00450952	0.00491716	0.0221902	0.000217636	0.00446814	0.00291756	0.0230347	0.0040455	0.00919174	0.00905766	0.00282785	0.00693694	0.015119	0.00125518	0.0197458	0.000337504	1.322128
252	-1518.986	-1690.645	171.6586	0.000942404	0.00827623	0.0247908	0.00399369	0.0261704	0.0185863	0.019979	0.0262421	0.000610871	0.00318696	0.00022233	0.0123818	0.00681695	0.0187285	0.0115888	0.0468646	0.0174347	0.0142568	0.0356455	0.00626458	0.00982164	0.0051842	0.0924375	0.00865427	0.0093316	0.00750535	0.00853669	0.0019219	0.000320691	0.140383	0.0677795	0.0154795	0.00847977	0.0106636	0.00717324	0.020576	0.0140521	0.0257755	0.0509844	0.00673095	0.0100464	0.000927309	0.00964489	0.00460676	0.0639766	0.0334578	0.00273296	0.0602851	0.0178277	0.0114392	0.0214312	0.0295066	0.0290963	0.00978346	0.00138782	0.0189098	0.0105532	0.00811696	0.0188975	0.0283318	0.00344781	0.00100957	0.0386291	0.0109642	0.00355521	0.00301941	0.00768978	0.02369	0.00704997	0.000166046	0.0121387	0.00672297	0.0187946	0.00235927	0.0264902	0.0202399	0.00513896	0.00882059	0.0102083	0.0252347	0.00163567	0.00667952	0.013548	0.0382469	0.000626244	0.0240881	0.0143848	0.0126321	0.0306745	0.0177928	0.0213835	0.00812527	0.0190771	0.0598552	0.00114622	0.0568811	0.00408969	0.7008588	0.00053184	0.00467064	0.0139906	0.00225381	0.0147691	0.0104891	0.011275	0.0148096	0.000344741	0.00179854	0.000125471	0.00698758	0.0038471	0.0105693	0.00654006	0.0264478	0.00983915	0.00804575	0.0201163	0.00353538	0.00554278	0.00292567	0.0521665	0.00488399	0.00526623	0.0042356	0.00481763	0.00108461	0.00018098	0.0792241	0.038251	0.00873578	0.00478551	0.00601794	0.00404817	0.0116119	0.0079302	0.0145462	0.0287727	0.00379857	0.0056696	0.000523321	0.00544303	0.0025998	0.0361048	0.0188817	0.00154233	0.0340215	0.0100609	0.00645565	0.0120946	0.0166519	0.0164203	0.00552123	0.000783208	0.0106716	0.00595561	0.00458075	0.0106647	0.0159889	0.00194575	0.000569743	0.0218001	0.00618755	0.00200636	0.00170398	0.00433968	0.0133693	0.00397861	9.37069e-05	0.00685043	0.00379406	0.0106066	0.00133144	0.0149496	0.0114223	0.00290014	0.00497785	0.00576099	0.0142411	0.000923078	0.00376954	0.00764575	0.0215844	0.000353417	0.013594	0.008118	0.00712884	0.017311	0.0100412	0.0120676	0.00458544	0.0107661	0.0337789	0.000646864	0.0321005	0.00230799	1.77197
288	-1526.806	-1698.692	171.8867	0.00354519	0.0112503	0.0187801	0.00719168	0.0508701	0.00945722	0.0259493	0.0353855	0.00447905	0.00250639	0.000187452	0.00536406	0.00530729	0.0247099	0.00623605	0.0363984	0.0358065	0.00321499	0.0298011	0.00232025	0.0121839	0.00790066	0.0940152	0.00366257	0.0102445	0.00383028	0.0127748	0.00184619	0.000661916	0.08339	0.0450192	0.00633759	0.0185374	0.0139329	0.0121826	0.00840836	0.0211704	0.0314853	0.052007	0.00603254	0.0243272	0.000735926	0.0100045	0.00409788	0.0771477	0.0357164	0.00222558	0.0420241	0.0205472	0.00710138	0.0255869	0.0486988	0.0181439	0.00343409	0.00530632	0.00877335	0.00117976	0.00519783	0.0123924	0.0276181	0.014514	0.00237673	0.0363314	0.00178636	0.00803562	0.000708981	0.00266965	0.0131234	0.0124203	0.00270738	0.000305647	0.00284636	0.00804235	0.000703716	0.0184864	0.0246823	0.00176543	0.00628515	0.00830015	0.0243633	0.00305839	0.014229	0.00208273	0.0207686	0.000198055	0.0185063	0.0130866	0.0160171	0.0178379	0.00360958	0.00929981	0.00940159	0.00249809	0.0464243	0.00307329	0.0595237	0.0123689	0.7323051	0.00223378	0.00708866	0.0118331	0.00453138	0.0320526	0.00595887	0.0163503	0.022296	0.00282219	0.00157925	0.000118111	0.00337982	0.00334406	0.0155694	0.00392926	0.0229342	0.0225612	0.00202572	0.0187773	0.00146196	0.00767691	0.0049781	0.0592378	0.00230774	0.00645492	0.00241341	0.00804926	0.00116326	0.000417065	0.0525429	0.028366	0.00399323	0.0116802	0.00877892	0.00767612	0.005298	0.0133392	0.0198385	0.0327689	0.00380102	0.0153282	0.000463697	0.00630373	0.00258202	0.0486098	0.0225045	0.00140231	0.0264788	0.0129465	0.00447449	0.016122	0.0306845	0.0114323	0.00216378	0.00334344	0.00552798	0.000743353	0.00327509	0.00780832	0.0174018	0.00914507	0.00149755	0.0228919	0.00112556	0.00506314	0.00044672	0.00168211	0.0082689	0.00782585	0.00170589	0.000192584	0.00179345	0.00506738	0.000443402	0.011648	0.015552	0.00111237	0.00396019	0.00522982	0.015351	0.00192705	0.00896549	0.0013123	0.013086	0.000124792	0.0116606	0.00824572	0.0100922	0.0112395	0.00227435	0.00585969	0.00592382	0.00157401	0.0292513	0.00193644	0.0375051	0.00779346	1.587082
324	-1526.573	-1698.533	171.9602	0.00450726	0.0267995	0.0125414	0.00215954	0.049349	0.00582057	0.0238831	0.0270268	0.00478009	0.000307581	0.00014073	0.037286	0.00232505	0.0184328	0.0154354	0.0342622	0.037587	0.0117372	0.0379428	0.00591598	0.00772779	0.00701408	0.0908479	0.012986	0.0122361	0.0102003	0.0285276	0.00281523	0.00036479	0.0588088	0.0254311	0.00557055	0.00826828	0.00786954	0.00840331	0.0106991	0.0169958	0.0142929	0.0612226	0.0153291	0.0224055	0.001003	0.0129378	0.00168986	0.0304217	0.032082	0.000450655	0.0406581	0.0157789	0.00773047	0.0236117	0.00670987	0.025774	0.00133898	0.00414492	0.00573616	0.000796702	0.00642832	0.027357	0.0217282	0.0128491	0.00265469	0.0257663	0.0196151	0.00332546	0.000458282	0.00437301	0.0428204	0.00398981	0.00318451	0.00113131	0.00181632	0.00800452	0.00193093	0.0113883	0.0260151	0.00112254	0.000862557	0.00750924	0.0156061	0.00134942	0.00550615	0.00163385	0.0275726	9.89563e-05	0.0302254	0.0107418	0.0313296	0.0100813	0.00734174	0.0178807	0.0133544	0.000285645	0.0133785	0.00365936	0.0359945	0.00377229	0.8278375	0.00308449	0.0183399	0.00858257	0.00147786	0.0337714	0.00398324	0.0163441	0.0184955	0.0032712	0.00021049	9.63071e-05	0.0255162	0.00159112	0.0126143	0.010563	0.0234469	0.0257223	0.00803223	0.0259657	0.00404853	0.00528842	0.00480001	0.0621707	0.00888683	0.00837367	0.00698044	0.0195225	0.00192657	0.00024964	0.0402451	0.0174035	0.00381214	0.0056583	0.00538543	0.00575071	0.00732181	0.0116309	0.00978122	0.041897	0.0104903	0.0153329	0.000686389	0.00885386	0.00115644	0.0208187	0.021955	0.000308401	0.0278239	0.0107981	0.00529026	0.0161584	0.00459182	0.0176381	0.000916317	0.00283653	0.00392548	0.000545214	0.00439915	0.0187215	0.0148694	0.00879312	0.0018167	0.0176329	0.0134234	0.00227574	0.00031362	0.00299262	0.0293037	0.00273038	0.00217928	0.000774202	0.00124298	0.0054778	0.00132141	0.00779343	0.0178032	0.0007682	0.000590281	0.00513886	0.0106799	0.00092346	0.00376807	0.00111811	0.018869	6.77196e-05	0.0206844	0.00735104	0.0214401	0.00689901	0.00502424	0.0122365	0.00913892	0.000195478	0.00915546	0.00250424	0.0246324	0.00258152	1.461265
