Iteration	Posterior	Likelihood	Prior	gain_loss_ratio	tree_length
0	-864.5506	-1035.224	170.6731	0.9145247	2.336646
6	-873.4958	-1044.269	170.7731	1.019491	2.205333
12	-866.5368	-1037.275	170.7386	1.199978	2.110958
18	-877.2202	-1048.249	171.0284	1.000049	2.051132
24	-863.3739	-1034.859	171.4852	0.7600129	1.903892
30	-860.7418	-1032.002	171.2606	1.091043	1.833496
36	-865.8034	-1036.714	170.9102	0.9894835	2.135717
42	-857.7665	-1028.846	171.0799	0.8341919	2.125693
48	-873.1507	-1044.286	171.1354	1.015926	1.969347
54	-865.8114	-1036.918	171.1069	0.9541486	2.029529
60	-866.8382	-1037.253	170.4144	1.229565	2.301843
66	-873.5484	-1044.86	171.3111	1.011569	1.853359
72	-856.6463	-1027.321	170.6745	1.137248	2.193159
78	-857.8245	-1029.104	171.2796	0.952291	1.915121
84	-853.6775	-1024.783	171.1059	0.8978031	2.06738
90	-856.3383	-1027.372	171.0335	1.086206	1.990566
96	-856.2078	-1026.994	170.7864	1.115476	2.134437
102	-871.811	-1042.942	171.1314	0.862822	2.073371
108	-856.817	-1027.959	171.1423	0.8518572	2.073371
114	-869.4206	-1040.294	170.8732	1.062942	2.11195
120	-858.4411	-1028.982	170.5414	1.127476	2.285085
126	-856.3389	-1027.468	171.1292	1.228701	1.830205
132	-848.7471	-1019.911	171.1639	1.066871	1.915872
138	-857.8502	-1028.638	170.7883	1.451992	1.915872
144	-859.4867	-1030.518	171.0316	1.14086	1.955441
150	-866.6658	-1037.728	171.0623	1.21457	1.885467
156	-869.8983	-1040.975	171.0764	1.085326	1.962456
162	-868.5004	-1039.238	170.7372	1.17767	2.126301
168	-862.3894	-1033.351	170.962	0.9258589	2.143408
174	-855.6092	-1026.565	170.956	1.117841	2.021191
180	-857.1075	-1027.948	170.8406	1.107152	2.104379
186	-849.731	-1020.268	170.5372	1.066201	2.326711
192	-856.5764	-1027.455	170.8782	1.021562	2.135701
198	-864.0837	-1034.84	170.7562	1.151703	2.130706
204	-855.9066	-1026.695	170.7889	1.151703	2.109291
210	-862.5827	-1033.289	170.7063	0.9589213	2.287256
216	-868.7578	-1039.117	170.3593	1.231511	2.335694
222	-873.0911	-1043.687	170.5959	1.332948	2.119476
228	-878.3587	-1049.319	170.9602	1.150596	1.996808
234	-864.7541	-1036.262	171.5075	1.091292	1.660325
240	-865.4205	-1036.424	171.0039	0.8919505	2.138093
246	-866.9843	-1037.593	170.6091	1.314189	2.122719
252	-870.1873	-1040.468	170.281	1.167296	2.425307
258	-866.9767	-1038.313	171.3362	0.7449519	2.013568
264	-868.747	-1039.519	170.7722	1.107509	2.148898
270	-877.762	-1048.923	171.1608	0.8950106	2.032857
276	-872.8559	-1043.758	170.9019	1.154678	2.032857
282	-880.915	-1051.791	170.8758	0.8302805	2.260377
288	-856.4511	-1027.936	171.4852	0.7833504	1.888694
294	-869.5967	-1040.968	171.3713	0.8576264	1.916736
300	-856.2329	-1027.084	170.8514	1.118064	2.090207
306	-862.0501	-1033.43	171.3797	0.7963923	1.95149
312	-864.3708	-1035.11	170.7396	1.140546	2.148722
318	-851.558	-1022.141	170.5832	1.112176	2.268074
324	-871.7073	-1042.824	171.1167	1.013537	1.983468
330	-856.3395	-1027.119	170.7798	1.355549	1.983468
336	-859.6834	-1030.59	170.9068	1.12197	2.051131
342	-869.9086	-1040.078	170.1695	0.98904	2.605764
348	-863.0443	-1033.171	170.1267	1.391493	2.384953
354	-862.1386	-1032.898	170.7597	0.8226352	2.339323
360	-866.9665	-1037.601	170.6345	1.148317	2.211906
366	-856.6139	-1027.321	170.7066	0.9206466	2.311449
372	-862.9504	-1034.081	171.1305	0.7987744	2.11519
378	-852.9029	-1023.872	170.9689	1.018263	2.078375
384	-860.2384	-1031.554	171.3154	1.018263	1.845796
390	-861.5283	-1032.302	170.7741	1.113196	2.143975
396	-858.2086	-1029.162	170.9533	1.011031	2.093417
402	-850.8115	-1021.687	170.8757	1.149344	2.053725
408	-852.1737	-1023.007	170.8332	1.083834	2.124463
414	-857.3164	-1028.158	170.8416	1.075383	2.124463
420	-871.2652	-1042.559	171.2935	1.102583	1.802931
426	-868.3997	-1039.668	171.2681	1.039897	1.863382
432	-863.6025	-1034.978	171.3756	0.9370648	1.86012
438	-857.9673	-1029.472	171.5043	0.9370648	1.771349
444	-870.959	-1041.574	170.6149	0.991551	2.324781
450	-857.081	-1027.975	170.8937	0.9195474	2.191848
456	-853.608	-1024.498	170.8901	1.035581	2.118739
462	-861.655	-1033.051	171.3957	1.035581	1.778415
468	-862.162	-1033.244	171.0816	0.8606555	2.10753
474	-863.4475	-1034.379	170.9315	0.954539	2.144642
480	-874.9803	-1045.901	170.9207	1.157976	2.018183
486	-869.1853	-1039.752	170.5671	1.015589	2.339864
492	-887.388	-1057.688	170.2999	1.127835	2.438058
498	-885.8115	-1056.327	170.5157	1.143379	2.291442
504	-875.6372	-1046.156	170.519	1.228984	2.235087
510	-870.7521	-1041.282	170.5301	1.606513	1.992644
516	-864.4836	-1035.208	170.7249	1.398486	1.992644
522	-865.4709	-1036.612	171.1407	1.036216	1.952164
528	-852.3859	-1023.374	170.9878	1.091802	2.017315
534	-849.6112	-1020.778	171.1673	1.091802	1.896758
540	-856.5181	-1027.315	170.7969	1.04744	2.171753
546	-850.4128	-1021.363	170.9497	0.9882468	2.110705
552	-854.7008	-1025.865	171.1642	1.033608	1.938149
558	-857.9212	-1028.785	170.8634	1.338872	1.938149
564	-867.6269	-1038.972	171.3448	0.85237	1.938149
570	-869.0761	-1040.772	171.6964	0.6999455	1.797846
576	-853.1614	-1024.295	171.1335	1.07271	1.932535
582	-865.9849	-1036.218	170.2332	1.307524	2.368674
588	-868.9656	-1039.727	170.7619	1.111399	2.153096
594	-872.6389	-1043.62	170.9811	1.54391	1.723501
600	-858.4266	-1029.21	170.7829	1.246233	2.05193
606	-850.8864	-1021.954	171.0673	0.7741357	2.171986
612	-865.0995	-1035.867	170.7674	0.9965827	2.22378
618	-861.3898	-1032.343	170.9528	0.9091056	2.160264
624	-865.4762	-1036.779	171.3028	1.114548	1.78824
630	-859.2882	-1030.947	171.6583	0.8582334	1.718255
636	-862.0895	-1032.696	170.6069	1.207144	2.192213
642	-856.282	-1027.513	171.2307	1.049777	1.882154
648	-856.6765	-1027.418	170.7418	1.220296	2.095798
654	-852.5369	-1023.532	170.9951	1.290242	1.880858
660	-857.2294	-1028.374	171.1445	1.138197	1.880858
666	-855.8187	-1026.807	170.9885	0.9510232	2.109683
672	-855.5842	-1026.305	170.7211	1.219788	2.109683
678	-846.3256	-1016.791	170.4654	1.265456	2.246601
684	-848.7487	-1019.922	171.1733	0.9623026	1.979889
690	-858.8632	-1029.501	170.6373	0.838074	2.40727
696	-848.6715	-1019.407	170.7359	1.091595	2.182807
702	-867.2887	-1038.117	170.828	1.042218	2.154923
708	-858.5553	-1029.514	170.9587	1.115374	2.021028
714	-866.9888	-1038.207	171.2183	0.9227985	1.976173
720	-852.1167	-1023.155	171.0381	1.103236	1.976173
726	-850.2428	-1020.713	170.4704	1.317148	2.211001
732	-854.645	-1025.376	170.7315	0.9132259	2.300231
738	-854.3114	-1024.893	170.5817	1.379677	2.099308
744	-867.9867	-1038.51	170.5232	1.096963	2.316094
750	-860.2478	-1031.307	171.0591	1.219055	1.884653
756	-861.5934	-1032.664	171.0704	1.028255	2.004548
762	-863.9198	-1034.635	170.7156	1.071247	2.209076
768	-860.3632	-1031.119	170.7557	1.045973	2.199443
774	-872.8032	-1043.561	170.7576	0.9443405	2.263674
780	-856.5252	-1027.294	170.7687	1.124079	2.140401
786	-859.6314	-1030.554	170.923	0.986336	2.129403
792	-863.086	-1033.72	170.6344	1.098423	2.243926
798	-857.918	-1029.353	171.4352	0.8514828	1.877438
804	-855.7606	-1026.473	170.7122	0.8332378	2.362888
810	-850.1944	-1021.572	171.378	1.097384	1.747673
816	-866.9112	-1038.001	171.0896	1.008212	2.005093
822	-860.5008	-1032.203	171.7017	0.7801447	1.74136
828	-860.7062	-1031.452	170.746	1.293234	2.046032
834	-858.8782	-1030.072	171.1941	0.8693783	2.027681
840	-872.1168	-1043.385	171.268	1.073134	1.840705
846	-879.0145	-1050.063	171.0486	1.198207	1.905716
852	-874.6055	-1045.837	171.2318	0.9333695	1.960073
858	-877.3664	-1048.565	171.1987	0.792916	2.074127
864	-878.6203	-1049.967	171.347	0.7048968	2.031272
870	-870.0432	-1040.934	170.891	0.9909647	2.14728
876	-878.979	-1049.544	170.5645	1.253515	2.190148
882	-879.3022	-1049.625	170.3232	1.159979	2.403268
888	-880.1546	-1050.585	170.4307	1.403095	2.183231
894	-869.2448	-1040.772	171.5273	1.102254	1.63834
900	-872.3834	-1043.382	170.9988	1.164299	1.961858
906	-860.7705	-1032.24	171.469	0.7983217	1.889832
912	-864.2627	-1035.641	171.3788	0.7983217	1.950848
918	-866.5885	-1037.516	170.9278	1.115464	2.04146
924	-865.1217	-1036.354	171.2323	0.9575917	1.943485
930	-857.0441	-1028.063	171.0193	1.051761	2.022951
936	-845.0895	-1015.892	170.8027	1.196492	2.071119
942	-849.1304	-1020.18	171.05	0.9184458	2.090654
948	-852.8586	-1023.833	170.9741	1.074669	2.037731
954	-857.5278	-1028.917	171.3887	0.968488	1.829662
960	-854.9618	-1026.122	171.1603	1.233404	1.805547
966	-849.2358	-1020.13	170.8941	1.331084	1.922462
972	-847.8505	-1019.199	171.3488	0.8718244	1.922462
978	-850.5157	-1021.287	170.771	1.049356	2.187346
984	-850.0199	-1021.281	171.2608	0.8326664	2.007352
990	-851.9093	-1023.122	171.213	0.9463187	1.963989
996	-864.7588	-1035.832	171.0731	1.212937	1.879235
1002	-859.7652	-1030.7	170.9352	1.171187	1.999883
1008	-864.0988	-1034.938	170.8391	1.03321	2.153613
1014	-864.1487	-1034.784	170.6352	1.028293	2.288321
1020	-862.8592	-1033.877	171.0177	1.028293	2.039519
1026	-856.0134	-1026.931	170.9172	1.037681	2.099626
1032	-842.8926	-1014.024	171.1311	1.037681	1.957677
1038	-853.5168	-1024.743	171.2261	1.13706	1.825797
1044	-849.0043	-1020.416	171.4115	0.8757358	1.877292
1050	-849.335	-1019.633	170.298	1.294349	2.335669
1056	-856.5913	-1028.216	171.6248	0.8446191	1.751242
1062	-857.3945	-1028.185	170.79	1.251884	2.043555
1068	-861.3696	-1032.325	170.9556	0.8610269	2.189391
1074	-859.2918	-1030.643	171.3512	1.000131	1.833645
1080	-853.5858	-1024.721	171.1352	0.972637	1.998447
1086	-862.8567	-1033.722	170.8653	1.110637	2.085882
1092	-863.9545	-1034.847	170.8921	1.223282	1.994332
1098	-869.5979	-1040.723	171.1249	1.201243	1.851716
1104	-856.755	-1027.952	171.1966	0.9953712	1.942078
1110	-863.244	-1034.021	170.7768	1.100889	2.15021
1116	-854.8683	-1025.985	171.1168	0.940098	2.032297
1122	-864.4584	-1035.512	171.054	1.010186	2.027454
1128	-871.295	-1042.391	171.0961	1.110927	1.932046
1134	-884.9763	-1056.073	171.0962	1.276031	1.821047
1140	-868.1755	-1039.274	171.0988	0.7759385	2.150338
1146	-860.6367	-1032.1	171.4634	0.9095201	1.818687
1152	-854.094	-1025.02	170.9258	1.21388	1.977991
1158	-856.5693	-1027.585	171.016	0.9529286	2.090382
1164	-849.1339	-1019.68	170.546	1.063623	2.322739
1170	-858.7818	-1029.573	170.7908	1.063623	2.165258
1176	-860.6751	-1031.277	170.6022	1.124947	2.247687
1182	-856.3804	-1027.564	171.1832	0.9657804	1.970952
1188	-857.0679	-1028.236	171.168	0.9657804	1.981109
1194	-857.226	-1028.792	171.5664	0.8129913	1.813347
1200	-855.3064	-1026.534	171.2276	0.8314637	2.030178
1206	-858.8339	-1029.743	170.9088	1.116161	2.053598
1212	-867.6147	-1038.314	170.6989	1.445326	1.980252
1218	-870.1517	-1041.398	171.2461	0.9386601	1.946881
1224	-872.9914	-1044.369	171.3778	0.9824504	1.827524
1230	-873.0981	-1044.577	171.4793	1.038855	1.717516
1236	-876.2861	-1046.881	170.5949	1.038855	2.307341
1242	-871.5696	-1041.962	170.392	1.038855	2.435935
