Iteration	Posterior	Likelihood	Prior	acrv_sd	tree_length
0	-379.8088	-550.7197	170.9109	0.1138276	2.638334
6	-375.4274	-545.79	170.3626	1.170411	2.319885
12	-369.0697	-540.2288	171.1591	0.3738876	2.319885
18	-362.067	-533.1218	171.0548	0.4064908	2.365457
24	-365.9298	-536.7742	170.8444	0.2347515	2.60473
30	-377.7119	-549.0069	171.295	0.2347515	2.321985
36	-381.3568	-552.9181	171.5613	0.5140628	1.965925
42	-392.2448	-563.6198	171.375	0.4462233	2.134044
48	-395.973	-566.2899	170.3168	0.3193464	2.875695
54	-374.8068	-545.411	170.6042	0.03196283	2.875695
60	-376.0796	-547.614	171.5344	0.4406815	2.032829
66	-374.588	-546.2285	171.6405	0.3345685	2.032829
72	-363.5337	-535.1157	171.582	0.451347	1.994063
78	-362.765	-534.1632	171.3983	0.5800123	2.030693
84	-371.9499	-543.2338	171.2839	0.2305474	2.331699
90	-384.7411	-556.0137	171.2726	0.6106197	2.093449
96	-390.9331	-561.9225	170.9895	0.2650492	2.495668
102	-383.846	-554.5386	170.6926	0.5619527	2.495668
108	-383.0044	-554.0739	171.0695	0.04143517	2.585034
114	-391.8567	-562.4599	170.6032	0.2992499	2.713563
120	-385.4548	-556.0764	170.6216	0.2808356	2.713563
126	-383.2368	-553.8707	170.6339	0.2685173	2.713563
132	-381.1509	-551.8829	170.732	0.596366	2.449365
138	-380.3222	-550.9879	170.6657	0.1505562	2.766269
144	-382.4495	-554.1322	171.6827	0.09763691	2.160681
150	-381.8797	-552.5334	170.6537	0.04709711	2.83654
156	-380.2159	-551.1563	170.9403	0.3374866	2.48108
162	-377.6959	-548.9041	171.2082	0.4293349	2.25302
168	-388.8078	-559.8949	171.0871	0.5656598	2.243245
174	-383.0751	-553.5165	170.4413	0.2808307	2.82356
180	-386.6592	-554.0271	167.3679	2.223777	3.495548
186	-377.8069	-549.507	171.7001	0.0890104	2.15497
192	-371.0944	-541.6658	170.5714	0.4405176	2.646235
198	-374.587	-545.584	170.997	0.2299139	2.512896
204	-377.7559	-548.8127	171.0568	0.6847859	2.185833
210	-370.7974	-542.3414	171.544	0.2627665	2.143442
216	-368.8939	-539.7314	170.8375	0.2440773	2.603228
222	-384.0436	-553.495	169.4514	1.858195	2.461172
228	-389.9544	-561.1085	171.154	0.7636817	2.070725
234	-395.2919	-566.5396	171.2477	0.5750452	2.133039
240	-386.8125	-555.7652	168.9527	2.075679	2.636092
246	-385.3369	-556.2441	170.9072	0.3813268	2.474364
252	-383.5399	-554.1751	170.6352	0.3813268	2.64339
258	-376.5109	-548.44	171.9291	0.132301	1.975299
264	-383.7465	-554.9259	171.1794	0.270038	2.372999
270	-389.2897	-559.7574	170.4677	0.2577995	2.821504
276	-391.5605	-562.8928	171.3322	0.2123954	2.31249
282	-381.8337	-552.3697	170.5359	0.6943085	2.510817
288	-380.5427	-552.2204	171.6777	0.2743373	2.048064
294	-369.3318	-539.7345	170.4027	0.4201039	2.762272
300	-370.1274	-540.8994	170.772	0.4294111	2.528804
306	-372.0401	-543.7117	171.6716	0.1838004	2.111687
312	-392.3638	-563.7957	171.4319	0.2034531	2.254412
318	-393.5687	-564.754	171.1854	0.3050054	2.347018
324	-393.8908	-564.793	170.9023	0.1523887	2.619888
330	-379.4228	-550.2203	170.7975	0.2571696	2.619888
336	-381.0387	-552.374	171.3354	0.2510311	2.285791
342	-383.0126	-554.4396	171.427	0.1594142	2.285791
348	-389.6683	-561.7383	172.0699	0.05551664	1.932266
354	-386.9645	-558.0129	171.0484	0.2047413	2.496499
360	-379.5499	-549.8294	170.2795	0.382593	2.860003
366	-370.2515	-541.1122	170.8607	0.1789256	2.629162
372	-379.6042	-551.4091	171.8049	0.07503605	2.095582
378	-391.2013	-563.1388	171.9375	0.04053349	2.030849
384	-387.6373	-558.8466	171.2094	0.03327682	2.503082
390	-374.5255	-545.6899	171.1644	0.02881109	2.533903
396	-382.3474	-553.428	171.0806	0.866458	2.051335
402	-382.9357	-554.2785	171.3428	0.08238644	2.388367
408	-382.6468	-554.0508	171.4039	0.1339777	2.316763
414	-388.4496	-559.3177	170.8682	0.2943095	2.553046
420	-385.4722	-556.4188	170.9465	0.4020549	2.436658
426	-382.976	-554.123	171.147	0.2113637	2.430537
432	-369.1176	-540.1394	171.0219	0.4784167	2.340731
438	-382.4427	-553.2973	170.8546	0.4875562	2.440695
444	-373.2278	-544.0846	170.8568	0.1597522	2.643386
450	-375.9557	-546.9195	170.9638	0.6606588	2.261396
456	-374.0173	-545.8005	171.7833	0.2573906	1.989176
462	-367.6453	-539.0572	171.4119	0.467982	2.095646
468	-373.3088	-543.8056	170.4968	0.6088493	2.588328
474	-374.8567	-545.9143	171.0577	0.1666503	2.514521
480	-365.5116	-537.5697	172.0581	0.0153008	1.967257
486	-380.9723	-552.7221	171.7497	0.0788555	2.129223
492	-377.9444	-549.765	171.8206	0.3553901	1.898065
498	-373.3918	-544.4381	171.0463	0.05405719	2.591576
504	-374.8323	-545.7984	170.9661	0.5735102	2.315713
510	-374.1004	-545.2096	171.1092	0.7316119	2.121231
516	-370.9847	-541.7655	170.7809	0.3804096	2.553801
522	-375.7792	-547.2113	171.4321	0.4469138	2.096186
528	-378.2329	-549.0897	170.8568	1.008479	2.1052
534	-384.3292	-555.5696	171.2404	0.2624944	2.339069
540	-398.7112	-569.7311	171.02	0.4829097	2.339069
546	-404.6246	-576.3202	171.6956	0.2741978	2.036331
552	-380.3522	-552.5253	172.1731	0.3596035	1.649513
558	-382.5847	-554.0684	171.4838	0.7150751	1.882517
564	-371.0281	-542.3825	171.3544	0.164686	2.328748
570	-394.0754	-564.9175	170.8421	0.1872839	2.635487
576	-385.56	-557.3172	171.7572	0.1965422	2.046924
582	-393.4861	-562.194	168.708	1.904456	2.890075
588	-392.5868	-564.1754	171.5886	0.5113012	1.94944
594	-376.5554	-548.0017	171.4464	0.1831112	2.25817
600	-373.1721	-545.0741	171.902	0.1928456	1.952873
606	-376.9959	-548.7712	171.7753	0.1385153	2.073294
612	-380.6397	-550.5118	169.8721	2.03169	2.0799
618	-379.3769	-550.2652	170.8883	0.9830644	2.101225
624	-383.5214	-554.3063	170.785	0.08227792	2.735109
630	-369.4366	-540.8176	171.3811	0.3169989	2.214006
636	-363.7667	-535.1219	171.3552	0.3794732	2.19034
642	-373.2122	-544.0424	170.8302	0.4080125	2.50587
648	-375.7008	-546.8556	171.1548	0.6316338	2.156722
654	-379.9121	-550.8851	170.9729	0.9097533	2.09378
660	-394.2029	-564.6056	170.4027	0.3409233	2.810533
666	-384.7886	-556.3155	171.5269	0.3409233	2.103529
672	-367.584	-539.1346	171.5505	0.4333053	2.026994
678	-367.558	-538.875	171.317	0.07765761	2.407631
684	-378.4093	-550.0985	171.6892	0.2900288	2.030078
690	-382.4577	-553.3615	170.9037	0.1422652	2.625231
696	-380.9172	-551.5793	170.6621	0.5390283	2.528968
702	-377.4859	-548.2232	170.7373	0.463903	2.528968
708	-371.8857	-542.7336	170.8479	0.1630408	2.646828
714	-364.4652	-535.9499	171.4846	0.3870993	2.100992
720	-379.5812	-551.2933	171.7121	0.2505252	2.041065
726	-369.2612	-540.657	171.3957	0.1773248	2.294332
732	-380.6136	-551.5421	170.9284	0.7895804	2.201131
738	-373.8503	-544.7844	170.9341	0.7839012	2.201131
744	-374.8389	-546.1334	171.2945	0.7151797	2.009848
750	-365.7044	-537.1673	171.4629	0.1752234	2.252604
756	-369.4504	-541.1224	171.6719	0.4856178	1.91057
762	-370.4812	-542.4007	171.9195	0.1000168	2.003251
768	-375.6283	-547.1201	171.4918	0.3611463	2.113271
774	-376.7625	-548.7116	171.9491	0.0596564	2.010428
780	-367.9407	-538.5474	170.6066	0.3479502	2.68154
786	-369.8129	-540.7677	170.9548	0.1373135	2.596699
792	-385.1687	-554.5662	169.3975	1.358655	2.80289
798	-374.2297	-545.4286	171.199	0.3190964	2.329426
804	-369.8762	-541.2101	171.3339	0.8047749	1.923313
810	-367.2416	-538.2792	171.0376	0.4267706	2.363514
816	-382.1179	-553.7036	171.5857	0.6016227	1.890346
822	-369.6557	-540.9323	171.2766	0.201054	2.355101
828	-367.2208	-538.3749	171.1541	0.1779175	2.447087
834	-380.4244	-552.1369	171.7125	0.3776728	1.956026
840	-385.4598	-557.8824	172.4226	0.242438	1.553308
846	-371.6707	-543.4558	171.7851	0.242438	1.997927
852	-372.8085	-544.0652	171.2567	0.761897	2.003918
858	-370.157	-541.8406	171.6836	0.1359594	2.135097
864	-374.4775	-545.9757	171.4983	0.2569019	2.177022
870	-375.8286	-547.3545	171.5259	0.5138634	1.989798
876	-374.4487	-546.1143	171.6657	0.1460675	2.140226
882	-359.9255	-531.2676	171.3421	0.266737	2.271405
888	-370.7297	-542.1277	171.398	0.266737	2.235516
894	-362.0102	-533.4082	171.398	0.266737	2.235516
900	-366.9174	-538.2777	171.3603	0.1812562	2.314471
906	-372.1737	-543.1692	170.9954	0.04907309	2.626145
912	-367.58	-538.1789	170.5989	0.2123058	2.769336
918	-368.8223	-539.3686	170.5463	0.662222	2.52439
924	-366.7334	-537.4722	170.7388	1.705516	1.712418
930	-375.1666	-546.5548	171.3883	0.4549277	2.119681
936	-374.1069	-545.954	171.8471	0.1366521	2.027041
942	-370.7114	-542.544	171.8326	0.1511963	2.027041
948	-376.1184	-547.3419	171.2235	0.5213443	2.183757
954	-370.479	-541.4064	170.9274	0.4896294	2.393481
960	-378.3775	-549.758	171.3805	0.03660188	2.393481
966	-385.3083	-556.0705	170.7622	0.6548833	2.393481
972	-395.8375	-566.4872	170.6497	0.7143388	2.426928
978	-399.6068	-568.7211	169.1142	0.6111661	3.417369
984	-374.7548	-546.0206	171.2658	0.5461991	2.140045
990	-381.6906	-552.5938	170.9032	0.3663567	2.486256
996	-377.7046	-548.3883	170.6837	0.6233741	2.462725
1002	-373.2167	-544.9988	171.782	0.02592185	2.142696
1008	-386.5922	-556.8802	170.288	0.4872441	2.791274
1014	-400.2006	-571.2787	171.0781	0.3164	2.407711
1020	-392.7305	-564.6381	171.9076	0.4776412	1.753953
1026	-376.9345	-548.3611	171.4266	1.046346	1.692164
1032	-386.0821	-557.9875	171.9054	0.5241122	1.722903
1038	-385.7555	-556.3983	170.6428	1.461282	1.946678
1044	-397.1441	-568.6804	171.5363	0.3200683	2.111068
1050	-383.7487	-554.4329	170.6842	1.172104	2.111068
1056	-382.6375	-553.3571	170.7195	0.7987462	2.329282
1062	-382.8683	-553.4589	170.5905	0.7509091	2.441169
1068	-383.5763	-554.9147	171.3385	0.2301412	2.297182
1074	-371.5329	-542.4173	170.8844	0.3536987	2.505915
1080	-383.4206	-554.6907	171.2701	0.3536987	2.261819
1086	-377.8064	-549.3399	171.5336	0.2140351	2.181955
1092	-389.1269	-559.9977	170.8708	0.408829	2.479937
1098	-375.012	-546.4985	171.4866	0.2736203	2.173789
1104	-378.9139	-550.1294	171.2156	0.06554562	2.479025
1110	-372.9724	-543.7612	170.7887	0.4923939	2.479025
1116	-374.1923	-545.8752	171.6829	0.5334131	1.870611
1122	-379.922	-550.8463	170.9243	0.5425309	2.361975
1128	-376.8482	-548.5166	171.6684	0.1496558	2.136133
1134	-383.8694	-554.8118	170.9424	0.1860924	2.574161
1140	-379.5696	-551.4153	171.8457	0.0451781	2.088403
1146	-373.0748	-544.8204	171.7456	0.145255	2.088403
1152	-370.6992	-541.2497	170.5505	0.08917438	2.873586
1158	-376.45	-548.0704	171.6205	0.1836585	2.145191
1164	-369.7977	-540.7715	170.9738	0.2463551	2.517104
1170	-369.0555	-539.8638	170.8082	0.05104676	2.739988
1176	-369.2795	-541.1267	171.8472	0.1656112	2.007718
1182	-368.7853	-539.21	170.4246	0.2963468	2.824269
1188	-370.5845	-542.2179	171.6334	0.3964556	1.996408
1194	-366.9674	-537.899	170.9316	0.3964556	2.449569
1200	-371.5753	-542.8235	171.2482	0.4554186	2.210449
1206	-369.7882	-541.7789	171.9907	0.4153676	1.739398
1212	-400.6366	-572.09	171.4533	0.5783001	1.995208
1218	-385.8637	-557.0068	171.1431	0.5783001	2.198909
1224	-367.4911	-538.4791	170.988	1.371735	1.771756
1230	-380.2674	-552.0041	171.7368	1.044376	1.466525
1236	-374.1872	-544.2529	170.0657	1.127886	2.533664
1242	-382.5134	-552.62	170.1066	1.300487	2.399768
1248	-377.3984	-548.3524	170.954	1.315332	1.83432
1254	-389.7972	-560.6031	170.8059	0.6773415	2.351579
1260	-385.3794	-556.779	171.3996	0.807123	1.877191
1266	-384.4036	-555.2135	170.8099	0.2725439	2.602695
1272	-374.5428	-544.9957	170.4529	0.5255873	2.666845
1278	-374.612	-545.3445	170.7326	0.5255873	2.493379
1284	-380.9283	-552.3095	171.3811	0.7917482	1.900165
1290	-376.3741	-547.3177	170.9436	0.4735177	2.393449
1296	-373.5428	-544.7086	171.1659	0.3107199	2.355792
1302	-372.8549	-544.0863	171.2314	0.2452158	2.355792
1308	-378.5887	-549.8078	171.219	0.6663242	2.092024
1314	-378.1705	-549.8777	171.7072	0.4662003	1.899798
1320	-383.2648	-555.3959	172.1311	0.1379428	1.834527
1326	-380.5746	-551.5061	170.9315	0.8919136	2.132606
1332	-375.335	-546.8727	171.5377	0.4712815	2.010275
1338	-380.8801	-551.7831	170.903	0.8158636	2.200545
1344	-384.4977	-555.8772	171.3796	0.3506451	2.193227
1350	-387.1241	-557.7466	170.6225	1.261996	2.092588
1356	-387.5899	-558.1247	170.5348	0.4063352	2.689824
1362	-376.982	-546.7896	169.8077	1.549701	2.43114
1368	-383.9989	-555.0831	171.0842	0.3741668	2.367346
1374	-371.2604	-542.7393	171.4789	0.3193312	2.149022
1380	-379.1129	-550.5874	171.4745	0.3832475	2.110139
1386	-382.9842	-554.6483	171.6641	0.1001292	2.171172
1392	-385.8784	-556.955	171.0766	0.1710531	2.499961
1398	-389.5836	-559.7107	170.1271	0.3619927	2.964428
1404	-387.8474	-559.654	171.8066	0.2800306	1.958356
1410	-389.433	-560.3641	170.931	0.2000082	2.572567
1416	-385.3437	-555.7867	170.443	0.7633885	2.525678
1422	-377.3134	-548.4436	171.1302	1.015375	1.918654
1428	-383.5536	-555.3719	171.8183	0.1976448	2.005675
1434	-374.8819	-547.081	172.1991	0.1122927	1.805332
