Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-1020.956	-1188.674	167.7181	0.125511	1.023977	0.8772174	1.016441	2.897915
6	-1012.638	-1180.211	167.5729	0.1281986	1.023977	1.064702	0.9763707	2.895194
12	-1015.654	-1183.787	168.1331	0.2300282	0.9629828	0.8719551	1.014796	2.622012
18	-1013.142	-1180.217	167.0747	0.2994918	1.268203	1.288007	0.8036411	2.917686
24	-1005.7	-1172.907	167.207	0.36289	1.308407	0.8633859	0.8909355	2.97737
30	-1007.191	-1175.08	167.8887	0.1659725	0.6968398	1.034542	0.8364622	2.97737
36	-1014.052	-1181.313	167.2608	0.03367676	0.946213	1.546421	0.7438274	3.045828
42	-999.01	-1166.591	167.5807	0.0105021	1.032557	0.8176666	0.9128666	3.141221
48	-1006.821	-1173.875	167.0537	0.04704033	1.046191	1.147534	0.8405817	3.27214
54	-1016.17	-1182.741	166.5714	0.062219	1.462444	1.147863	0.9011862	3.27214
60	-1017.864	-1185.124	167.2594	0.06609272	1.124322	1.190508	0.8079839	3.086684
66	-1013.184	-1180.132	166.9488	0.3236219	1.060051	1.07901	0.8495138	3.197433
72	-1014.157	-1181.424	167.2669	0.2844251	0.9785278	1.040866	0.8064088	3.128421
78	-1006.165	-1173.57	167.4053	0.1827185	1.02156	1.023483	0.7492815	3.125306
84	-1007.211	-1173.994	166.7828	0.260503	1.818703	1.023483	0.9197435	2.896749
90	-1007.528	-1174.751	167.2233	0.2948547	1.203741	0.8550132	0.8859077	3.077609
96	-1017.127	-1183.89	166.7639	0.4705359	1.296494	1.162294	0.8867877	3.009424
102	-1019.268	-1186.26	166.9914	0.2096212	1.259749	1.162294	0.9559817	3.009424
108	-1027.456	-1194.537	167.0808	0.3145171	1.259749	1.046533	0.9945748	2.938698
114	-1019.935	-1187.41	167.4751	0.1057484	1.299723	1.013726	0.8611674	2.903552
120	-1042.413	-1209.83	167.4176	0.7697989	0.9674127	0.9966902	1.246121	2.507554
126	-1020.833	-1188.414	167.5802	0.06037025	1.064466	0.6530659	0.9750645	3.147637
132	-1023.673	-1190.847	167.174	0.1712223	0.8703994	0.9204051	0.9470362	3.302222
138	-1022.8	-1190.393	167.5934	0.4139303	0.9731653	1.034351	0.9470362	2.776326
144	-1024.601	-1192.12	167.5193	0.1996055	1.388999	1.18834	1.117716	2.50189
150	-1009.877	-1177.14	167.2627	0.1639928	1.335552	0.981955	1.135958	2.828711
156	-1013.099	-1180.395	167.2965	0.1688782	1.332517	1.174424	1.135958	2.689768
162	-1014.472	-1182.198	167.7257	0.3271993	0.926698	0.9552356	1.168426	2.689768
168	-1021.961	-1189.946	167.985	0.4628072	0.6787661	0.9491511	1.012273	2.693777
174	-1010.641	-1178.75	168.1085	0.2432889	0.8542773	0.8775106	1.012273	2.693777
180	-1024.855	-1192.313	167.458	0.3418272	0.7805237	0.7817909	0.7998092	3.253195
186	-1019.651	-1186.931	167.2795	0.1888109	1.027747	1.308653	1.1429	2.787157
192	-1017.667	-1185.85	168.1827	0.04174837	0.8703599	0.9806955	0.9653375	2.727828
