Iteration	Posterior	Likelihood	Prior	part_rate_trans	tree_length
0	-96.12612	-266.9094	170.7833	2.070986	1.410467
6	-90.07143	-261.0296	170.9582	2.070986	1.270934
12	-99.4573	-269.4181	169.9608	3.358192	1.012179
18	-92.7599	-263.1678	170.4079	3.028336	0.8883235
24	-88.11631	-258.7541	170.6377	2.949243	0.6774014
30	-86.47688	-257.0383	170.5615	2.573203	1.181857
36	-90.85882	-262.6485	171.7897	1.344974	1.181857
42	-77.44292	-248.5347	171.0918	2.042847	1.181857
48	-92.89138	-264.3344	171.443	1.853573	1.034104
54	-95.85927	-266.1738	170.3146	2.580082	1.37899
60	-93.00521	-264.1444	171.1392	1.596504	1.500758
66	-92.9998	-264.4237	171.4239	1.441964	1.401475
72	-84.14076	-255.5362	171.3954	1.65344	1.254654
78	-88.19364	-259.5937	171.4	1.903904	1.02698
84	-85.61353	-257.0386	171.4251	1.784342	1.115664
90	-86.28483	-256.4809	170.196	2.673967	1.398258
96	-102.2178	-273.5412	171.3234	1.695918	1.279017
102	-83.40293	-254.6902	171.2873	1.465122	1.488219
108	-95.39798	-266.2933	170.8953	1.928714	1.433791
114	-95.8154	-266.2096	170.3942	2.301703	1.530451
120	-97.48064	-267.7093	170.2286	2.693548	1.357296
126	-102.9041	-273.4184	170.5143	2.807185	1.009768
132	-97.02938	-267.4707	170.4413	2.807185	1.079794
138	-101.229	-271.3184	170.0894	2.660137	1.490358
144	-92.0381	-262.8168	170.7787	1.642019	1.72907
150	-100.8906	-272.5127	171.622	1.723879	0.9852445
156	-101.806	-272.4739	170.6679	2.299608	1.321105
162	-102.5364	-273.444	170.9076	2.405997	1.017532
168	-105.9101	-276.6703	170.7602	2.405997	1.154275
174	-95.7292	-267.1841	171.4549	1.953912	0.9189864
180	-88.76968	-259.8668	171.0971	2.03789	1.181583
186	-92.4841	-263.9628	171.4787	1.173022	1.563128
192	-81.47437	-252.7789	171.3046	1.902437	1.117845
198	-85.86748	-256.7028	170.8353	2.25173	1.222618
204	-86.6174	-257.1637	170.5463	2.883622	0.8955045
210	-110.1469	-280.2507	170.1038	3.17215	1.053967
216	-108.3822	-279.1944	170.8122	2.169046	1.310075
222	-99.86714	-271.2431	171.376	1.643566	1.278872
228	-100.8768	-271.5907	170.7138	2.017856	1.503779
234	-99.11796	-270.0736	170.9557	2.300936	1.072179
240	-103.8102	-273.8503	170.0401	1.007223	2.624424
246	-98.85442	-269.6397	170.7853	1.007223	2.152769
252	-99.91641	-270.7256	170.8091	1.234465	1.987202
258	-88.51953	-259.4327	170.9132	2.045314	1.328349
264	-85.33418	-256.1217	170.7875	1.865977	1.561819
270	-105.2802	-275.6377	170.3574	2.296063	1.561819
276	-93.55228	-264.4257	170.8734	2.296063	1.151385
282	-94.78377	-265.4085	170.6247	2.820293	0.8781819
288	-101.1495	-271.211	170.0615	3.314273	0.954413
294	-90.30487	-260.0023	169.6975	3.760261	0.8632501
300	-91.1279	-261.3119	170.184	3.211528	0.9334567
306	-94.73619	-264.9965	170.2603	3.240688	0.8094089
312	-90.28037	-260.9916	170.7112	1.883292	1.604919
318	-92.87249	-261.9192	169.0467	4.351429	0.9306242
324	-95.93915	-264.9276	168.9884	4.351429	0.991409
330	-88.27191	-258.288	170.0161	3.488727	0.8044142
336	-95.50858	-266.1995	170.691	2.827283	0.7863153
342	-94.84177	-265.175	170.3332	2.608728	1.34158
348	-83.62684	-254.3762	170.7493	2.192629	1.34158
354	-84.86318	-255.6882	170.825	2.192629	1.280406
360	-91.07319	-261.8176	170.7444	2.273223	1.280406
366	-93.1231	-262.2876	169.1645	4.462116	0.5798437
372	-98.23907	-268.1498	169.9107	3.319187	1.096958
378	-88.21441	-258.9943	170.7798	2.45006	1.096958
384	-81.48439	-252.1008	170.6164	2.417174	1.267324
390	-81.18474	-252.2997	171.1149	1.914756	1.270509
396	-81.02332	-252.3938	171.3705	1.967088	0.9936445
402	-97.85407	-268.7	170.846	2.190211	1.26516
408	-92.79137	-263.7366	170.9452	2.084608	1.27041
414	-91.1868	-261.8448	170.658	2.442028	1.211603
420	-95.76948	-266.8502	171.0808	2.304534	0.9443879
426	-90.72687	-261.78	171.0531	2.391479	0.8786403
432	-93.18227	-263.852	170.6697	2.643372	1.018011
438	-89.78323	-260.9188	171.1356	1.331222	1.696545
444	-86.08733	-257.87	171.7827	1.580175	0.9679159
450	-97.06186	-268.2981	171.2362	1.269434	1.668881
456	-93.16286	-264.1037	170.9408	1.121115	1.974936
462	-90.99311	-262.3625	171.3694	1.61968	1.303694
468	-80.00164	-251.7055	171.7038	1.285275	1.303694
474	-82.91803	-254.4557	171.5377	1.333796	1.397087
480	-93.55981	-263.7503	170.1905	1.725416	2.071921
486	-87.62625	-258.878	171.2517	1.55838	1.444469
492	-88.20892	-258.6704	170.4614	1.721829	1.893126
498	-107.5023	-278.358	170.8558	1.327508	1.893126
504	-98.03587	-268.6703	170.6345	1.046788	2.224869
510	-85.09748	-255.384	170.2865	1.394695	2.224869
516	-86.75293	-256.8288	170.0759	2.564896	1.571143
522	-88.2179	-258.9857	170.7678	2.642629	0.9172113
528	-90.82093	-261.5887	170.7678	2.642629	0.9172113
534	-97.42535	-268.2284	170.8031	1.541962	1.781987
540	-103.4025	-274.1452	170.7427	2.472139	1.110743
546	-97.77584	-268.318	170.5422	2.337656	1.390565
552	-105.378	-275.9237	170.5457	2.334131	1.390565
558	-97.02396	-267.8371	170.8131	2.252902	1.240314
564	-85.15137	-255.8179	170.6665	2.399477	1.240314
570	-84.65711	-255.8304	171.1733	2.240055	0.9140469
576	-88.29098	-259.1715	170.8805	2.284914	1.154965
582	-92.23284	-262.6493	170.4164	2.829332	1.082301
588	-82.15705	-252.9598	170.8028	2.515355	1.013064
594	-81.74566	-251.1445	169.3989	4.233681	0.55471
600	-80.64207	-250.6665	170.0244	3.52805	0.736483
606	-76.90706	-247.7425	170.8355	2.541718	0.9529357
612	-82.56781	-253.3054	170.7376	2.023359	1.481771
618	-77.28289	-248.7979	171.5151	1.786965	1.028853
624	-77.54634	-248.2471	170.7008	2.257425	1.328585
630	-83.01173	-253.817	170.8053	2.177164	1.309064
636	-93.71728	-264.3128	170.5955	2.719693	1.015986
642	-91.32593	-261.559	170.2331	2.719693	1.332964
648	-75.81962	-247.0742	171.2546	1.922718	1.144425
654	-77.317	-248.7961	171.4791	1.387776	1.400685
660	-88.75677	-259.7684	171.0117	0.907801	2.069579
666	-88.50396	-259.3397	170.8357	1.083726	2.069579
672	-93.39513	-263.8098	170.4146	2.015482	1.722462
678	-95.45278	-265.8174	170.3647	1.565358	2.062621
