Iteration	Posterior	Likelihood	Prior	tree_length
0	-1427.573	-1595.081	167.5084	4.683454
6	-1431.857	-1599.464	167.6069	4.628308
12	-1441.848	-1608.993	167.145	4.886388
18	-1430.764	-1598.694	167.9297	4.446867
24	-1442.627	-1609.514	166.8874	5.029618
30	-1442.417	-1610.139	167.7222	4.563606
36	-1434.779	-1602.076	167.2974	4.801379
42	-1451.399	-1618.004	166.6047	5.186324
48	-1443.168	-1610.293	167.1258	4.897085
54	-1438.978	-1605.74	166.7619	5.099218
60	-1426.334	-1593.335	167.0011	4.966428
66	-1436.943	-1604.282	167.339	4.778195
72	-1435.01	-1601.853	166.8429	5.054292
78	-1435.243	-1601.488	166.2459	5.384468
84	-1419.333	-1585.86	166.5277	5.228873
90	-1421.231	-1587.879	166.6482	5.162214
96	-1427.892	-1594.172	166.2794	5.36596
102	-1429.093	-1595.644	166.5505	5.216267
108	-1436.419	-1602.969	166.5505	5.216267
114	-1448.041	-1615.296	167.2549	4.825121
120	-1435.764	-1603.59	167.8256	4.505467
126	-1436.539	-1604.182	167.6438	4.607577
132	-1433.268	-1599.895	166.6272	5.173845
138	-1436.398	-1604.075	167.6769	4.589027
144	-1440.647	-1608.505	167.8582	4.487124
150	-1428.861	-1596.77	167.9089	4.458584
156	-1424.295	-1591.362	167.0668	4.929916
162	-1426.913	-1594.362	167.4493	4.716545
168	-1437.862	-1605.311	167.4493	4.716545
174	-1450.164	-1617.408	167.244	4.831206
180	-1448.159	-1616.157	167.9984	4.408189
186	-1436.062	-1603.5	167.4378	4.722979
192	-1431.182	-1598.518	167.336	4.779819
198	-1438.034	-1605.176	167.1419	4.888065
204	-1433.563	-1601.13	167.5671	4.65061
210	-1435.395	-1603.167	167.7718	4.535743
216	-1438	-1605.106	167.1064	4.907847
222	-1442.776	-1610.301	167.5257	4.673795
228	-1432.724	-1600.309	167.585	4.640561
234	-1436.683	-1603.615	166.932	5.00482
240	-1453	-1620.175	167.1749	4.869702
246	-1445.014	-1612.129	167.1157	4.902681
252	-1435.622	-1602.088	166.4658	5.263099
258	-1454.369	-1622.051	167.6822	4.586067
264	-1431.257	-1598.939	167.6822	4.586067
270	-1433.321	-1599.475	166.1537	5.435224
276	-1441.646	-1608.28	166.6338	5.170173
282	-1444.367	-1612.027	167.6608	4.598062
288	-1443.493	-1610.645	167.1523	4.88229
294	-1432.723	-1599.941	167.2178	4.845794
300	-1439.285	-1606.945	167.6594	4.59882
306	-1446.617	-1612.957	166.3395	5.332819
312	-1437.112	-1604.598	167.4853	4.696368
318	-1444.188	-1611.298	167.1104	4.905637
324	-1452.633	-1620.281	167.6485	4.604981
330	-1449.497	-1616.9	167.4027	4.742564
336	-1449.521	-1617.331	167.8102	4.514141
