Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	part_rate_trans	tree_length
0	-3077.039	-3243.644	166.6058	0.06979079	0.9323978	0.8392389	4.200109
6	-3075.743	-3240.131	164.3882	0.05421745	0.9510443	0.9263702	5.388381
12	-3071.824	-3235.5	163.6757	0.04997541	0.9895443	1.053412	5.691339
18	-3074.266	-3238.816	164.5507	0.05059345	0.9936422	1.190679	5.130998
24	-3084.437	-3250.113	165.6764	0.05488719	0.7907034	1.185096	4.616438
30	-3075.734	-3240.45	164.7157	0.05488719	1.02395	0.9951164	5.128767
36	-3063.579	-3228.51	164.9313	0.05562089	0.9236473	1.047646	5.035257
42	-3057.791	-3222.928	165.1366	0.05744764	0.9721484	1.051222	4.891172
48	-3067.611	-3233.58	165.9689	0.05797888	0.8557302	1.123387	4.449238
54	-3080.76	-3247.614	166.8535	0.05797888	0.8956287	1.123387	3.924403
60	-3069.465	-3236.455	166.9904	0.06234987	1.023093	1.120828	3.77156
66	-3070.847	-3237.89	167.0427	0.06403261	0.9600049	1.103666	3.786736
72	-3079.863	-3247.317	167.4541	0.06403261	0.8087591	0.9996174	3.695762
78	-3074.044	-3240.232	166.1882	0.06403261	0.9273458	1.083492	4.304438
84	-3085.157	-3252.323	167.1657	0.06862583	0.8491525	0.8768209	3.907078
90	-3065.287	-3232.528	167.2412	0.06467317	0.8491525	0.9654002	3.815106
96	-3068.238	-3235.15	166.9115	0.06271791	0.9927652	1.112533	3.839035
102	-3068.795	-3235.3	166.5048	0.06072424	1.017817	1.112533	4.05864
108	-3070.762	-3237.875	167.1128	0.06197479	0.8725114	1.088679	3.806322
114	-3070.252	-3237.545	167.2932	0.06781252	0.8001033	1.053575	3.760205
120	-3077.841	-3244.732	166.8914	0.06258274	0.9800724	1.002047	3.921315
126	-3077.32	-3243.994	166.6746	0.06258274	0.8128791	1.099525	4.084219
132	-3070.085	-3236.228	166.143	0.06159443	1.068321	1.099525	4.242553
138	-3078.682	-3245.202	166.5209	0.06022346	0.8266503	0.9635798	4.242553
144	-3075.424	-3241.618	166.1933	0.0581495	1.040886	1.038515	4.266077
150	-3087.474	-3254.283	166.8081	0.06031921	0.7347876	1.049983	4.080404
156	-3088.284	-3254.409	166.1256	0.0600657	0.9876834	1.049983	4.326956
162	-3067.941	-3234.295	166.354	0.06404131	0.857255	0.9474523	4.326956
168	-3085.25	-3252.56	167.31	0.06991218	0.7699656	1.036717	3.77578
174	-3085.556	-3252.402	166.8464	0.06636053	0.7567887	1.024103	4.057986
180	-3083.54	-3250.578	167.0385	0.06636053	0.7210216	0.9645446	4.001641
186	-3089.184	-3256.406	167.2227	0.06614053	0.7938688	1.046031	3.80958
192	-3088.688	-3256.024	167.3359	0.06668334	0.8107112	1.085435	3.711865
198	-3091.248	-3258.505	167.257	0.06649398	0.7678188	1.032884	3.811678
204	-3081.396	-3248.61	167.2142	0.06480434	0.8591505	1.035582	3.784488
210	-3084.5	-3251.147	166.6463	0.06412182	0.8105021	1.001314	4.156689
216	-3083.027	-3250.016	166.9896	0.06084879	0.7784257	1.168701	3.884687
222	-3078.234	-3244.797	166.5632	0.06084879	0.7784257	1.093636	4.170978
228	-3090.237	-3256.789	166.5522	0.06167436	0.9205292	0.964023	4.170978
234	-3090.973	-3257.291	166.3177	0.06329939	0.9628783	1.10811	4.197387
240	-3090.288	-3256.222	165.9338	0.06024311	0.843522	1.057415	4.511612
246	-3081.075	-3247.889	166.8144	0.06024311	0.9381416	1.234579	3.857503
252	-3088.757	-3255.729	166.9724	0.06560228	0.8676626	1.076365	3.89473
258	-3090.399	-3257.856	167.4568	0.06463185	0.8394458	1.209511	3.554663
