Iteration	Posterior	Likelihood	Prior	acrv_sd	gain_loss_neo	gain_loss_trans	part_rate_trans	root_freq_neo[1]	root_freq_neo[2]	root_freq_trans[1]	root_freq_trans[2]	tree_length
0	-636.5036	-800.2316	163.728	0.1646436	0.7278085	0.9849851	1.198554	0.567525	0.432475	0.626138	0.373862	4.683735
6	-646.7654	-810.8826	164.1173	0.2386111	0.60598	0.8467713	1.131018	0.595227	0.404773	0.61623	0.38377	4.602007
12	-634.4256	-798.6489	164.2233	0.4836431	0.4672627	0.9949268	1.076503	0.517244	0.482756	0.459536	0.540464	4.382376
18	-621.0763	-785.1766	164.1003	0.2251876	0.8561243	1.006134	1.210074	0.691857	0.308143	0.587886	0.412114	4.382376
24	-647.8541	-811.6938	163.8397	0.3039046	0.7962768	0.8173954	1.124051	0.517315	0.482685	0.706534	0.293466	4.670608
30	-641.5703	-805.5467	163.9765	0.08170818	0.8287447	0.7783028	1.124051	0.484882	0.515118	0.531671	0.468329	4.670608
36	-623.4427	-788.1183	164.6756	0.02120328	0.7540241	0.9710646	1.079309	0.484882	0.515118	0.467749	0.532251	4.269826
42	-628.8281	-793.427	164.599	0.002569524	0.7540241	0.7606627	0.9155358	0.654027	0.345973	0.300791	0.699209	4.607909
48	-637.7397	-802.0085	164.2688	0.007274717	0.7947034	0.7013633	1.164982	0.511094	0.488906	0.644242	0.355758	4.607909
54	-634.9629	-799.536	164.5732	0.01124727	0.5233502	1.042768	1.046076	0.656653	0.343347	0.613117	0.386883	4.464471
60	-626.4264	-791.1007	164.6743	0.005501069	0.7358279	1.012955	1.031597	0.653481	0.346519	0.529697	0.470303	4.320041
66	-626.8183	-791.5568	164.7385	0.1787058	0.735898	1.004335	1.031597	0.68493	0.31507	0.535534	0.464466	4.204487
72	-634.8008	-799.6909	164.89	0.2896385	0.5563085	0.7621213	1.260858	0.735612	0.264388	0.54029	0.45971	4.178889
78	-642.4021	-806.8893	164.4872	0.5294725	0.5135426	1.046001	1.355948	0.487595	0.512405	0.545199	0.454801	4.003853
84	-631.1982	-795.8741	164.6758	0.06632858	0.7953322	0.795831	1.238704	0.683099	0.316901	0.570151	0.429849	4.274521
90	-644.8031	-809.2568	164.4537	0.2080331	0.6129266	1.209736	1.062613	0.580834	0.419166	0.537522	0.462478	4.244387
96	-631.9569	-796.7496	164.7927	0.1143493	0.9240452	0.8580581	1.156474	0.603941	0.396059	0.415388	0.584612	4.095176
102	-645.2331	-810.4342	165.2011	0.05576611	0.565001	0.8445203	1.156474	0.366191	0.633809	0.543755	0.456245	4.095176
108	-640.3053	-805.2439	164.9386	0.08615493	0.5526447	0.9618406	1.389659	0.499159	0.500841	0.461673	0.538327	4.011659
114	-639.9484	-804.2579	164.3095	0.3931958	0.8443352	0.787457	1.293038	0.719751	0.280249	0.616396	0.383604	4.273748
120	-645.6886	-810.9241	165.2356	0.1675045	0.7615924	0.8048029	1.294185	0.583789	0.416211	0.340325	0.659675	3.871775
126	-641.5788	-806.9211	165.3423	0.3188585	0.6489782	0.8162503	1.354224	0.423173	0.576827	0.557476	0.442524	3.713375
132	-633.7471	-798.4959	164.7488	0.2013721	0.7056693	0.8162503	1.268323	0.669652	0.330348	0.45002	0.54998	4.167764
138	-638.2026	-802.6094	164.4068	0.1360124	0.7170421	0.7787535	1.00022	0.584981	0.415019	0.424226	0.575774	4.541385
144	-644.739	-806.4249	161.686	0.3965619	1.011803	1.089188	0.8716822	0.661334	0.338666	0.639155	0.360845	5.684051
150	-641.6186	-804.0339	162.4153	0.2784998	0.7217139	0.7807506	0.9788347	0.654709	0.345291	0.58668	0.41332	5.597664
156	-634.7436	-799.0135	164.2699	0.3759416	0.6423819	0.8366195	0.9264077	0.506628	0.493372	0.462635	0.537365	4.518023
162	-630.0643	-794.0875	164.0232	0.2988929	0.8493174	0.8366195	1.057064	0.50524	0.49476	0.571943	0.428057	4.521442
168	-628.5557	-793.6333	165.0776	0.07721621	0.6719058	0.8011822	1.188786	0.623616	0.376384	0.499239	0.500761	4.102779
174	-629.1338	-794.4073	165.2735	0.2100572	0.5899005	0.6467309	1.083718	0.632253	0.367747	0.551188	0.448812	4.102779
