Iteration	Posterior	Likelihood	Prior	gain_loss_neo	part_rate_trans	site_rates_raw[1]	site_rates_raw[2]	site_rates_raw[3]	site_rates_raw[4]	tree_length
0	-1447.194	-1610.391	163.1971	0.8962818	1.303628	1.483691	2.193058	1.643204	1.136886	3.26694
6	-1434.381	-1597.2	162.8192	1.262451	0.8905183	1.78167	1.957835	1.643204	0.9137177	3.610865
12	-1423.057	-1585.97	162.9126	1.090152	0.980072	1.903339	2.009143	1.131806	1.040947	3.725683
18	-1430.408	-1592.317	161.9084	1.090152	0.9967855	1.827075	2.730559	1.640072	1.048063	3.625567
24	-1417.92	-1580.648	162.7278	0.7968083	1.230464	1.827075	1.175116	1.640072	1.368294	3.89862
30	-1427.797	-1590.105	162.3077	0.9964818	1.255874	1.510644	1.919121	1.640072	1.187327	3.87006
36	-1434.72	-1595.001	160.2813	1.121465	1.090133	1.510644	1.629677	1.640072	2.629522	4.390497
42	-1441.088	-1602.212	161.1247	1.094271	1.048157	1.510644	1.725667	1.687353	1.215047	4.669762
48	-1423.85	-1584.451	160.6008	0.9908485	1.229302	1.510644	1.202253	1.692877	2.583552	4.4425
54	-1429.665	-1591.335	161.67	1.09684	1.205627	1.441232	1.548981	1.214415	1.609999	4.455681
60	-1435.803	-1598.71	162.9071	0.9915602	1.206593	1.034405	1.180686	1.523151	0.9433926	4.455681
66	-1429.374	-1590.717	161.3433	1.060313	1.206593	1.034405	1.6674	1.523151	1.520348	4.697852
72	-1428.75	-1590.208	161.458	1.132048	1.062841	1.460478	1.329965	1.182015	1.707224	4.710847
78	-1438.555	-1600.3	161.7451	1.049517	1.062841	1.319561	1.329965	1.182015	1.723777	4.665831
84	-1429.348	-1590.868	161.5202	0.9341374	1.062841	1.319561	1.340324	1.576142	1.729554	4.626527
90	-1430.261	-1592.627	162.3661	0.7586296	1.061245	1.319561	1.411762	1.33661	1.577841	4.428579
96	-1438.821	-1602.672	163.8507	0.863703	1.13372	0.8407109	1.111412	0.9075654	1.548111	4.190227
102	-1434.667	-1597.242	162.5753	1.184348	1.024737	0.8407109	1.167227	1.60288	1.762112	4.246904
108	-1428.68	-1591.657	162.9768	0.8451634	1.596201	0.9735097	1.432863	1.276793	1.05442	4.246904
114	-1428.538	-1591.315	162.7768	0.987609	1.275524	1.00064	1.807876	1.072494	1.051525	4.351022
120	-1421.263	-1585.668	164.4052	0.9497223	0.9744857	1.161206	0.9390041	0.6688103	1.115133	4.214525
126	-1433.085	-1598.963	165.8776	1.00616	1.059272	0.8988075	1.159529	0.575495	0.8406815	3.522945
132	-1436.506	-1602.643	166.1368	0.8881101	1.086774	0.8988075	1.032339	0.5240653	0.9940184	3.43908
138	-1437.248	-1601.783	164.5343	1.03594	0.9703416	0.7237864	1.026129	0.6633841	0.9212534	4.40599
144	-1426.327	-1592.238	165.9111	1.023951	1.128243	0.8117924	0.9063179	0.5309615	0.7044397	3.755201
150	-1415.28	-1581.89	166.6097	0.9296508	1.120204	0.8117924	0.7588169	0.5309615	0.7470692	3.47
156	-1425.661	-1591.448	165.7874	0.9296508	1.262754	0.8117924	1.083314	0.6283606	0.7451163	3.621215
162	-1428.539	-1595.166	166.6268	1.019738	1.242949	0.7224343	0.6339549	0.6283606	0.3742474	3.621215
168	-1418.153	-1583.786	165.6327	1.086986	1.094681	0.330509	0.5800047	0.469638	0.4809115	4.518463
174	-1425.576	-1589.495	163.9193	1.117288	1.050828	0.330509	0.5800047	0.469638	0.3932773	5.526499
180	-1428.819	-1597.135	168.3164	1.178753	1.020019	0.04621514	1.500363	0.001141778	2.725673	1.362992
186	-1421.965	-1592.339	170.3747	1.064688	1.076804	0.00293169	1.130004	0.003718178	1.031492	1.443436
192	-1418.911	-1583.159	164.2477	0.9005921	1.015928	0.3620923	0.5188198	0.3856404	0.3657452	5.561652
198	-1415.921	-1581.133	165.2117	1.056668	0.972761	0.3620923	0.6465096	0.3755249	0.4509977	4.853819
204	-1428.506	-1593.852	165.3456	0.9808349	1.131231	0.6457324	0.7073	0.4734016	0.4509977	4.484871
210	-1415.244	-1579.68	164.4362	1.242224	1.028115	0.5599598	0.4383627	0.4734016	0.4782925	5.088145
216	-1413.161	-1577.782	164.6212	1.000189	0.915538	0.3576808	0.4236408	0.4734016	0.440537	5.321888
222	-1418.645	-1584.185	165.5394	1.05129	1.051714	0.3576808	0.508911	0.4734016	0.4665879	4.645509
228	-1424.27	-1590.536	166.2661	0.6526689	0.9720698	0.5001933	0.5143497	0.6509367	0.5021003	4.295852
234	-1431.201	-1596.882	165.6814	0.8670847	1.126839	0.5198881	0.7855217	0.6509367	0.7003276	4.146987
240	-1418.132	-1583.376	165.244	1.220099	0.8963953	0.5198881	0.9789953	0.6509367	0.4770355	4.343398
246	-1420.576	-1585.216	164.64	1.173307	0.8825818	0.5198881	0.8906912	0.6509367	0.7354436	4.621319
252	-1424.055	-1588.49	164.4349	1.173307	0.919831	0.5075591	0.5297659	0.531243	0.4200591	5.165013
258	-1433.276	-1597.91	164.6343	1.150903	0.919831	0.5668935	0.4351692	0.4779967	0.4985968	5.07237
264	-1436.609	-1602.505	165.8965	1.205803	1.231289	0.5668935	0.3306155	0.4857594	0.5482628	4.1859
270	-1415.795	-1580.622	164.8269	1.289078	1.012771	0.5242764	0.6889117	0.5231228	0.6316676	4.620408
276	-1416.777	-1581.609	164.8326	1.015594	1.012771	1.048817	0.5728005	0.8039678	0.7373221	4.321945
282	-1416.902	-1582.48	165.5782	1.074795	0.8120713	0.948429	0.5051359	0.8039678	0.5209465	4.197576
288	-1420.444	-1584.873	164.4288	0.9588607	0.8935837	0.948429	0.6595572	0.8039678	0.6883899	4.683269
294	-1423.64	-1587.083	163.4426	1.315373	1.113184	0.9261547	0.9728437	0.8039678	0.8455348	4.664007
300	-1416.977	-1580.713	163.7358	1.14735	0.9503166	0.7477685	0.7572811	0.8261504	0.6716617	4.987602
306	-1422.776	-1587.521	164.7455	1.205732	0.9397975	0.7477685	0.5084435	0.6750449	0.6386655	4.639434
312	-1427.92	-1592.917	164.9967	1.138788	0.8496207	0.7477685	0.5481446	0.9117274	0.5479534	4.481925
318	-1420.826	-1584.082	163.2552	1.138788	1.031123	0.7477685	0.9330688	0.6903857	0.7650856	5.140067
324	-1425.658	-1588.808	163.1503	1.035307	0.9974196	0.7477685	0.9093606	0.6645073	0.6368876	5.371856
330	-1419.172	-1583.211	164.039	0.9905411	0.9996079	0.7477685	0.4784563	0.6645073	0.4490429	5.246345
336	-1420.558	-1585.089	164.5305	0.9905411	1.00882	0.7347099	0.5369557	0.6645073	0.6117334	4.852964
342	-1421.103	-1586.148	165.0441	0.9106995	1.135895	0.6592135	0.463996	0.6645073	0.6582479	4.596251
348	-1429.08	-1594.028	164.9477	0.8953329	1.092841	0.6592135	0.6036594	0.6645073	0.6480592	4.610456
354	-1427.651	-1592.248	164.5975	0.8953329	1.130284	0.6592135	0.6080121	0.6645073	0.447055	4.89512
360	-1434.526	-1601.012	166.4856	1.034709	0.9173972	0.0002316354	1.492741	0.008393705	1.59414	3.45541
366	-1435.107	-1602.478	167.3704	1.112212	0.8861182	0.0004533909	1.437338	0.02543458	1.59414	2.925919
372	-1424.744	-1593.15	168.406	0.877262	0.9009679	0.000179059	0.9812022	0.004877471	0.9299573	3.120691
378	-1441.748	-1609.982	168.2341	0.9527924	1.05537	0.0009927278	0.7527752	0.01255891	0.8442669	3.267666
384	-1433.777	-1600.697	166.9204	1.180941	1.132168	0.0002032469	1.320105	0.02731172	1.340826	3.227287
