Iteration	Posterior	Likelihood	Prior	alpha	gain_loss_neo	gain_loss_trans	part_rate_trans	tree_length
0	-225.3819	-391.2073	165.8254	1.974681	0.4963757	0.998383	2.013048	2.53326
6	-230.0715	-394.6527	164.5811	2.379012	0.9649315	1.215403	2.06203	2.62948
12	-238.3407	-404.5742	166.2335	1.870097	0.9366239	1.172976	1.807223	2.110188
18	-228.5543	-393.8452	165.2909	1.949298	0.6222221	1.172976	2.68433	2.294528
24	-244.9747	-409.9572	164.9825	2.217246	0.8874866	0.9310264	3.161701	2.004143
30	-237.4957	-402.6324	165.1368	0.8317303	2.665568	0.9718757	3.047621	1.822219
36	-242.4986	-410.5379	168.0393	0.4912095	0.6397717	1.199809	1.930922	1.914878
42	-246.4057	-408.4599	162.0542	5.677938	0.3076293	1.34214	2.648338	1.968275
48	-253.5811	-418.8116	165.2305	2.192273	0.8567897	1.147325	2.938326	1.879524
54	-232.6054	-395.6164	163.011	3.3654	0.8757439	1.207508	2.04516	3.052713
60	-233.3088	-395.741	162.4321	3.942069	0.4307244	1.988095	3.159688	2.142996
66	-226.4161	-389.5979	163.1818	3.959395	0.5411538	1.436859	2.208167	2.535973
72	-235.6552	-401.3215	165.6663	0.986375	1.43993	1.316782	2.095373	2.448336
78	-225.186	-391.5425	166.3564	1.217164	0.8399951	1.627609	2.335709	1.885976
84	-222.3687	-386.1642	163.7955	2.085792	1.447264	1.028879	2.42874	2.888644
90	-226.758	-392.3035	165.5455	1.577033	1.269201	0.4491781	1.396148	3.171035
96	-223.1007	-386.5755	163.4748	2.766681	1.269201	0.7686153	1.40231	3.537357
102	-223.6081	-386.4649	162.8568	3.198186	0.9838957	1.268614	1.738291	3.325876
108	-230.2811	-391.7921	161.511	5.265478	0.6418399	0.7724105	1.836948	3.325876
114	-237.5762	-400.7982	163.222	4.654074	0.5460381	0.5701107	2.12624	2.644896
120	-239.5978	-403.7211	164.1233	0.8309808	2.11773	1.182394	1.14041	3.754047
126	-237.7789	-399.1267	161.3477	2.426382	1.498272	0.7909507	0.6055595	5.246091
132	-227.5377	-391.7484	164.2107	1.69936	1.260876	0.7887461	0.9478096	3.984185
138	-227.055	-389.8143	162.7593	1.689754	1.904916	1.117325	1.363289	4.056034
144	-232.146	-392.0159	159.87	4.038131	1.23143	1.262572	1.022099	4.823247
150	-231.906	-394.9877	163.0817	2.538098	1.51589	1.112137	0.8239586	3.897805
156	-230.3746	-394.8238	164.4491	1.455562	1.00039	1.034548	0.88077	4.033866
162	-241.8639	-404.6262	162.7623	2.129809	1.306271	2.038241	1.326719	3.650448
168	-240.069	-403.8773	163.8083	2.295671	0.5334754	2.253277	2.398601	2.621603
174	-261.7744	-424.4479	162.6735	1.358907	0.7351448	4.106819	2.44897	2.976333
180	-233.0961	-399.3954	166.2993	1.427643	0.7585154	0.84484	2.320572	2.345468
186	-224.2417	-388.2847	164.043	1.737103	0.5713211	1.765255	2.320572	3.098466
192	-225.0647	-389.5422	164.4775	2.322781	1.045987	1.397686	2.544843	2.26435
198	-225.4976	-389.203	163.7054	2.583538	1.002791	0.9896082	2.064908	3.146748
204	-223.1599	-387.6642	164.5043	2.456358	1.449749	0.7523879	1.290501	3.08646
210	-233.6454	-399.6422	165.9968	1.016086	1.205628	0.5291802	0.9206898	3.524486
216	-229.9849	-396.9761	166.9912	1.46371	0.8064398	0.628236	1.318218	2.615207
222	-237.6781	-402.5301	164.852	2.066825	1.587949	0.6502124	1.862114	2.745409
228	-243.193	-409.7982	166.6052	1.006065	1.063039	0.4892306	1.821859	2.730583
234	-234.3465	-398.9624	164.6159	1.97881	0.4825428	1.440888	1.400377	3.372598
240	-230.3697	-397.9746	167.6049	0.6767364	0.4825428	1.243206	1.221294	2.580063
246	-230.3335	-396.8271	166.4936	1.246993	0.608173	1.494989	1.816697	2.338057
252	-218.6435	-383.6811	165.0376	0.941079	0.608173	2.221639	1.162135	3.419412
258	-221.4254	-385.4637	164.0383	3.06792	0.608173	2.228959	1.022977	2.827198
264	-223.0924	-385.7351	162.6428	2.383954	0.608173	1.23094	0.9999349	4.564692
270	-233.4237	-398.2627	164.839	3.161398	0.5822207	0.4835712	1.338426	3.066086
276	-230.2831	-396.1683	165.8852	1.490946	0.5822207	0.8624037	1.637201	3.066086
282	-222.2243	-385.9187	163.6943	2.436691	1.064448	1.164131	1.410766	3.486249
