cell_label,M4,M2,M7,M3,M5,M8 (NT baseline),M11,M10,M6,M9,M1 (Mk baseline),M12
"tree_length=1.5, gain_loss=1, n_char=25",0.584,0.584,0.59,0.582,0.585,0.587,0.549,0.586,0.584,0.587,0.583,0.572
"tree_length=1.5, gain_loss=0.5, n_char=25",0.584,0.584,0.59,0.582,0.583,0.587,0.549,0.586,0.584,0.587,0.583,0.572
"tree_length=1.5, gain_loss=0.25, n_char=25",0.584,0.584,0.59,0.582,0.583,0.587,0.549,0.586,0.584,0.587,0.583,0.572
"tree_length=1.5, gain_loss=0.1, n_char=25",0.584,0.584,0.59,0.582,0.583,0.587,0.549,0.586,0.584,0.587,0.583,0.572
"tree_length=1, gain_loss=0.25, n_char=25",0.543,0.542,0.542,0.543,0.545,0.542,0.531,0.542,0.545,0.543,0.543,0.539
"tree_length=1, gain_loss=0.5, n_char=25",0.543,0.542,0.542,0.543,0.545,0.542,0.531,0.542,0.545,0.543,0.543,0.539
"tree_length=1, gain_loss=1, n_char=25",0.543,0.542,0.542,0.543,0.543,0.542,0.531,0.542,0.545,0.543,0.543,0.539
"tree_length=1, gain_loss=0.1, n_char=25",0.543,0.542,0.542,0.543,0.545,0.542,0.528,0.542,0.545,0.543,0.543,0.539
"tree_length=5, gain_loss=0.1, n_char=25",0.53,0.53,0.529,0.531,0.53,0.531,0.503,0.528,0.528,0.533,0.532,0.527
"tree_length=5, gain_loss=0.25, n_char=25",0.53,0.53,0.529,0.531,0.53,0.531,0.503,0.528,0.528,0.533,0.532,0.526
"tree_length=5, gain_loss=0.5, n_char=25",0.53,0.53,0.529,0.531,0.528,0.531,0.503,0.528,0.528,0.533,0.532,0.527
"tree_length=5, gain_loss=1, n_char=25",0.53,0.53,0.529,0.531,0.528,0.531,0.503,0.528,0.528,0.533,0.532,0.527
"tree_length=2.5, gain_loss=0.1, n_char=25",0.527,0.532,0.532,0.527,0.528,0.53,0.484,0.528,0.531,0.531,0.529,0.517
"tree_length=2.5, gain_loss=0.25, n_char=25",0.527,0.532,0.532,0.527,0.528,0.53,0.484,0.528,0.531,0.531,0.529,0.517
"tree_length=2.5, gain_loss=0.5, n_char=25",0.527,0.532,0.532,0.527,0.525,0.53,0.484,0.528,0.531,0.531,0.529,0.517
"tree_length=2.5, gain_loss=1, n_char=25",0.527,0.532,0.532,0.527,0.525,0.53,0.484,0.528,0.531,0.531,0.529,0.517
"tree_length=1.5, gain_loss=0.5, n_char=50",0.416,0.417,0.42,0.416,0.417,0.418,0.395,0.416,0.415,0.417,0.415,0.411
"tree_length=1.5, gain_loss=0.1, n_char=50",0.416,0.417,0.42,0.416,0.417,0.418,0.395,0.416,0.415,0.417,0.415,0.411
