cell_label,M2,M3,M8 (NT baseline),M7,M1 (Mk baseline),M4,M12,M11,M10,M5,M6,M9
"tree_length=5, gain_loss=0.1, n_char=25",0.68,0.688,0.677,0.682,0.696,0.698,0.692,0.663,0.681,0.694,0.684,0.682
"tree_length=5, gain_loss=0.25, n_char=25",0.617,0.638,0.627,0.626,0.637,0.642,0.631,0.6,0.629,0.648,0.625,0.625
"tree_length=2.5, gain_loss=0.1, n_char=25",0.633,0.63,0.624,0.626,0.617,0.627,0.624,0.6,0.624,0.616,0.627,0.626
"tree_length=1.5, gain_loss=0.25, n_char=25",0.608,0.612,0.618,0.62,0.625,0.616,0.605,0.579,0.618,0.614,0.616,0.62
"tree_length=1.5, gain_loss=0.1, n_char=25",0.572,0.588,0.591,0.595,0.578,0.572,0.569,0.542,0.586,0.587,0.57,0.593
"tree_length=2.5, gain_loss=0.25, n_char=25",0.582,0.589,0.579,0.579,0.569,0.584,0.578,0.561,0.572,0.583,0.576,0.576
"tree_length=1, gain_loss=0.5, n_char=25",0.579,0.58,0.583,0.583,0.575,0.581,0.568,0.546,0.582,0.58,0.584,0.577
"tree_length=5, gain_loss=0.5, n_char=25",0.577,0.597,0.576,0.573,0.577,0.584,0.53,0.53,0.576,0.583,0.578,0.575
"tree_length=1, gain_loss=1, n_char=25",0.567,0.564,0.573,0.576,0.561,0.562,0.552,0.525,0.569,0.564,0.569,0.575
"tree_length=1, gain_loss=0.25, n_char=25",0.56,0.565,0.561,0.561,0.561,0.561,0.553,0.538,0.561,0.558,0.563,0.544
"tree_length=5, gain_loss=1, n_char=25",0.559,0.565,0.558,0.554,0.568,0.567,0.529,0.523,0.551,0.564,0.561,0.559
"tree_length=1.5, gain_loss=0.5, n_char=25",0.553,0.553,0.554,0.555,0.553,0.554,0.541,0.51,0.561,0.554,0.554,0.555
"tree_length=1.5, gain_loss=1, n_char=25",0.54,0.547,0.544,0.545,0.546,0.546,0.533,0.496,0.541,0.549,0.542,0.543
"tree_length=1, gain_loss=0.1, n_char=25",0.541,0.533,0.538,0.541,0.535,0.533,0.539,0.505,0.542,0.532,0.539,0.539
"tree_length=2.5, gain_loss=0.5, n_char=25",0.535,0.538,0.538,0.534,0.537,0.538,0.526,0.514,0.537,0.538,0.535,0.536
"tree_length=5, gain_loss=0.1, n_char=50",0.506,0.546,0.508,0.534,0.543,0.549,0.548,0.514,0.508,0.542,0.497,0.491
"tree_length=2.5, gain_loss=1, n_char=25",0.517,0.534,0.519,0.519,0.535,0.536,0.529,0.511,0.519,0.535,0.52,0.498
"tree_length=5, gain_loss=0.25, n_char=50",0.491,0.498,0.466,0.471,0.501,0.499,0.492,0.499,0.466,0.487,0.485,0.465
"tree_length=1.5, gain_loss=0.1, n_char=50",0.476,0.479,0.481,0.487,0.48,0.481,0.476,0.461,0.481,0.48,0.472,0.488
"tree_length=2.5, gain_loss=0.1, n_char=50",0.46,0.452,0.465,0.463,0.461,0.463,0.454,0.438,0.462,0.451,0.463,0.456
"tree_length=1.5, gain_loss=1, n_char=50",0.459,0.462,0.46,0.46,0.458,0.458,0.447,0.441,0.46,0.46,0.455,0.448
"tree_length=1, gain_loss=0.1, n_char=50",0.462,0.461,0.445,0.445,0.466,0.465,0.46,0.437,0.444,0.45,0.46,0.443
"tree_length=5, gain_loss=1, n_char=50",0.452,0.458,0.455,0.454,0.458,0.458,0.39,0.41,0.451,0.456,0.452,0.425
"tree_length=1.5, gain_loss=0.25, n_char=50",0.44,0.449,0.439,0.439,0.447,0.447,0.443,0.42,0.439,0.444,0.439,0.431
"tree_length=5, gain_loss=0.5, n_char=50",0.424,0.446,0.427,0.435,0.448,0.448,0.423,0.433,0.426,0.445,0.422,0.427
"tree_length=1, gain_loss=0.25, n_char=50",0.422,0.421,0.409,0.413,0.425,0.422,0.418,0.388,0.408,0.417,0.417,0.395
"tree_length=1.5, gain_loss=0.5, n_char=50",0.415,0.416,0.41,0.414,0.414,0.414,0.41,0.381,0.408,0.418,0.413,0.413
"tree_length=1, gain_loss=0.5, n_char=50",0.407,0.409,0.405,0.408,0.412,0.407,0.404,0.385,0.402,0.408,0.403,0.411
"tree_length=1, gain_loss=1, n_char=50",0.409,0.407,0.406,0.407,0.405,0.404,0.401,0.395,0.407,0.405,0.408,0.401
"tree_length=2.5, gain_loss=1, n_char=50",0.4,0.39,0.394,0.395,0.393,0.39,0.369,0.366,0.395,0.388,0.4,0.382
"tree_length=2.5, gain_loss=0.5, n_char=50",0.387,0.387,0.385,0.387,0.387,0.386,0.387,0.337,0.384,0.39,0.389,0.38
"tree_length=2.5, gain_loss=0.25, n_char=50",0.376,0.387,0.371,0.378,0.392,0.391,0.364,0.355,0.373,0.389,0.381,0.376
"tree_length=5, gain_loss=0.1, n_char=100",0.334,0.347,0.332,0.336,0.351,0.357,0.338,0.317,0.334,0.35,0.338,0.333
"tree_length=2.5, gain_loss=0.1, n_char=100",0.309,0.324,0.302,0.313,0.334,0.34,0.331,0.311,0.302,0.32,0.307,0.298
"tree_length=1, gain_loss=1, n_char=100",0.311,0.32,0.313,0.313,0.32,0.32,0.318,0.304,0.31,0.32,0.313,0.284
"tree_length=1, gain_loss=0.1, n_char=100",0.302,0.294,0.33,0.33,0.297,0.298,0.294,0.271,0.328,0.322,0.306,0.307
"tree_length=2.5, gain_loss=0.25, n_char=100",0.303,0.312,0.304,0.306,0.304,0.31,0.285,0.279,0.304,0.311,0.305,0.275
"tree_length=1, gain_loss=0.25, n_char=100",0.302,0.299,0.301,0.301,0.3,0.299,0.298,0.287,0.3,0.302,0.302,0.303
"tree_length=5, gain_loss=0.25, n_char=100",0.298,0.313,0.296,0.3,0.302,0.299,0.296,0.282,0.297,0.307,0.299,0.304
"tree_length=1.5, gain_loss=0.1, n_char=100",0.301,0.312,0.295,0.296,0.301,0.306,0.311,0.307,0.298,0.296,0.3,0.263
"tree_length=2.5, gain_loss=0.5, n_char=100",0.294,0.31,0.291,0.29,0.313,0.314,0.267,0.275,0.29,0.312,0.297,0.305
"tree_length=5, gain_loss=0.5, n_char=100",0.292,0.3,0.292,0.291,0.293,0.283,0.29,0.259,0.292,0.295,0.295,0.291
"tree_length=1, gain_loss=0.5, n_char=100",0.288,0.287,0.283,0.285,0.288,0.287,0.286,0.278,0.286,0.285,0.283,0.291
"tree_length=1.5, gain_loss=1, n_char=100",0.273,0.287,0.274,0.273,0.285,0.283,0.293,0.263,0.271,0.286,0.272,0.277
"tree_length=5, gain_loss=1, n_char=100",0.264,0.27,0.267,0.268,0.272,0.269,0.259,0.241,0.268,0.269,0.266,0.265
