cell_label,M1 (Mk baseline),M4,M10,M2,M6,M8 (NT baseline),M11,M5,M12,M7,M3,M9
"tree_length=5, gain_loss=0.1, n_char=25",0.665,0.66,0.65,0.656,0.648,0.657,0.647,0.659,0.644,0.66,0.669,0.661
"tree_length=5, gain_loss=0.25, n_char=25",0.622,0.618,0.619,0.621,0.617,0.621,0.589,0.621,0.616,0.62,0.622,0.624
"tree_length=5, gain_loss=0.5, n_char=25",0.609,0.61,0.6,0.591,0.592,0.6,0.566,0.61,0.613,0.599,0.611,0.599
"tree_length=2.5, gain_loss=1, n_char=25",0.595,0.589,0.589,0.595,0.59,0.59,0.555,0.589,0.586,0.591,0.596,0.58
"tree_length=2.5, gain_loss=0.25, n_char=25",0.585,0.589,0.593,0.588,0.592,0.596,0.545,0.596,0.572,0.6,0.584,0.587
"tree_length=5, gain_loss=1, n_char=25",0.601,0.598,0.577,0.579,0.569,0.581,0.568,0.595,0.587,0.589,0.601,0.58
"tree_length=2.5, gain_loss=0.1, n_char=25",0.568,0.57,0.574,0.569,0.571,0.581,0.54,0.578,0.561,0.581,0.57,0.581
"tree_length=1.5, gain_loss=1, n_char=25",0.568,0.565,0.559,0.558,0.557,0.559,0.527,0.57,0.556,0.558,0.568,0.551
"tree_length=1.5, gain_loss=0.1, n_char=25",0.564,0.558,0.559,0.565,0.561,0.558,0.526,0.555,0.557,0.561,0.559,0.56
"tree_length=1.5, gain_loss=0.25, n_char=25",0.552,0.554,0.55,0.552,0.552,0.551,0.503,0.554,0.544,0.551,0.576,0.552
"tree_length=2.5, gain_loss=0.5, n_char=25",0.555,0.55,0.555,0.555,0.552,0.555,0.512,0.553,0.528,0.557,0.555,0.556
"tree_length=1, gain_loss=0.1, n_char=25",0.545,0.546,0.546,0.547,0.547,0.548,0.51,0.546,0.536,0.55,0.547,0.548
"tree_length=1.5, gain_loss=0.5, n_char=25",0.555,0.56,0.543,0.531,0.536,0.538,0.508,0.566,0.544,0.538,0.556,0.535
"tree_length=1, gain_loss=1, n_char=25",0.538,0.549,0.546,0.542,0.551,0.548,0.499,0.542,0.527,0.545,0.536,0.544
"tree_length=1, gain_loss=0.25, n_char=25",0.531,0.531,0.533,0.534,0.534,0.536,0.504,0.532,0.522,0.538,0.534,0.538
"tree_length=1, gain_loss=0.5, n_char=25",0.524,0.525,0.528,0.529,0.53,0.528,0.498,0.525,0.515,0.531,0.525,0.523
"tree_length=5, gain_loss=0.1, n_char=50",0.516,0.536,0.515,0.51,0.517,0.516,0.474,0.54,0.515,0.515,0.509,0.497
"tree_length=5, gain_loss=0.5, n_char=50",0.485,0.471,0.447,0.456,0.452,0.449,0.455,0.474,0.508,0.478,0.49,0.445
"tree_length=1.5, gain_loss=0.1, n_char=50",0.468,0.469,0.46,0.458,0.454,0.464,0.441,0.466,0.463,0.465,0.467,0.457
"tree_length=5, gain_loss=0.25, n_char=50",0.474,0.47,0.449,0.452,0.448,0.45,0.432,0.471,0.446,0.45,0.477,0.445
"tree_length=5, gain_loss=1, n_char=50",0.464,0.459,0.444,0.452,0.44,0.445,0.417,0.455,0.443,0.449,0.466,0.446
"tree_length=1, gain_loss=0.25, n_char=50",0.448,0.447,0.435,0.428,0.425,0.441,0.41,0.456,0.444,0.443,0.452,0.429
"tree_length=1, gain_loss=1, n_char=50",0.439,0.436,0.434,0.435,0.435,0.434,0.423,0.435,0.435,0.434,0.438,0.434
"tree_length=1.5, gain_loss=1, n_char=50",0.446,0.444,0.429,0.438,0.434,0.43,0.421,0.443,0.439,0.429,0.442,0.414
"tree_length=2.5, gain_loss=0.1, n_char=50",0.436,0.438,0.437,0.432,0.436,0.436,0.407,0.432,0.436,0.448,0.43,0.43
"tree_length=1, gain_loss=0.1, n_char=50",0.434,0.435,0.433,0.434,0.436,0.432,0.419,0.432,0.43,0.432,0.434,0.425
