cell_label,M11,M7,M4,M9,M3,M12,M5,M10,M2,M8 (NT baseline),M1 (Mk baseline),M6
"tree_length=5, gain_loss=0.25, n_char=25",0.641,0.666,0.662,0.663,0.666,0.668,0.661,0.661,0.658,0.663,0.662,0.657
"tree_length=5, gain_loss=0.1, n_char=25",0.621,0.651,0.64,0.652,0.649,0.629,0.655,0.651,0.644,0.655,0.661,0.639
"tree_length=1, gain_loss=0.25, n_char=25",0.594,0.612,0.627,0.604,0.626,0.617,0.627,0.608,0.613,0.61,0.626,0.609
"tree_length=5, gain_loss=1, n_char=25",0.618,0.597,0.605,0.598,0.636,0.635,0.607,0.596,0.608,0.595,0.638,0.595
"tree_length=5, gain_loss=0.5, n_char=25",0.589,0.607,0.597,0.609,0.624,0.641,0.606,0.605,0.613,0.605,0.625,0.599
"tree_length=1, gain_loss=0.1, n_char=25",0.571,0.599,0.593,0.599,0.601,0.587,0.594,0.597,0.596,0.597,0.594,0.597
"tree_length=1.5, gain_loss=0.1, n_char=25",0.568,0.586,0.593,0.584,0.595,0.588,0.593,0.58,0.589,0.583,0.593,0.58
"tree_length=2.5, gain_loss=0.25, n_char=25",0.527,0.584,0.577,0.58,0.576,0.559,0.579,0.582,0.574,0.581,0.571,0.579
"tree_length=2.5, gain_loss=0.1, n_char=25",0.545,0.557,0.562,0.557,0.585,0.572,0.556,0.554,0.57,0.554,0.578,0.556
"tree_length=2.5, gain_loss=0.5, n_char=25",0.526,0.571,0.56,0.548,0.562,0.548,0.565,0.566,0.564,0.572,0.566,0.56
"tree_length=1, gain_loss=1, n_char=25",0.529,0.56,0.565,0.557,0.556,0.555,0.563,0.56,0.558,0.559,0.561,0.558
"tree_length=1.5, gain_loss=0.5, n_char=25",0.534,0.555,0.549,0.555,0.564,0.555,0.55,0.556,0.558,0.554,0.565,0.553
"tree_length=2.5, gain_loss=1, n_char=25",0.516,0.544,0.54,0.54,0.56,0.552,0.543,0.54,0.557,0.542,0.56,0.54
"tree_length=1.5, gain_loss=0.25, n_char=25",0.503,0.538,0.532,0.536,0.542,0.534,0.537,0.533,0.538,0.535,0.542,0.53
"tree_length=1, gain_loss=0.5, n_char=25",0.511,0.535,0.534,0.504,0.538,0.528,0.535,0.537,0.533,0.536,0.537,0.531
"tree_length=1.5, gain_loss=1, n_char=25",0.465,0.488,0.486,0.488,0.491,0.487,0.485,0.487,0.49,0.487,0.494,0.486
"tree_length=5, gain_loss=0.1, n_char=50",0.459,0.471,0.483,0.47,0.483,0.542,0.487,0.484,0.475,0.481,0.474,0.479
"tree_length=5, gain_loss=0.5, n_char=50",0.48,0.481,0.477,0.471,0.482,0.484,0.476,0.47,0.471,0.47,0.494,0.471
"tree_length=1.5, gain_loss=1, n_char=50",0.44,0.465,0.47,0.448,0.474,0.46,0.472,0.463,0.465,0.462,0.467,0.461
"tree_length=1.5, gain_loss=0.25, n_char=50",0.424,0.46,0.46,0.446,0.459,0.443,0.46,0.466,0.46,0.467,0.451,0.463
"tree_length=1.5, gain_loss=0.5, n_char=50",0.437,0.447,0.45,0.436,0.462,0.457,0.45,0.444,0.451,0.445,0.463,0.445
"tree_length=2.5, gain_loss=0.1, n_char=50",0.432,0.44,0.453,0.432,0.446,0.451,0.452,0.443,0.445,0.442,0.453,0.444
"tree_length=1, gain_loss=1, n_char=50",0.437,0.436,0.444,0.416,0.463,0.457,0.446,0.436,0.435,0.437,0.463,0.435
"tree_length=5, gain_loss=0.25, n_char=50",0.408,0.437,0.455,0.429,0.45,0.455,0.444,0.437,0.439,0.44,0.447,0.43
"tree_length=1, gain_loss=0.5, n_char=50",0.412,0.428,0.434,0.431,0.436,0.428,0.433,0.428,0.426,0.426,0.435,0.427
"tree_length=5, gain_loss=1, n_char=50",0.38,0.416,0.428,0.416,0.439,0.408,0.431,0.423,0.419,0.425,0.442,0.426
