scenario,model,tree_length,gain_loss,n_char,part_rate,median_cid,combo_label
mk,M11,2.5,0.1,200,NA,0.12796053534798554,"TL=2.5, GL=0.10, NC=200"
mk,M9,2.5,1,200,NA,0.16148188954807474,"TL=2.5, GL=1.00, NC=200"
mk,M10,2.5,0.1,200,NA,0.1595428094980132,"TL=2.5, GL=0.10, NC=200"
mk,M6,2.5,0.1,200,NA,0.16012395711079272,"TL=2.5, GL=0.10, NC=200"
mk,M8 (NT baseline),2.5,0.1,200,NA,0.16028613719018067,"TL=2.5, GL=0.10, NC=200"
mk,M2,1.5,0.1,200,NA,0.16055807912693304,"TL=1.5, GL=0.10, NC=200"
mk,M7,2.5,0.25,200,NA,0.1282269636187498,"TL=2.5, GL=0.25, NC=200"
mk,M5,1.5,0.1,200,NA,0.16047292706998229,"TL=1.5, GL=0.10, NC=200"
mk,M4,1.5,0.1,200,NA,0.15838332754232082,"TL=1.5, GL=0.10, NC=200"
mk,M3,1.5,0.1,200,NA,0.15965059879054705,"TL=1.5, GL=0.10, NC=200"
mk,M1 (Mk baseline),1.5,0.1,200,NA,0.15659268310912056,"TL=1.5, GL=0.10, NC=200"
mk,M12,2.5,0.5,200,NA,0.11367023127061907,"TL=2.5, GL=0.50, NC=200"
nt,M11,2.5,0.1,200,5,0.14838254341436508,"TL=2.5, GL=0.10, NC=200, PR=5.00"
nt,M9,5,0.25,200,1,0.14383206503705814,"TL=5.0, GL=0.25, NC=200, PR=1.00"
nt,M10,1,0.1,200,5,0.1561021226259165,"TL=1.0, GL=0.10, NC=200, PR=5.00"
nt,M6,5,0.5,200,5,0.15422598652633673,"TL=5.0, GL=0.50, NC=200, PR=5.00"
nt,M8 (NT baseline),5,0.5,200,5,0.15559766209545378,"TL=5.0, GL=0.50, NC=200, PR=5.00"
nt,M2,5,0.5,200,5,0.14988911047088885,"TL=5.0, GL=0.50, NC=200, PR=5.00"
nt,M7,5,0.5,200,5,0.1576660597833782,"TL=5.0, GL=0.50, NC=200, PR=5.00"
nt,M5,1,0.1,200,5,0.16324745561617013,"TL=1.0, GL=0.10, NC=200, PR=5.00"
nt,M4,1,0.1,200,5,0.16175635277479045,"TL=1.0, GL=0.10, NC=200, PR=5.00"
nt,M3,5,0.5,200,5,0.1665650199024228,"TL=5.0, GL=0.50, NC=200, PR=5.00"
nt,M1 (Mk baseline),5,0.5,200,5,0.16515651373373919,"TL=5.0, GL=0.50, NC=200, PR=5.00"
nt,M12,1.5,1,100,5,0.23880999758985605,"TL=1.5, GL=1.00, NC=100, PR=5.00"
