"","model1","model10","model11","model12","model2","model3","model4","model5","model6","model7","model8"
"model10",1.73018515960377e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model11",3.8509301057383e-77,1.12681384550368e-76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"model12",1.48711684029306e-74,3.18738516982671e-73,6.81938756833038e-14,NA,NA,NA,NA,NA,NA,NA,NA
"model2",3.09991872597624e-07,1,3.8509301057383e-77,2.70096185407991e-75,NA,NA,NA,NA,NA,NA,NA
"model3",1,7.09716824371723e-06,3.8509301057383e-77,1.48711684029306e-74,1.24016266511082e-05,NA,NA,NA,NA,NA,NA
"model4",0.0131607688760122,0.00042063838447846,9.14885896063262e-77,2.22367365681037e-67,0.18671491916783,0.201577783864498,NA,NA,NA,NA,NA
"model5",0.323192966725164,0.00042063838447846,1.19089070033984e-76,2.14762617057087e-73,0.0320102693744459,0.21514582816588,1,NA,NA,NA,NA
"model6",9.98747394813331e-12,0.044909116436438,6.23156158946997e-77,2.23330682686603e-74,0.000105710967502644,1.17800207501462e-09,2.94167780538194e-11,4.31034933158874e-08,NA,NA,NA
"model7",1.495205804957e-15,1.49156230579036e-10,1.12681384550368e-76,7.53188031059435e-74,1.89902721260936e-13,1.495205804957e-15,4.51166872357127e-15,1.65477992580383e-18,0.00261608525374259,NA,NA
"model8",1.0343425542376e-08,1,1.02847069861115e-76,3.85402490147607e-73,0.044909116436438,5.24712851687109e-08,9.64033787983571e-06,1.02338743919106e-05,0.633406589604724,6.66502899630394e-14,NA
"model9",1.13444753050168e-15,4.31034933158874e-08,1.19089070033984e-76,1.04621733366864e-73,1.09827739839267e-13,3.14802120482731e-16,9.05348388144965e-16,6.31063413066233e-16,0.00983877068646094,1,2.32585194561498e-11
