"modelID","median_cid","iqr_cid","n","rank","scenario"
"model11",0.32731303112168,0.213412371887956,472,1,"mk"
"model12",0.327411066248633,0.214029859558841,472,2,"mk"
"model4",0.350981483204711,0.218874381363059,472,3,"mk"
"model1",0.351497942191355,0.217551024652139,472,4,"mk"
"model3",0.351892656041357,0.218448675523889,472,5,"mk"
"model2",0.353073323879603,0.220011677471561,472,6,"mk"
"model6",0.353592077778123,0.221046979002543,472,7,"mk"
"model10",0.353989999477085,0.22162038766603,472,8,"mk"
"model8",0.35408986960084,0.22063761834111,472,9,"mk"
"model5",0.354565463140388,0.21885175665449,472,10,"mk"
"model9",0.355387341997192,0.22236220849086,472,11,"mk"
"model7",0.356721046128842,0.222014951742292,472,12,"mk"
"model12",0.398369739697211,0.233739974381051,1454,1,"nt"
"model11",0.403308847343611,0.23578661234484,1454,2,"nt"
"model10",0.419404173710616,0.243203757193814,1454,3,"nt"
"model7",0.420338275558883,0.243700341369807,1454,4,"nt"
"model6",0.420353128017859,0.241163791701154,1454,5,"nt"
"model8",0.42044787377678,0.242220356397286,1454,6,"nt"
"model9",0.421081590751417,0.245579623427005,1454,7,"nt"
"model2",0.421632024338689,0.240127055357229,1454,8,"nt"
"model5",0.429299644368808,0.248563536280323,1454,9,"nt"
"model4",0.430244239950424,0.246705171317336,1454,10,"nt"
"model1",0.432313891375953,0.248520574255059,1454,11,"nt"
"model3",0.433893001899836,0.250067134830912,1454,12,"nt"
