"modelID","n_matched_cells","median_cid_nt","median_cid_mk","median_diff","p_value"
"model1",640,0.371586867092408,0.326448536557517,0.0325036730836382,1.59309698418771e-34
"model10",640,0.359113227075678,0.328074088910396,0.0234726374313306,1.89751600752746e-22
"model11",639,0.327394819542043,0.300258359428741,0.0385387233267692,3.80805672037859e-34
"model12",479,0.433353563809871,0.385126595190063,0.0364311300382288,2.91480914643979e-27
"model2",640,0.360216293911594,0.329938515726693,0.0258598384759528,5.12061577182514e-24
"model3",640,0.377340652465584,0.323924513195278,0.0336820029680787,1.97851762127092e-35
"model4",640,0.375187908327857,0.329646499313263,0.0309211751611099,1.09054234283809e-32
"model5",636,0.343638011368892,0.326177551280411,0.030162358096828,2.10184912863826e-31
"model6",640,0.362094724173028,0.329679253843357,0.023405397923758,5.49473129392708e-22
"model7",603,0.394140283089901,0.338832048744075,0.0234338025706435,3.72734009415326e-22
"model8",640,0.35834459841009,0.329462315895207,0.0234119707858523,3.8902138878602e-23
"model9",584,0.389960888643545,0.359030942561569,0.0207276630483279,1.09723826806322e-15
