cell_label,M4,M2,M7,M3,M5,M8 (NT baseline),M11,M10,M6,M9,M1 (Mk baseline),M12
"tree_length=1, gain_loss=0.25",0.268,0.269,0.269,0.266,0.269,0.268,0.26,0.27,0.269,0.27,0.268,0.266
"tree_length=1, gain_loss=0.1",0.268,0.269,0.269,0.266,0.269,0.268,0.26,0.27,0.269,0.27,0.268,0.266
"tree_length=1, gain_loss=0.5",0.268,0.269,0.269,0.266,0.269,0.268,0.26,0.27,0.269,0.27,0.268,0.266
"tree_length=1, gain_loss=1",0.268,0.269,0.269,0.266,0.269,0.268,0.26,0.27,0.269,0.27,0.268,0.266
"tree_length=1.5, gain_loss=0.1",0.267,0.266,0.27,0.265,0.268,0.267,0.255,0.271,0.269,0.267,0.267,0.265
"tree_length=1.5, gain_loss=0.5",0.267,0.266,0.27,0.265,0.268,0.267,0.255,0.271,0.269,0.267,0.267,0.265
"tree_length=1.5, gain_loss=0.25",0.267,0.266,0.27,0.265,0.268,0.267,0.255,0.271,0.269,0.267,0.267,0.264
"tree_length=1.5, gain_loss=1",0.267,0.266,0.27,0.265,0.268,0.267,0.255,0.271,0.269,0.267,0.267,0.264
"tree_length=2.5, gain_loss=0.1",0.255,0.254,0.266,0.256,0.255,0.257,0.221,0.254,0.256,0.256,0.256,0.252
"tree_length=2.5, gain_loss=1",0.255,0.254,0.26,0.256,0.255,0.257,0.221,0.254,0.256,0.256,0.256,0.252
"tree_length=2.5, gain_loss=0.5",0.255,0.254,0.26,0.256,0.255,0.257,0.221,0.254,0.256,0.256,0.256,0.252
"tree_length=2.5, gain_loss=0.25",0.255,0.254,0.266,0.256,0.255,0.257,0.221,0.254,0.256,0.256,0.256,0.244
"tree_length=5, gain_loss=0.25",0.254,0.256,0.263,0.255,0.254,0.255,0.213,0.258,0.255,0.253,0.254,0.252
"tree_length=5, gain_loss=1",0.254,0.256,0.262,0.255,0.254,0.255,0.213,0.258,0.255,0.253,0.254,0.252
"tree_length=5, gain_loss=0.1",0.254,0.256,0.262,0.255,0.254,0.255,0.213,0.258,0.255,0.253,0.254,0.252
"tree_length=5, gain_loss=0.5",0.254,0.256,0.262,0.255,0.254,0.255,0.213,0.258,0.255,0.253,0.254,0.252
