cell_label,M7,M6,M1 (Mk baseline),M3,M10,M8 (NT baseline),M4,M11,M9,M2,M5,M12
"tree_length=1, gain_loss=0.5",0.196,0.198,0.198,0.198,0.197,0.198,0.198,0.18,0.198,0.198,0.198,0.199
"tree_length=1, gain_loss=1",0.196,0.198,0.198,0.198,0.197,0.198,0.198,0.18,0.198,0.198,0.198,0.196
"tree_length=1, gain_loss=0.25",0.196,0.198,0.198,0.198,0.197,0.198,0.198,0.18,0.198,0.198,0.198,0.195
"tree_length=1, gain_loss=0.1",0.196,0.198,0.198,0.198,0.197,0.198,0.198,0.18,0.198,0.198,0.198,0.133
"tree_length=5, gain_loss=0.1",0.181,0.183,0.184,0.18,0.185,0.181,0.181,0.144,0.18,0.182,0.182,0.193
"tree_length=5, gain_loss=0.25",0.181,0.183,0.184,0.18,0.185,0.181,0.181,0.144,0.18,0.182,0.182,0.182
"tree_length=5, gain_loss=0.5",0.181,0.183,0.184,0.18,0.185,0.181,0.181,0.144,0.18,0.182,0.182,0.181
"tree_length=5, gain_loss=1",0.181,0.183,0.184,0.18,0.185,0.181,0.181,0.144,0.18,0.182,0.182,0.181
"tree_length=1.5, gain_loss=0.25",0.161,0.162,0.157,0.16,0.162,0.162,0.158,0.133,0.162,0.161,0.16,0.182
"tree_length=2.5, gain_loss=0.25",0.128,0.16,0.16,0.16,0.16,0.16,0.159,0.128,0.162,0.161,0.161,0.218
"tree_length=1.5, gain_loss=0.1",0.161,0.162,0.157,0.16,0.162,0.162,0.158,0.133,0.162,0.161,0.16,NA
"tree_length=1.5, gain_loss=1",0.161,0.162,0.157,0.16,0.162,0.162,0.158,0.133,0.162,0.161,0.16,0.156
"tree_length=1.5, gain_loss=0.5",0.161,0.162,0.157,0.16,0.162,0.162,0.158,0.133,0.162,0.161,0.16,0.153
"tree_length=2.5, gain_loss=1",0.147,0.16,0.16,0.16,0.16,0.16,0.159,0.128,0.161,0.161,0.161,0.159
"tree_length=2.5, gain_loss=0.1",0.128,0.16,0.16,0.16,0.16,0.16,0.159,0.128,0.162,0.161,0.161,NA
"tree_length=2.5, gain_loss=0.5",0.128,0.16,0.16,0.16,0.16,0.16,0.159,0.128,0.162,0.161,0.161,0.114
