cell_label,M1 (Mk baseline),M12,M4,M5,M9,M6,M7,M11,M2,M10,M8 (NT baseline),M3
"tree_length=1.5, gain_loss=1",0.583,0.572,0.584,0.585,0.587,0.584,0.59,0.549,0.584,0.586,0.587,0.582
"tree_length=1.5, gain_loss=0.5",0.583,0.572,0.584,0.583,0.587,0.584,0.59,0.549,0.584,0.586,0.587,0.582
"tree_length=1.5, gain_loss=0.25",0.583,0.572,0.584,0.583,0.587,0.584,0.59,0.549,0.584,0.586,0.587,0.582
"tree_length=1.5, gain_loss=0.1",0.583,0.572,0.584,0.583,0.587,0.584,0.59,0.549,0.584,0.586,0.587,0.582
"tree_length=1, gain_loss=0.25",0.543,0.539,0.543,0.545,0.543,0.545,0.542,0.531,0.542,0.542,0.542,0.543
"tree_length=1, gain_loss=0.5",0.543,0.539,0.543,0.545,0.543,0.545,0.542,0.531,0.542,0.542,0.542,0.543
"tree_length=1, gain_loss=1",0.543,0.539,0.543,0.543,0.543,0.545,0.542,0.531,0.542,0.542,0.542,0.543
"tree_length=1, gain_loss=0.1",0.543,0.539,0.543,0.545,0.543,0.545,0.542,0.528,0.542,0.542,0.542,0.543
"tree_length=5, gain_loss=0.1",0.532,0.527,0.53,0.53,0.533,0.528,0.529,0.503,0.53,0.528,0.531,0.531
"tree_length=5, gain_loss=0.25",0.532,0.526,0.53,0.53,0.533,0.528,0.529,0.503,0.53,0.528,0.531,0.531
"tree_length=5, gain_loss=0.5",0.532,0.527,0.53,0.528,0.533,0.528,0.529,0.503,0.53,0.528,0.531,0.531
"tree_length=5, gain_loss=1",0.532,0.527,0.53,0.528,0.533,0.528,0.529,0.503,0.53,0.528,0.531,0.531
"tree_length=2.5, gain_loss=0.1",0.529,0.517,0.527,0.528,0.531,0.531,0.532,0.484,0.532,0.528,0.53,0.527
"tree_length=2.5, gain_loss=0.25",0.529,0.517,0.527,0.528,0.531,0.531,0.532,0.484,0.532,0.528,0.53,0.527
"tree_length=2.5, gain_loss=0.5",0.529,0.517,0.527,0.525,0.531,0.531,0.532,0.484,0.532,0.528,0.53,0.527
"tree_length=2.5, gain_loss=1",0.529,0.517,0.527,0.525,0.531,0.531,0.532,0.484,0.532,0.528,0.53,0.527
