cell_label,M2,M1 (Mk baseline),M4,M6,M10,M12,M9,M3,M7,M5,M8 (NT baseline),M11
"tree_length=1.5, gain_loss=0.5",0.417,0.415,0.416,0.415,0.416,0.411,0.417,0.416,0.42,0.417,0.418,0.395
"tree_length=1.5, gain_loss=0.1",0.417,0.415,0.416,0.415,0.416,0.411,0.417,0.416,0.42,0.417,0.418,0.395
"tree_length=1.5, gain_loss=1",0.417,0.415,0.416,0.415,0.416,0.411,0.417,0.416,0.42,0.417,0.418,0.395
"tree_length=1.5, gain_loss=0.25",0.417,0.415,0.416,0.415,0.416,0.411,0.417,0.416,0.42,0.417,0.418,0.395
"tree_length=1, gain_loss=1",0.388,0.387,0.385,0.39,0.387,0.38,0.388,0.387,0.39,0.385,0.387,0.354
"tree_length=1, gain_loss=0.25",0.388,0.387,0.385,0.39,0.387,0.38,0.388,0.387,0.39,0.385,0.387,0.354
"tree_length=1, gain_loss=0.5",0.388,0.387,0.385,0.39,0.387,0.38,0.388,0.387,0.39,0.385,0.387,0.354
"tree_length=2.5, gain_loss=0.5",0.383,0.384,0.383,0.387,0.386,0.382,0.387,0.386,0.386,0.385,0.386,0.373
"tree_length=2.5, gain_loss=0.1",0.383,0.384,0.383,0.387,0.386,0.382,0.387,0.386,0.386,0.385,0.386,0.373
"tree_length=2.5, gain_loss=1",0.383,0.384,0.383,0.387,0.386,0.382,0.387,0.386,0.386,0.385,0.386,0.373
"tree_length=2.5, gain_loss=0.25",0.383,0.384,0.383,0.387,0.386,0.382,0.387,0.386,0.386,0.385,0.386,0.373
"tree_length=1, gain_loss=0.1",0.388,0.387,0.385,0.39,0.387,0.38,0.388,0.387,0.39,0.372,0.387,0.354
"tree_length=5, gain_loss=1",0.365,0.364,0.364,0.365,0.367,0.359,0.367,0.362,0.351,0.365,0.364,0.322
"tree_length=5, gain_loss=0.25",0.365,0.364,0.364,0.365,0.367,0.359,0.367,0.362,0.351,0.365,0.364,0.322
"tree_length=5, gain_loss=0.5",0.365,0.364,0.364,0.365,0.367,0.359,0.367,0.362,0.351,0.365,0.364,0.322
"tree_length=5, gain_loss=0.1",0.365,0.364,0.364,0.365,0.367,0.359,0.367,0.362,0.351,0.365,0.364,0.322
