cell_label,M2,M3,M8 (NT baseline),M7,M1 (Mk baseline),M4,M12,M11,M10,M5,M6,M9
"tree_length=5, gain_loss=0.1",0.334,0.347,0.332,0.336,0.351,0.357,0.338,0.317,0.334,0.35,0.338,0.333
"tree_length=2.5, gain_loss=0.1",0.309,0.324,0.302,0.313,0.334,0.34,0.331,0.311,0.302,0.32,0.307,0.298
"tree_length=1, gain_loss=1",0.311,0.32,0.313,0.313,0.32,0.32,0.318,0.304,0.31,0.32,0.313,0.284
"tree_length=1, gain_loss=0.1",0.302,0.294,0.33,0.33,0.297,0.298,0.294,0.271,0.328,0.322,0.306,0.307
"tree_length=2.5, gain_loss=0.25",0.303,0.312,0.304,0.306,0.304,0.31,0.285,0.279,0.304,0.311,0.305,0.275
"tree_length=1, gain_loss=0.25",0.302,0.299,0.301,0.301,0.3,0.299,0.298,0.287,0.3,0.302,0.302,0.303
"tree_length=5, gain_loss=0.25",0.298,0.313,0.296,0.3,0.302,0.299,0.296,0.282,0.297,0.307,0.299,0.304
"tree_length=1.5, gain_loss=0.1",0.301,0.312,0.295,0.296,0.301,0.306,0.311,0.307,0.298,0.296,0.3,0.263
"tree_length=2.5, gain_loss=0.5",0.294,0.31,0.291,0.29,0.313,0.314,0.267,0.275,0.29,0.312,0.297,0.305
"tree_length=5, gain_loss=0.5",0.292,0.3,0.292,0.291,0.293,0.283,0.29,0.259,0.292,0.295,0.295,0.291
"tree_length=1, gain_loss=0.5",0.288,0.287,0.283,0.285,0.288,0.287,0.286,0.278,0.286,0.285,0.283,0.291
"tree_length=1.5, gain_loss=1",0.273,0.287,0.274,0.273,0.285,0.283,0.293,0.263,0.271,0.286,0.272,0.277
"tree_length=5, gain_loss=1",0.264,0.27,0.267,0.268,0.272,0.269,0.259,0.241,0.268,0.269,0.266,0.265
"tree_length=1.5, gain_loss=0.5",0.264,0.262,0.261,0.259,0.262,0.262,0.247,0.243,0.26,0.259,0.263,0.258
"tree_length=1.5, gain_loss=0.25",0.259,0.262,0.257,0.258,0.259,0.261,0.246,0.239,0.259,0.255,0.258,0.257
"tree_length=2.5, gain_loss=1",0.255,0.255,0.256,0.257,0.254,0.255,0.24,0.237,0.257,0.255,0.254,0.256
