cell_label,M11,M2,M7,M10,M8 (NT baseline),M1 (Mk baseline),M6,M4,M5,M9,M3
"tree_length=5, gain_loss=0.1",0.273,0.239,0.23,0.227,0.228,0.28,0.238,0.284,0.247,0.225,0.271
"tree_length=5, gain_loss=0.5",0.249,0.231,0.228,0.227,0.228,0.254,0.232,0.255,0.247,NA,0.248
"tree_length=1.5, gain_loss=0.1",0.243,0.213,0.218,0.222,0.218,0.242,0.207,0.244,0.238,0.242,0.24
"tree_length=5, gain_loss=0.25",0.205,0.212,0.208,0.208,0.208,0.212,0.214,0.212,0.214,0.144,0.208
"tree_length=2.5, gain_loss=0.25",0.202,0.196,0.201,0.196,0.197,0.213,0.203,0.215,0.199,0.183,0.216
"tree_length=1, gain_loss=0.5",0.196,0.198,0.197,0.197,0.197,0.209,0.201,0.208,0.208,0.189,0.206
"tree_length=2.5, gain_loss=0.1",0.208,0.195,0.195,0.188,0.187,0.2,0.198,0.199,0.189,0.178,0.197
"tree_length=5, gain_loss=1",0.187,0.191,0.19,0.19,0.19,0.196,0.19,0.198,0.198,NA,0.198
"tree_length=1, gain_loss=0.25",0.177,0.185,0.184,0.185,0.184,0.188,0.184,0.186,0.187,0.178,0.188
"tree_length=1, gain_loss=0.1",0.182,0.18,0.177,0.175,0.177,0.181,0.181,0.18,0.175,0.197,0.177
"tree_length=1.5, gain_loss=0.25",0.173,0.184,0.173,0.178,0.177,0.181,0.185,0.182,0.177,0.186,0.175
"tree_length=2.5, gain_loss=0.5",0.176,0.174,0.173,0.175,0.173,0.181,0.175,0.18,0.179,0.168,0.182
"tree_length=1, gain_loss=1",0.166,0.175,0.171,0.173,0.173,0.181,0.174,0.182,0.181,0.171,0.181
"tree_length=1.5, gain_loss=1",0.154,0.171,0.171,0.17,0.17,0.171,0.17,0.173,0.171,0.196,0.172
"tree_length=2.5, gain_loss=1",0.156,0.169,0.166,0.169,0.171,0.173,0.17,0.172,0.173,0.179,0.174
"tree_length=1.5, gain_loss=0.5",0.152,0.168,0.169,0.168,0.169,0.169,0.172,0.169,0.17,0.177,0.172
