cell_label,M1 (Mk baseline),M10,M9,M5,M2,M8 (NT baseline),M6,M11,M4,M3,M12,M7
"tree_length=5, gain_loss=0.1",0.696,0.681,0.682,0.694,0.68,0.677,0.684,0.663,0.698,0.688,0.692,0.682
"tree_length=5, gain_loss=0.25",0.637,0.629,0.625,0.648,0.617,0.627,0.625,0.6,0.642,0.638,0.631,0.626
"tree_length=2.5, gain_loss=0.1",0.617,0.624,0.626,0.616,0.633,0.624,0.627,0.6,0.627,0.63,0.624,0.626
"tree_length=1.5, gain_loss=0.25",0.625,0.618,0.62,0.614,0.608,0.618,0.616,0.579,0.616,0.612,0.605,0.62
"tree_length=1.5, gain_loss=0.1",0.578,0.586,0.593,0.587,0.572,0.591,0.57,0.542,0.572,0.588,0.569,0.595
"tree_length=2.5, gain_loss=0.25",0.569,0.572,0.576,0.583,0.582,0.579,0.576,0.561,0.584,0.589,0.578,0.579
"tree_length=1, gain_loss=0.5",0.575,0.582,0.577,0.58,0.579,0.583,0.584,0.546,0.581,0.58,0.568,0.583
"tree_length=5, gain_loss=0.5",0.577,0.576,0.575,0.583,0.577,0.576,0.578,0.53,0.584,0.597,0.53,0.573
"tree_length=1, gain_loss=1",0.561,0.569,0.575,0.564,0.567,0.573,0.569,0.525,0.562,0.564,0.552,0.576
"tree_length=1, gain_loss=0.25",0.561,0.561,0.544,0.558,0.56,0.561,0.563,0.538,0.561,0.565,0.553,0.561
"tree_length=5, gain_loss=1",0.568,0.551,0.559,0.564,0.559,0.558,0.561,0.523,0.567,0.565,0.529,0.554
"tree_length=1.5, gain_loss=0.5",0.553,0.561,0.555,0.554,0.553,0.554,0.554,0.51,0.554,0.553,0.541,0.555
"tree_length=1.5, gain_loss=1",0.546,0.541,0.543,0.549,0.54,0.544,0.542,0.496,0.546,0.547,0.533,0.545
"tree_length=1, gain_loss=0.1",0.535,0.542,0.539,0.532,0.541,0.538,0.539,0.505,0.533,0.533,0.539,0.541
"tree_length=2.5, gain_loss=0.5",0.537,0.537,0.536,0.538,0.535,0.538,0.535,0.514,0.538,0.538,0.526,0.534
"tree_length=2.5, gain_loss=1",0.535,0.519,0.498,0.535,0.517,0.519,0.52,0.511,0.536,0.534,0.529,0.519
