cell_label,M11,M8 (NT baseline),M9,M12,M10,M1 (Mk baseline),M3,M5,M7,M4,M2,M6
"tree_length=5, gain_loss=0.1",0.514,0.508,0.491,0.548,0.508,0.543,0.546,0.542,0.534,0.549,0.506,0.497
"tree_length=5, gain_loss=0.25",0.499,0.466,0.465,0.492,0.466,0.501,0.498,0.487,0.471,0.499,0.491,0.485
"tree_length=1.5, gain_loss=0.1",0.461,0.481,0.488,0.476,0.481,0.48,0.479,0.48,0.487,0.481,0.476,0.472
"tree_length=2.5, gain_loss=0.1",0.438,0.465,0.456,0.454,0.462,0.461,0.452,0.451,0.463,0.463,0.46,0.463
"tree_length=1.5, gain_loss=1",0.441,0.46,0.448,0.447,0.46,0.458,0.462,0.46,0.46,0.458,0.459,0.455
"tree_length=1, gain_loss=0.1",0.437,0.445,0.443,0.46,0.444,0.466,0.461,0.45,0.445,0.465,0.462,0.46
"tree_length=5, gain_loss=1",0.41,0.455,0.425,0.39,0.451,0.458,0.458,0.456,0.454,0.458,0.452,0.452
"tree_length=1.5, gain_loss=0.25",0.42,0.439,0.431,0.443,0.439,0.447,0.449,0.444,0.439,0.447,0.44,0.439
"tree_length=5, gain_loss=0.5",0.433,0.427,0.427,0.423,0.426,0.448,0.446,0.445,0.435,0.448,0.424,0.422
"tree_length=1, gain_loss=0.25",0.388,0.409,0.395,0.418,0.408,0.425,0.421,0.417,0.413,0.422,0.422,0.417
"tree_length=1.5, gain_loss=0.5",0.381,0.41,0.413,0.41,0.408,0.414,0.416,0.418,0.414,0.414,0.415,0.413
"tree_length=1, gain_loss=0.5",0.385,0.405,0.411,0.404,0.402,0.412,0.409,0.408,0.408,0.407,0.407,0.403
"tree_length=1, gain_loss=1",0.395,0.406,0.401,0.401,0.407,0.405,0.407,0.405,0.407,0.404,0.409,0.408
"tree_length=2.5, gain_loss=1",0.366,0.394,0.382,0.369,0.395,0.393,0.39,0.388,0.395,0.39,0.4,0.4
"tree_length=2.5, gain_loss=0.5",0.337,0.385,0.38,0.387,0.384,0.387,0.387,0.39,0.387,0.386,0.387,0.389
"tree_length=2.5, gain_loss=0.25",0.355,0.371,0.376,0.364,0.373,0.392,0.387,0.389,0.378,0.391,0.376,0.381
