cell_label,M2,M9,M6,M10,M4,M3,M1 (Mk baseline),M8 (NT baseline),M5,M11,M7
"tree_length=5, gain_loss=0.1",0.217,0.214,0.215,0.208,0.224,0.23,0.232,0.209,0.211,0.226,0.21
"tree_length=1, gain_loss=1",0.197,0.198,0.196,0.198,0.204,0.204,0.205,0.197,0.203,0.193,0.197
"tree_length=1.5, gain_loss=0.25",0.194,0.201,0.195,0.194,0.203,0.207,0.208,0.191,0.202,0.189,0.192
"tree_length=5, gain_loss=1",0.187,0.205,0.185,0.184,0.198,0.21,0.209,0.185,0.192,0.202,0.186
"tree_length=1, gain_loss=0.1",0.192,0.168,0.192,0.191,0.195,0.21,0.208,0.192,0.202,0.169,0.193
"tree_length=1.5, gain_loss=0.5",0.196,0.174,0.196,0.194,0.198,0.196,0.197,0.194,0.195,0.176,0.194
"tree_length=2.5, gain_loss=0.5",0.195,0.176,0.186,0.187,0.189,0.199,0.201,0.185,0.19,0.198,0.185
"tree_length=2.5, gain_loss=1",0.186,0.183,0.184,0.183,0.196,0.198,0.2,0.185,0.196,0.189,0.189
"tree_length=2.5, gain_loss=0.1",0.196,0.167,0.194,0.193,0.19,0.18,0.195,0.194,0.177,0.17,0.209
"tree_length=1.5, gain_loss=1",0.18,0.194,0.172,0.173,0.192,0.194,0.194,0.175,0.192,0.194,0.171
"tree_length=2.5, gain_loss=0.25",0.176,0.171,0.176,0.179,0.193,0.201,0.201,0.177,0.179,0.19,0.184
"tree_length=1, gain_loss=0.25",0.182,0.173,0.178,0.177,0.193,0.195,0.192,0.178,0.194,0.173,0.178
"tree_length=5, gain_loss=0.5",0.189,0.162,0.18,0.184,0.184,0.187,0.188,0.185,0.181,0.18,0.184
"tree_length=5, gain_loss=0.25",0.173,NA,0.169,0.167,0.194,0.186,0.19,0.165,0.188,0.169,0.166
"tree_length=1.5, gain_loss=0.1",0.178,0.179,0.178,0.174,0.176,0.173,0.175,0.174,0.172,0.171,0.177
"tree_length=1, gain_loss=0.5",0.172,0.187,0.169,0.168,0.176,0.182,0.182,0.169,0.177,0.165,0.168
