cell_label,M2,M4,M10,M6,M5,M1 (Mk baseline),M12,M3,M9,M8 (NT baseline),M7,M11
"tree_length=5, gain_loss=0.1",0.656,0.66,0.65,0.648,0.659,0.665,0.644,0.669,0.661,0.657,0.66,0.647
"tree_length=5, gain_loss=0.25",0.621,0.618,0.619,0.617,0.621,0.622,0.616,0.622,0.624,0.621,0.62,0.589
"tree_length=5, gain_loss=0.5",0.591,0.61,0.6,0.592,0.61,0.609,0.613,0.611,0.599,0.6,0.599,0.566
"tree_length=2.5, gain_loss=1",0.595,0.589,0.589,0.59,0.589,0.595,0.586,0.596,0.58,0.59,0.591,0.555
"tree_length=2.5, gain_loss=0.25",0.588,0.589,0.593,0.592,0.596,0.585,0.572,0.584,0.587,0.596,0.6,0.545
"tree_length=5, gain_loss=1",0.579,0.598,0.577,0.569,0.595,0.601,0.587,0.601,0.58,0.581,0.589,0.568
"tree_length=2.5, gain_loss=0.1",0.569,0.57,0.574,0.571,0.578,0.568,0.561,0.57,0.581,0.581,0.581,0.54
"tree_length=1.5, gain_loss=1",0.558,0.565,0.559,0.557,0.57,0.568,0.556,0.568,0.551,0.559,0.558,0.527
"tree_length=1.5, gain_loss=0.1",0.565,0.558,0.559,0.561,0.555,0.564,0.557,0.559,0.56,0.558,0.561,0.526
"tree_length=1.5, gain_loss=0.25",0.552,0.554,0.55,0.552,0.554,0.552,0.544,0.576,0.552,0.551,0.551,0.503
"tree_length=2.5, gain_loss=0.5",0.555,0.55,0.555,0.552,0.553,0.555,0.528,0.555,0.556,0.555,0.557,0.512
"tree_length=1, gain_loss=0.1",0.547,0.546,0.546,0.547,0.546,0.545,0.536,0.547,0.548,0.548,0.55,0.51
"tree_length=1.5, gain_loss=0.5",0.531,0.56,0.543,0.536,0.566,0.555,0.544,0.556,0.535,0.538,0.538,0.508
"tree_length=1, gain_loss=1",0.542,0.549,0.546,0.551,0.542,0.538,0.527,0.536,0.544,0.548,0.545,0.499
"tree_length=1, gain_loss=0.25",0.534,0.531,0.533,0.534,0.532,0.531,0.522,0.534,0.538,0.536,0.538,0.504
"tree_length=1, gain_loss=0.5",0.529,0.525,0.528,0.53,0.525,0.524,0.515,0.525,0.523,0.528,0.531,0.498
