cell_label,M5,M2,M3,M6,M10,M4,M12,M7,M8 (NT baseline),M1 (Mk baseline),M9,M11
"tree_length=5, gain_loss=0.1",0.54,0.51,0.509,0.517,0.515,0.536,0.515,0.515,0.516,0.516,0.497,0.474
"tree_length=5, gain_loss=0.5",0.474,0.456,0.49,0.452,0.447,0.471,0.508,0.478,0.449,0.485,0.445,0.455
"tree_length=1.5, gain_loss=0.1",0.466,0.458,0.467,0.454,0.46,0.469,0.463,0.465,0.464,0.468,0.457,0.441
"tree_length=5, gain_loss=0.25",0.471,0.452,0.477,0.448,0.449,0.47,0.446,0.45,0.45,0.474,0.445,0.432
"tree_length=5, gain_loss=1",0.455,0.452,0.466,0.44,0.444,0.459,0.443,0.449,0.445,0.464,0.446,0.417
"tree_length=1, gain_loss=0.25",0.456,0.428,0.452,0.425,0.435,0.447,0.444,0.443,0.441,0.448,0.429,0.41
"tree_length=1, gain_loss=1",0.435,0.435,0.438,0.435,0.434,0.436,0.435,0.434,0.434,0.439,0.434,0.423
"tree_length=1.5, gain_loss=1",0.443,0.438,0.442,0.434,0.429,0.444,0.439,0.429,0.43,0.446,0.414,0.421
"tree_length=2.5, gain_loss=0.1",0.432,0.432,0.43,0.436,0.437,0.438,0.436,0.448,0.436,0.436,0.43,0.407
"tree_length=1, gain_loss=0.1",0.432,0.434,0.434,0.436,0.433,0.435,0.43,0.432,0.432,0.434,0.425,0.419
"tree_length=1.5, gain_loss=0.5",0.429,0.438,0.437,0.429,0.429,0.421,0.426,0.434,0.432,0.432,0.432,0.408
"tree_length=1.5, gain_loss=0.25",0.426,0.423,0.431,0.425,0.423,0.445,0.432,0.421,0.42,0.44,0.419,0.413
"tree_length=2.5, gain_loss=0.5",0.428,0.392,0.434,0.388,0.392,0.425,0.429,0.395,0.392,0.428,0.393,0.413
"tree_length=1, gain_loss=0.5",0.409,0.408,0.415,0.409,0.41,0.412,0.405,0.411,0.411,0.413,0.402,0.391
"tree_length=2.5, gain_loss=0.25",0.389,0.418,0.406,0.407,0.398,0.401,0.4,0.4,0.397,0.402,0.378,0.392
"tree_length=2.5, gain_loss=1",0.395,0.394,0.393,0.393,0.392,0.395,0.377,0.393,0.395,0.39,0.372,0.371
