cell_label,M11,M7,M4,M9,M3,M12,M5,M10,M2,M8 (NT baseline),M1 (Mk baseline),M6
"tree_length=5, gain_loss=0.1",0.29,0.313,0.313,0.313,0.336,0.374,0.318,0.31,0.298,0.314,0.324,0.306
"tree_length=1, gain_loss=0.1",0.301,0.32,0.315,0.316,0.322,0.317,0.318,0.317,0.317,0.317,0.321,0.314
"tree_length=5, gain_loss=0.5",0.292,0.288,0.321,0.274,0.334,0.318,0.339,0.292,0.291,0.291,0.333,0.296
"tree_length=1.5, gain_loss=0.1",0.297,0.304,0.32,0.274,0.302,0.316,0.308,0.302,0.308,0.3,0.306,0.309
"tree_length=2.5, gain_loss=1",0.252,0.324,0.293,0.262,0.286,0.307,0.293,0.291,0.295,0.292,0.293,0.292
"tree_length=2.5, gain_loss=0.25",0.287,0.286,0.294,0.248,0.296,0.332,0.295,0.28,0.286,0.281,0.301,0.279
"tree_length=2.5, gain_loss=0.1",0.251,0.322,0.303,0.272,0.277,0.26,0.294,0.3,0.287,0.299,0.289,0.303
"tree_length=5, gain_loss=1",0.281,0.281,0.291,0.283,0.3,0.307,0.29,0.278,0.28,0.278,0.301,0.282
"tree_length=1, gain_loss=0.25",0.282,0.282,0.289,0.28,0.288,0.302,0.286,0.282,0.288,0.28,0.29,0.286
"tree_length=1.5, gain_loss=0.25",0.269,0.292,0.288,0.283,0.291,0.291,0.29,0.288,0.276,0.287,0.294,0.273
"tree_length=1, gain_loss=1",0.273,0.255,0.286,0.243,0.296,0.293,0.287,0.285,0.293,0.286,0.295,0.285
"tree_length=2.5, gain_loss=0.5",0.249,0.282,0.287,0.267,0.279,0.274,0.283,0.278,0.282,0.276,0.272,0.272
"tree_length=5, gain_loss=0.25",0.273,0.26,0.277,0.26,0.303,0.3,0.264,0.256,0.261,0.257,0.307,0.258
"tree_length=1.5, gain_loss=0.5",0.258,0.266,0.28,0.27,0.293,0.266,0.276,0.265,0.268,0.263,0.29,0.266
"tree_length=1, gain_loss=0.5",0.241,0.277,0.273,0.242,0.271,0.254,0.271,0.276,0.274,0.276,0.27,0.275
"tree_length=1.5, gain_loss=1",0.239,0.241,0.25,0.237,0.253,0.239,0.25,0.253,0.254,0.253,0.254,0.254
