cell_label,M11,M5,M2,M8 (NT baseline),M9,M7,M10,M1 (Mk baseline),M6,M4,M3
"tree_length=1.5, gain_loss=0.1",0.196,0.202,0.195,0.201,0.201,0.188,0.201,0.21,0.193,0.204,0.21
"tree_length=5, gain_loss=0.1",0.211,0.195,0.203,0.2,0.178,0.202,0.201,0.208,0.195,0.195,0.203
"tree_length=2.5, gain_loss=0.25",0.198,0.2,0.189,0.195,0.2,0.202,0.194,0.203,0.193,0.198,0.205
"tree_length=5, gain_loss=0.25",0.203,0.184,0.197,0.187,0.158,0.216,0.186,0.206,0.188,0.2,0.216
"tree_length=2.5, gain_loss=0.5",0.183,0.189,0.187,0.184,0.184,0.187,0.183,0.207,0.185,0.19,0.205
"tree_length=1.5, gain_loss=0.25",0.172,0.191,0.183,0.188,0.154,0.194,0.19,0.198,0.181,0.187,0.205
"tree_length=1, gain_loss=0.25",0.173,0.192,0.186,0.186,0.184,0.162,0.183,0.194,0.186,0.192,0.195
"tree_length=1.5, gain_loss=1",0.175,0.186,0.178,0.166,0.193,0.179,0.175,0.193,0.177,0.186,0.194
"tree_length=1, gain_loss=1",0.179,0.181,0.172,0.179,0.193,0.168,0.181,0.192,0.18,0.182,0.192
"tree_length=1.5, gain_loss=0.5",0.152,0.179,0.184,0.18,0.173,0.204,0.18,0.181,0.18,0.179,0.181
"tree_length=1, gain_loss=0.5",0.18,0.173,0.172,0.171,0.215,0.17,0.172,0.181,0.171,0.175,0.181
"tree_length=2.5, gain_loss=1",0.157,0.174,0.177,0.173,0.188,0.172,0.171,0.18,0.172,0.176,0.184
"tree_length=2.5, gain_loss=0.1",0.148,0.175,0.173,0.179,0.176,0.18,0.178,0.176,0.172,0.172,0.181
"tree_length=5, gain_loss=1",0.175,0.175,0.166,0.159,0.16,0.16,0.159,0.19,0.161,0.174,0.188
"tree_length=5, gain_loss=0.5",0.155,0.18,0.15,0.156,0.145,0.158,0.158,0.165,0.154,0.182,0.167
"tree_length=1, gain_loss=0.1",0.149,0.163,0.156,0.158,0.157,0.168,0.156,0.166,0.156,0.162,0.168
